dR2_M,dR2_OxM,unit
1.1140774764939465e-06,1.6661888946667425e-05,per36min
3.4721342538790445e-05,9.529417914577731e-05,per36min
0.000136969552629429,8.099380295856218e-05,per36min
3.0124750449722626e-07,3.310483205443138e-05,per36min
5.3945813411893084e-06,2.0016682092949267e-06,per36min
6.228667330909765e-06,3.81176753941892e-05,per36min
1.8201225957525935e-06,8.709065943190986e-06,per36min
1.581294116070886e-05,0.0002018856315055828,per36min
0.00025217999008120273,0.00018001460430738803,per36min
2.7555289527914084e-07,2.6037012657020853e-05,per36min
8.928410395458997e-07,1.3695527572687993e-05,per36min
4.5884766549320055e-05,0.000169038916757569,per36min
6.606170488343555e-05,6.12718056487438e-05,per36min
2.7338678754151857e-07,2.1859004595836673e-05,per36min
1.0102041290149799e-05,1.0347855905479264e-10,per36min
0.00021962916058726467,2.1137303438223398e-05,per36min
0.00012101592334290423,2.6835936950631023e-05,per36min
4.301039196230594e-05,6.834965156743422e-06,per36min
3.8002346943732945e-06,0.00011763005527531956,per36min
3.1113690149853213e-06,1.496841841697183e-06,per36min
0.00015839555987917642,4.321588421907219e-05,per36min
0.00011477693844419434,1.3894298456107457e-05,per36min
2.566973150597285e-06,3.730318573558211e-05,per36min
0.0002890791690036698,9.742415591040832e-06,per36min
3.610868345438334e-07,8.771032929977274e-05,per36min
2.746204062620272e-05,7.241539232027971e-05,per36min
2.459797895926208e-05,2.016267345972267e-06,per36min
0.00010174417716257711,0.00019933144456008023,per36min
2.7286008705496023e-05,0.0005018480840064399,per36min
2.151242417736121e-05,3.821820336868953e-06,per36min
7.188135786795335e-05,2.8292048297462458e-05,per36min
9.135075698107897e-07,0.0001580008188768467,per36min
0.0001553090402489632,6.086197353472045e-05,per36min
0.0003556589998280346,1.3192072129242227e-05,per36min
0.0001904781036682346,0.0002347609235875403,per36min
1.009204960489285e-06,4.383432985666236e-05,per36min
0.0001520357909803316,7.652787759049318e-06,per36min
0.00020415021781039489,0.00012714224785170813,per36min
1.4929633085358773e-09,2.721612719203126e-05,per36min
8.095370601646223e-07,4.976701933223637e-06,per36min
0.00010917961909850948,4.753761207898499e-06,per36min
5.361725373442816e-05,4.9821293449880955e-05,per36min
3.4423736302802155e-05,0.00015970477703541874,per36min
2.377170698175668e-06,2.7189625361190295e-06,per36min
1.3118102687337263e-05,2.344621285454984e-06,per36min
4.498424212906471e-06,9.837326471529018e-06,per36min
3.7515314292857482e-06,3.883568006179949e-06,per36min
5.7041028149740214e-05,8.906427335286793e-05,per36min
1.9847746326462357e-06,8.640871160814356e-07,per36min
7.128207791251562e-06,1.8207344246290447e-05,per36min
1.9204353707280575e-07,4.9793142411935776e-05,per36min
8.292788640229531e-07,7.226403654359004e-07,per36min
4.12385447989827e-06,0.0004935405399083548,per36min
8.879854226373496e-07,5.958596367994229e-05,per36min
3.966560462476121e-05,0.00010982116258118069,per36min
3.900340784013245e-06,1.438969367439924e-06,per36min
2.0997027649904965e-07,1.3058952619382502e-05,per36min
5.1515913948030345e-06,1.280189125263398e-06,per36min
0.0001208347615722083,1.4350519295103226e-05,per36min
0.0001369377795084059,0.00012187330087809478,per36min
6.375495897437133e-06,0.0001595301212682365,per36min
1.5775132534701086e-05,2.2267205064263607e-06,per36min
4.0850525560132134e-05,1.0816027745219614e-05,per36min
3.1310871266843066e-06,6.412547537193447e-06,per36min
3.723471468808359e-05,3.763839257597823e-06,per36min
2.990185549633928e-05,6.759228768804526e-06,per36min
0.00011835454921582667,0.00011099071588016596,per36min
8.500656883303481e-05,0.0002796243864531256,per36min
0.00010430656793236626,0.0002698586887639465,per36min
4.187783382736399e-06,1.713411833526024e-07,per36min
1.8543981916696595e-07,3.03532606282797e-05,per36min
1.9602919194783297e-05,8.160755083574944e-05,per36min
2.657082109258635e-05,4.568791693126961e-05,per36min
0.00032721593094386936,0.00014075721986006595,per36min
5.723573133797899e-05,2.681012747240974e-05,per36min
5.796917099565313e-06,5.898529838455069e-05,per36min
0.00013268498644869453,6.940317103187876e-05,per36min
6.164409174225227e-06,1.692335283254298e-05,per36min
5.893182593474933e-06,9.702575369363586e-06,per36min
0.00011492210603625264,2.857424241498041e-05,per36min
6.194412022197948e-05,7.79891426283541e-06,per36min
