dR2_M,dR2_OxM,target,var
3.908688575871011e-05,6.964949858190295e-06,reb,own_b2b
3.09602264495501e-05,0.0001492985154608606,reb,own_b2b
4.925743367634183e-07,8.112905556800776e-05,reb,own_b2b
6.729532948812622e-05,0.0001177460178748424,reb,own_b2b
0.0001821863771395149,1.4167519601926415e-08,reb,own_b2b
3.840395009635511e-05,3.5914493234701084e-05,reb,own_b2b
4.1585180066139316e-07,3.3472048738270033e-06,reb,own_b2b
0.00017234595207882286,2.434223262504087e-05,reb,own_b2b
9.452659988085088e-09,0.00018684513219413557,reb,own_b2b
9.866049172979618e-05,6.512452176976602e-06,reb,own_b2b
3.0356863993663552e-05,0.00015795568440035712,reb,own_b2b
5.866514159691416e-05,1.2484754862263081e-05,reb,own_b2b
8.846980586474373e-05,0.00021671381654475574,reb,own_b2b
7.65964239590744e-06,1.1841480593077769e-05,reb,own_b2b
6.6331326930013645e-06,1.651503489230599e-05,reb,own_b2b
7.557110356171126e-05,3.202698239845869e-05,reb,own_b2b
3.845068610064395e-06,0.00012645293421131854,reb,own_b2b
0.00023288172903013216,6.862042886546238e-05,reb,own_b2b
4.207769712394338e-05,2.9123038070011376e-06,reb,own_b2b
9.15248705741778e-05,5.122741460616975e-05,reb,own_b2b
1.2646437785646114e-05,0.0001260301933426744,reb,own_b2b
1.3048070429233505e-05,1.024459429732616e-06,reb,own_b2b
0.000445056727249149,8.43683259144079e-07,reb,own_b2b
1.4550748505648414e-05,4.580245085428203e-05,reb,own_b2b
6.087048341929524e-06,0.00011192170536733492,reb,own_b2b
1.8609165839400532e-06,2.8957803973161944e-05,reb,own_b2b
3.4879331284098924e-05,2.893693315064727e-05,reb,own_b2b
1.4009528946479222e-05,1.3622041083904968e-05,reb,own_b2b
6.726561230163686e-05,0.00011646118710029185,reb,own_b2b
0.0002057949688981653,3.863418935423635e-05,reb,own_b2b
3.3837605923237035e-05,5.214721768365127e-05,reb,own_b2b
2.3551774749552834e-05,2.8917304065179117e-05,reb,own_b2b
1.9532272106381754e-06,1.5662342037314758e-05,reb,own_b2b
9.889542408658691e-06,4.976331773653975e-06,reb,own_b2b
1.7217920467715864e-05,1.0690510989896929e-05,reb,own_b2b
4.734675797957166e-05,0.00018918794871869427,reb,own_b2b
4.949282951749456e-05,3.884468974280075e-05,reb,own_b2b
3.43535530511474e-06,8.017686300099136e-06,reb,own_b2b
