dR2_M,dR2_OxM,target,var
5.7399991721052146e-05,5.587842381671315e-05,pts,own_b2b
0.000136039495452267,5.5051440364550785e-05,pts,own_b2b
0.00014450356466633174,9.642290192957148e-07,pts,own_b2b
1.6506369391877662e-05,1.0926475304873229e-05,pts,own_b2b
5.915567324210613e-06,4.5071304245247745e-05,pts,own_b2b
1.5770844682849727e-05,2.1238831469094777e-06,pts,own_b2b
0.00011156898721809139,2.9676958321345204e-05,pts,own_b2b
1.3331856463238978e-07,0.00012662413796671323,pts,own_b2b
0.00014968894230626972,0.00020802859017521325,pts,own_b2b
1.858936800802624e-05,0.0001584774480071216,pts,own_b2b
0.00013134242452184086,5.027123777923137e-05,pts,own_b2b
6.446912082247458e-05,1.301156365429712e-06,pts,own_b2b
1.4932306639070525e-05,6.399829701975168e-05,pts,own_b2b
6.941009644823026e-08,2.941598073136209e-05,pts,own_b2b
7.812739736245966e-05,1.4320525415500995e-06,pts,own_b2b
4.750839816969332e-05,4.07267521600474e-05,pts,own_b2b
0.000252989224574951,7.49580891692414e-05,pts,own_b2b
6.952817714900306e-06,0.00011281602628143705,pts,own_b2b
7.097512976217413e-05,4.969890094674856e-05,pts,own_b2b
7.879082896222744e-05,4.1435401423206564e-05,pts,own_b2b
2.1738169031504384e-07,5.322354946935004e-05,pts,own_b2b
0.00013011155168574096,1.3927250136047675e-05,pts,own_b2b
3.709314855271373e-09,0.00015613426030669508,pts,own_b2b
2.8204425720157467e-05,7.922311897612389e-07,pts,own_b2b
3.882586960823886e-07,1.7594481891425318e-06,pts,own_b2b
7.237142642402272e-05,3.9266598392040386e-05,pts,own_b2b
7.432811696128638e-07,9.298858480655259e-05,pts,own_b2b
1.4799232738393897e-05,1.7517843396208654e-05,pts,own_b2b
2.2420192867467215e-05,1.9449871561660892e-05,pts,own_b2b
8.00810008875219e-05,6.788066915375257e-05,pts,own_b2b
2.2606800397229065e-06,2.9312050736307604e-05,pts,own_b2b
3.8575090444026294e-05,0.0004983151301174438,pts,own_b2b
5.091309629445817e-07,9.443426135424815e-05,pts,own_b2b
1.1523700866877817e-05,0.0005078518826767686,pts,own_b2b
4.763386043182827e-05,1.0486549397947798e-05,pts,own_b2b
1.9576406073973374e-07,5.1157566179904634e-06,pts,own_b2b
2.5285254670270874e-05,7.208287757465293e-06,pts,own_b2b
2.1225495808852024e-05,0.00038289829114690477,pts,own_b2b
2.4064846713800492e-05,2.0738569218581304e-06,pts,own_b2b
6.016746960657571e-07,8.70286624765626e-07,pts,own_b2b
1.561375529557374e-05,0.00016818204906332568,pts,own_b2b
2.1342871557861187e-05,6.589329707984426e-06,pts,own_b2b
