unit,slice,slice_status,arm,bucket,n_available,n_bets,coverage_share,n_dates,n_players,starrable,realised_edge_mean,realised_edge_ci90_low,realised_edge_ci90_high,roi_captured_mean,roi_captured_ci90_low,roi_captured_ci90_high,roi_m110_mean,roi_m110_ci90_low,roi_m110_ci90_high,roi_captured_boot_ci90_low,roi_captured_boot_ci90_high,wins,losses,pushes,hit_rate,share_we_beat_market,mean_model_abs_err,mean_market_abs_err,mean_abs_disagreement
game,2026_retrospective_descriptive,RETROSPECTIVE DESCRIPTIVE TEST ONLY,comparator_disagreement_only,top_half,128,64,0.5,45,,True,-0.5171614089313968,-1.5158664601647571,0.48154364230196345,-0.04143092239342147,-0.2285009412376949,0.14563909645085196,-0.07528409090909087,-0.254717758597959,0.10414957677977725,-0.22171184886481662,0.14040267645434135,32,32,0,0.5,0.421875,11.760217246323172,11.243055837391775,4.813745568460533
game,2026_retrospective_descriptive,RETROSPECTIVE DESCRIPTIVE TEST ONLY,comparator_absence_proxy_only,top_decile,128,12,0.09375,12,,False,-0.11412586973742934,-2.194337637673246,1.9660858981983875,0.1138558820434189,-0.3333840335793974,0.5610957976662352,0.11363636363636369,-0.33330923511373023,0.5605819623864576,-0.36412433513882786,0.5880904441855123,7,5,0,0.5833333333333334,0.5833333333333334,8.685474775461335,8.571348905723907,3.937481475463318
game,2026_retrospective_descriptive,RETROSPECTIVE DESCRIPTIVE TEST ONLY,comparator_absence_proxy_only,top_quartile,128,32,0.25,26,,False,-0.8029512917265045,-1.8257193167114556,0.21981673325844664,-0.04225183398216592,-0.2932335905831286,0.20872992261879675,-0.045454545454545414,-0.29566140496741866,0.20475231405832783,-0.30355073384358566,0.1961324534834769,16,16,0,0.5,0.46875,10.677059561928525,9.874108270202022,3.2973950361078295
game,2026_retrospective_descriptive,RETROSPECTIVE DESCRIPTIVE TEST ONLY,comparator_absence_proxy_only,top_half,128,64,0.5,44,,True,-0.04687513994028636,-0.7496121092202699,0.6558618293396972,0.13821477467526733,-0.026239628564342615,0.30266917791487724,0.13352272727272732,-0.03002983459490427,0.2970752891403589,-0.030599517513028127,0.3059166085437297,38,26,0,0.59375,0.546875,9.897372299031197,9.850497159090908,3.3287968505708267
game,2026_retrospective_descriptive,RETROSPECTIVE DESCRIPTIVE TEST ONLY,comparator_bet_everything,all_no_selection,128,128,1.0,55,,True,-0.15212145598257254,-0.6477362049548276,0.3434932929896826,0.07689089586107434,-0.0360211958881901,0.18980298761033876,0.05894886363636369,-0.04716606250270562,0.165063789775433,-0.035656087907201824,0.1887339127643167,72,56,0,0.5625,0.5234375,9.990788821603061,9.838667365620491,3.0978577565558183
game,2024_in_sample_fit,SELECTOR-FITTING,selector_ridge,top_decile,212,21,0.09905660377358491,17,,False,0.15151017510944456,-0.40718201326918757,0.7102023634880766,0.007165214204551729,-0.2643979103411366,0.27872833875024006,4.229421046191072e-17,-0.269291063289662,0.2692910632896621,-0.2663726887329371,0.2831777052791546,11,10,0,0.5238095238095238,0.5238095238095238,8.108132034532765,8.25964220964221,1.9124329232178763
game,2024_in_sample_fit,SELECTOR-FITTING,selector_ridge,top_quartile,212,53,0.25,38,,True,0.1020470888010856,-0.3580417142786182,0.5621358918807894,0.08578936974292747,-0.12351181206943124,0.2950905515552862,0.08061749571183538,-0.12709545960248617,0.28833045102615695,-0.11233296133589603,0.29119242248321847,30,23,0,0.5660377358490566,0.5094339622641509,8.712408057729533,8.81445514653062,1.9246003109488388
game,2024_in_sample_fit,SELECTOR-FITTING,selector_ridge,top_half,212,106,0.5,61,,True,-0.25699885660091465,-0.7161808921395274,0.20218317893769805,0.014437845243051617,-0.15253725184717745,0.18141294233328067,0.008576329331046354,-0.15682683457657265,0.17397949323866535,-0.15374654606503163,0.1885605059500106,56,50,0,0.5283018867924528,0.4811320754716981,9.055199568362948,8.798200711762032,2.4123373895805575
game,2024_in_sample_fit,SELECTOR-FITTING,selector_logistic_sign,top_decile,212,21,0.09905660377358491,19,,False,0.37977036181555296,-0.21502761612981153,0.9745683397609175,0.2744892201564698,-0.016836517099580284,0.56581495741252,0.27272727272727276,-0.017936844455167245,0.5633913899097127,-0.0029223734327703736,0.5631906560280635,14,7,0,0.6666666666666666,0.6190476190476191,7.3167044596592685,7.696474821474823,1.9391044917395046
game,2024_in_sample_fit,SELECTOR-FITTING,selector_logistic_sign,top_quartile,212,53,0.25,41,,True,-0.13577845694818239,-0.702213226833297,0.4306563129369323,0.11898290515959663,-0.08458832367583861,0.32255413399503186,0.11663807890222991,-0.08630230711734732,0.31957846492180714,-0.07409902109679517,0.30818893316093077,31,22,0,0.5849056603773585,0.5283018867924528,8.94878039211993,8.813001935171746,2.355662344615037
game,2024_in_sample_fit,SELECTOR-FITTING,selector_logistic_sign,top_half,212,106,0.5,63,,True,-0.06034999902863149,-0.5211185230805341,0.40041852502327113,0.10367674313061107,-0.048409195428773255,0.2557626816899954,0.09862778730703264,-0.052243873059072965,0.24949944767313825,-0.051838991066924384,0.25804143221648074,61,45,0,0.5754716981132075,0.5283018867924528,8.661127549570333,8.600777550541702,2.674172868882935
