era,cutoff,game_id,game_date,season,season_type,model_margin,market_margin,consensus_home_spread,n_books,edge,side,margin_true,cons_outcome,cons_profit_m110,be_book,be_line_margin,be_price,be_outcome,be_profit,clv_pts,TEAM_ABBREVIATION_h,TEAM_ABBREVIATION_a,str_margin_cal,raw_margin_cal,str_total_cal,model_abs_err,market_abs_err,edge_sign,profit_captured,profit_m110,outcome,line_mag,disagreement_abs,internal_spread,pred_total,line_disp,n_books_vintage,absence_proxy_home,absence_load_home,rest_days_home,gp_prior_home,post_hoc_dnp_home,absence_proxy_away,absence_load_away,rest_days_away,gp_prior_away,post_hoc_dnp_away,rest_diff,gp_min,absence_proxy_total,absence_load_total,post_hoc_dnp_total
old,T-64m,1022400070,2024-06-12,2024,Regular Season,-6.7732558808346015,-7.458333333333333,7.458333333333333,12,-0.6850774524987315,home,-8.0,loss,-1.0,lowvig,-7.5,-103.0,loss,-1.0,,CHI,CON,-6.7732558808346015,1.0149411197840048,158.25821194152812,1.2267441191653985,0.541666666666667,0,-1.0,-1.0,-1,7.458333333333333,0.6850774524987315,7.788197000618606,158.25821194152812,0.14433756729740643,12,1.0,22.729166666666668,4.0,10,2,1.0,1.525,2.0,11,2,2.0,10,2.0,24.254166666666666,4
old,T-64m,1022400071,2024-06-13,2024,Regular Season,-0.9523024654336962,-2.458333333333333,2.458333333333333,12,1.5060308678996357,home,7.0,win,0.9090909090909092,betonlineag,-3.0,-110.0,win,0.9090909090909092,,IND,ATL,-0.9523024654336962,3.668382075764221,158.22348107048282,7.9523024654336965,9.458333333333332,1,0.9090909090909092,0.9090909090909092,1,2.458333333333333,1.5060308678996368,4.620684541197917,158.22348107048282,0.33427896171076077,12,0.0,0.0,3.0,13,4,0.0,0.0,2.0,10,3,1.0,10,0.0,0.0,7
old,T-64m,1022400072,2024-06-13,2024,Regular Season,-9.55024801191512,-6.708333333333333,6.708333333333333,12,-0.25858134524845244,away,-8.0,win,0.9090909090909092,fanduel,-6.0,-114.0,win,0.8771929824561403,,DAL,SEA,-9.55024801191512,0.9311404286488214,165.95348873973785,1.5502480119151194,1.291666666666667,0,0.8771929824561403,0.9090909090909092,1,6.708333333333333,2.8419146785817864,10.48138844056394,165.95348873973785,0.33427896171076077,12,1.0,1.1444444444444446,4.0,10,0,1.0,5.266666666666667,2.0,12,3,2.0,10,2.0,6.411111111111111,3
old,T-64m,1022400073,2024-06-13,2024,Regular Season,-5.923229156146416,-5.136363636363637,5.136363636363637,11,-0.7868655197827792,away,-4.0,loss,-1.0,betonlineag,-5.0,-105.0,loss,-1.0,,PHO,LVA,-5.923229156146416,-2.528613690003428,165.64676931106905,1.9232291561464159,1.1363636363636367,0,-1.0,-1.0,-1,5.136363636363637,0.7868655197827792,3.3946154661429877,165.64676931106905,0.23354968324845687,11,3.0,32.416666666666664,4.0,12,3,0.0,0.0,2.0,10,3,2.0,10,3.0,32.416666666666664,6
old,T-64m,1022400074,2024-06-14,2024,Regular Season,0.5368374717598876,-2.458333333333333,2.458333333333333,12,2.9951708050932204,home,2.0,win,0.9090909090909092,lowvig,-2.5,102.0,win,1.02,,WAS,CHI,0.5368374717598876,-0.1574627265089125,156.80130387881263,1.4631625282401124,4.458333333333333,1,1.02,0.9090909090909092,1,2.458333333333333,2.9951708050932204,0.6943001982688001,156.80130387881263,0.14433756729740646,12,0.0,0.0,3.0,13,2,2.0,25.261111111111113,2.0,11,2,1.0,11,2.0,25.261111111111113,4
old,T-64m,1022400075,2024-06-14,2024,Regular Season,11.151018150135206,12.954545454545457,-12.954545454545457,11,1.8035273044102507,away,5.0,win,0.9090909090909092,betus,13.0,-110.0,win,0.9090909090909092,,MIN,LAS,11.151018150135206,7.814783548823811,167.2024076871174,6.151018150135206,7.954545454545457,1,0.9090909090909092,0.9090909090909092,1,12.954545454545457,1.8035273044102507,3.3362346013113955,167.2024076871174,0.15075567228888181,11,0.0,0.0,3.0,12,3,0.0,0.0,3.0,12,2,0.0,12,0.0,0.0,5
old,T-64m,1022400076,2024-06-15,2024,Regular Season,-9.01742107943623,-6.541666666666667,6.541666666666667,12,2.4757544127695628,away,-18.0,win,0.9090909090909092,mybookieag,-6.5,-110.0,win,0.9090909090909092,,DAL,CON,-9.01742107943623,2.918516988387457,162.71743371498965,8.98257892056377,11.458333333333332,1,0.9090909090909092,0.9090909090909092,1,6.541666666666667,2.4757544127695637,11.935938067823688,162.71743371498965,0.14433756729740643,12,0.0,0.0,2.0,11,0,3.0,15.612499999999999,3.0,12,0,-1.0,11,3.0,15.612499999999999,0
old,T-64m,1022400077,2024-06-15,2024,Regular Season,0.8243423528130098,2.45,-2.45,10,1.6256576471869888,away,-8.0,win,0.9090909090909092,betonlineag,2.5,-105.0,win,0.9523809523809524,,LVA,NYL,0.8243423528130098,3.084698062167397,167.88335773710412,8.82434235281301,10.45,1,0.9523809523809524,0.9090909090909092,1,2.45,1.6256576471869904,2.2603557093543873,167.88335773710412,0.15811388300841897,10,1.0,1.7833333333333334,2.0,11,1,1.0,26.308333333333334,6.0,13,0,-4.0,11,2.0,28.09166666666667,1
old,T-64m,1022400078,2024-06-16,2024,Regular Season,-4.183471086362609,-3.2916666666666665,3.2916666666666665,12,-0.8918044196959425,away,9.0,loss,-1.0,lowvig,-3.0,-103.0,loss,-1.0,,PHO,SEA,-4.183471086362609,0.3739597767513556,162.74784072106988,13.183471086362609,12.291666666666666,0,-1.0,-1.0,-1,3.2916666666666665,0.891804419695942,4.557430863113964,162.74784072106988,0.25746432527221863,12,3.0,25.416666666666664,3.0,13,3,3.0,11.93611111111111,3.0,13,3,0.0,13,6.0,37.352777777777774,6
old,T-64m,1022400079,2024-06-16,2024,Regular Season,0.4890792427735422,2.458333333333333,-2.458333333333333,12,-1.969254090559791,away,8.0,loss,-1.0,bovada,3.0,-115.0,loss,-1.0,,IND,CHI,0.4890792427735422,1.8514737110448036,163.10210373846013,7.510920757226458,5.541666666666667,0,-1.0,-1.0,-1,2.458333333333333,1.9692540905597908,1.3623944682712614,163.10210373846013,0.25746432527221863,12,3.0,17.541666666666668,3.0,14,4,2.0,24.333333333333336,2.0,12,3,1.0,12,5.0,41.875,7
