unit,slice,arm,curve_type,x,x_label,n,coverage_share,realised_edge_mean,realised_edge_ci90_low,realised_edge_ci90_high,roi_captured,roi_captured_ci90_low,roi_captured_ci90_high,roi_m110,pred_score_mean,mean_abs_disagreement,hit_rate,starrable
props_regular,2026_retrospective_descriptive,comparator_disagreement_only,coverage,0.2,top_20pct,355,0.1998873873873874,-1.0697916367999778,-1.356475021014841,-0.7831082525851146,-0.08046921286182619,-0.14004218361630544,-0.02089624210734696,-0.04814340588988476,4.303002458701682,4.303002458701682,0.49859154929577465,True
props_regular,2026_retrospective_descriptive,comparator_disagreement_only,coverage,0.25,top_25pct,444,0.25,-0.9426900848565771,-1.2029452269455538,-0.6824349427676004,-0.06340382788086575,-0.12908625678324798,0.0022786010215164604,-0.032555282555282554,4.000202945609491,4.000202945609491,0.5067567567567568,True
props_regular,2026_retrospective_descriptive,comparator_disagreement_only,coverage,0.3,top_30pct,532,0.29954954954954954,-0.8319755099487356,-1.045979193487376,-0.6179718264100953,-0.05132317356506547,-0.1095256594185604,0.006879312288429459,-0.020334928229665063,3.7491281827100766,3.7491281827100766,0.5131578947368421,True
props_regular,2026_retrospective_descriptive,comparator_disagreement_only,coverage,0.4,top_40pct,710,0.3997747747747748,-0.6684971946236014,-0.8366535724571789,-0.5003408167900238,-0.033704641966883414,-0.07851814158079326,0.011108857647026425,-0.0024327784891165164,3.319172325195222,3.319172325195222,0.5225352112676056,True
props_regular,2026_retrospective_descriptive,comparator_disagreement_only,coverage,0.5,top_50pct,888,0.5,-0.6012059469762807,-0.7406944468716852,-0.46171744708087625,-0.061929074935290866,-0.10786040151792448,-0.015997748352657264,-0.032555282555282554,2.973134067075176,2.973134067075176,0.5067567567567568,True
props_regular,2026_retrospective_descriptive,comparator_disagreement_only,coverage,0.6,top_60pct,1065,0.5996621621621622,-0.5153599879192194,-0.6311824091552235,-0.3995375666832154,-0.05214206578922504,-0.09574329111710128,-0.0085408404613488,-0.02304737516005121,2.6824827813835803,2.6824827813835803,0.5117370892018779,True
props_regular,2026_retrospective_descriptive,comparator_disagreement_only,coverage,0.7,top_70pct,1243,0.6998873873873874,-0.44638266115686126,-0.5426260509396724,-0.3501392713740501,-0.04989795672491636,-0.09064336311110355,-0.009152550338729179,-0.021648504351641923,2.4306435920056604,2.4306435920056604,0.5124698310539019,True
props_regular,2026_retrospective_descriptive,comparator_disagreement_only,coverage,0.8,top_80pct,1420,0.7995495495495496,-0.39146402608930675,-0.4738072742455316,-0.3091207779330819,-0.04298824317434097,-0.07973561236741486,-0.0062408739812670685,-0.014532650448143409,2.210623844144217,2.210623844144217,0.5161971830985915,True
props_regular,2026_retrospective_descriptive,comparator_disagreement_only,coverage,0.9,top_90pct,1598,0.8997747747747747,-0.3468332484669704,-0.42235701430438477,-0.271309482629556,-0.03946181322204745,-0.07746371725352433,-0.0014599091905705616,-0.01080896575264535,2.0083434354085474,2.0083434354085474,0.5181476846057572,True
props_regular,2026_retrospective_descriptive,comparator_disagreement_only,coverage,1.0,top_100pct,1776,1.0,-0.3115517416777547,-0.37924900091100344,-0.24385448244450592,-0.030629721085316943,-0.06660982508005679,0.005350382909422902,-0.0013820638820638794,1.8195252505320056,1.8195252505320056,0.5230855855855856,True
