capture_id,cycle_id,game_date,game_time_et,matchup,team_raw,coverage_status,retrieval_ts_utc
cap_20260807T072702416766,cycle_20260807,08/08/2026,08:30 (ET),SEA@PDX,Seattle Storm,NOT_YET_SUBMITTED,2026-08-07T07:27:14.594262+00:00
cap_20260807T072702416766,cycle_20260807,08/08/2026,08:30 (ET),SEA@PDX,Portland Fire,NOT_YET_SUBMITTED,2026-08-07T07:27:14.594262+00:00
cap_20260807T074202929842,cycle_20260807,08/08/2026,01:00 (ET),LVA@MIN,Las Vegas Aces,NOT_YET_SUBMITTED,2026-08-07T07:42:15.249802+00:00
cap_20260807T074202929842,cycle_20260807,08/08/2026,01:00 (ET),LVA@MIN,Minnesota Lynx,NOT_YET_SUBMITTED,2026-08-07T07:42:15.249802+00:00
cap_20260807T074202929842,cycle_20260807,08/08/2026,03:30 (ET),IND@CHI,Indiana Fever,NOT_YET_SUBMITTED,2026-08-07T07:42:15.249802+00:00
cap_20260807T074202929842,cycle_20260807,08/08/2026,03:30 (ET),IND@CHI,Chicago Sky,NOT_YET_SUBMITTED,2026-08-07T07:42:15.249802+00:00
cap_20260807T074202929842,cycle_20260807,08/08/2026,08:30 (ET),SEA@PDX,Seattle Storm,NOT_YET_SUBMITTED,2026-08-07T07:42:15.249802+00:00
cap_20260807T074202929842,cycle_20260807,08/08/2026,08:30 (ET),SEA@PDX,Portland Fire,NOT_YET_SUBMITTED,2026-08-07T07:42:15.249802+00:00
cap_20260807T075702536154,cycle_20260807,08/08/2026,01:00 (ET),LVA@MIN,Las Vegas Aces,NOT_YET_SUBMITTED,2026-08-07T07:57:16.125519+00:00
cap_20260807T075702536154,cycle_20260807,08/08/2026,01:00 (ET),LVA@MIN,Minnesota Lynx,NOT_YET_SUBMITTED,2026-08-07T07:57:16.125519+00:00
cap_20260807T075702536154,cycle_20260807,08/08/2026,03:30 (ET),IND@CHI,Indiana Fever,NOT_YET_SUBMITTED,2026-08-07T07:57:16.125519+00:00
cap_20260807T075702536154,cycle_20260807,08/08/2026,03:30 (ET),IND@CHI,Chicago Sky,NOT_YET_SUBMITTED,2026-08-07T07:57:16.125519+00:00
cap_20260807T075702536154,cycle_20260807,08/08/2026,08:30 (ET),SEA@PDX,Seattle Storm,NOT_YET_SUBMITTED,2026-08-07T07:57:16.125519+00:00
cap_20260807T075702536154,cycle_20260807,08/08/2026,08:30 (ET),SEA@PDX,Portland Fire,NOT_YET_SUBMITTED,2026-08-07T07:57:16.125519+00:00
cap_20260807T081202604139,cycle_20260807,08/08/2026,01:00 (ET),LVA@MIN,Las Vegas Aces,NOT_YET_SUBMITTED,2026-08-07T08:12:16.213037+00:00
cap_20260807T081202604139,cycle_20260807,08/08/2026,01:00 (ET),LVA@MIN,Minnesota Lynx,NOT_YET_SUBMITTED,2026-08-07T08:12:16.213037+00:00
cap_20260807T081202604139,cycle_20260807,08/08/2026,03:30 (ET),IND@CHI,Indiana Fever,NOT_YET_SUBMITTED,2026-08-07T08:12:16.213037+00:00
cap_20260807T081202604139,cycle_20260807,08/08/2026,03:30 (ET),IND@CHI,Chicago Sky,NOT_YET_SUBMITTED,2026-08-07T08:12:16.213037+00:00
cap_20260807T081202604139,cycle_20260807,08/08/2026,08:30 (ET),SEA@PDX,Seattle Storm,NOT_YET_SUBMITTED,2026-08-07T08:12:16.213037+00:00
cap_20260807T081202604139,cycle_20260807,08/08/2026,08:30 (ET),SEA@PDX,Portland Fire,NOT_YET_SUBMITTED,2026-08-07T08:12:16.213037+00:00
cap_20260807T082702622993,cycle_20260807,08/08/2026,01:00 (ET),LVA@MIN,Las Vegas Aces,NOT_YET_SUBMITTED,2026-08-07T08:27:16.120487+00:00
cap_20260807T082702622993,cycle_20260807,08/08/2026,01:00 (ET),LVA@MIN,Minnesota Lynx,NOT_YET_SUBMITTED,2026-08-07T08:27:16.120487+00:00
cap_20260807T082702622993,cycle_20260807,08/08/2026,03:30 (ET),IND@CHI,Indiana Fever,NOT_YET_SUBMITTED,2026-08-07T08:27:16.120487+00:00
cap_20260807T082702622993,cycle_20260807,08/08/2026,03:30 (ET),IND@CHI,Chicago Sky,NOT_YET_SUBMITTED,2026-08-07T08:27:16.120487+00:00
cap_20260807T082702622993,cycle_20260807,08/08/2026,08:30 (ET),SEA@PDX,Seattle Storm,NOT_YET_SUBMITTED,2026-08-07T08:27:16.120487+00:00
cap_20260807T082702622993,cycle_20260807,08/08/2026,08:30 (ET),SEA@PDX,Portland Fire,NOT_YET_SUBMITTED,2026-08-07T08:27:16.120487+00:00
cap_20260807T084202611254,cycle_20260807,08/08/2026,01:00 (ET),LVA@MIN,Las Vegas Aces,NOT_YET_SUBMITTED,2026-08-07T08:42:15.877005+00:00
cap_20260807T084202611254,cycle_20260807,08/08/2026,01:00 (ET),LVA@MIN,Minnesota Lynx,NOT_YET_SUBMITTED,2026-08-07T08:42:15.877005+00:00
cap_20260807T084202611254,cycle_20260807,08/08/2026,03:30 (ET),IND@CHI,Indiana Fever,NOT_YET_SUBMITTED,2026-08-07T08:42:15.877005+00:00
cap_20260807T084202611254,cycle_20260807,08/08/2026,03:30 (ET),IND@CHI,Chicago Sky,NOT_YET_SUBMITTED,2026-08-07T08:42:15.877005+00:00
cap_20260807T084202611254,cycle_20260807,08/08/2026,08:30 (ET),SEA@PDX,Seattle Storm,NOT_YET_SUBMITTED,2026-08-07T08:42:15.877005+00:00
