candidate,dependent,direction,coverage,skill_gain,scheme,p_correct_level,p_row_level_NAIVE,null_sd_correct,null_sd_row_NAIVE,inflation_sd_correct_over_row,familywise_p_correct
pl_pts_sd5,rate_ppf_refA,abstain on LOW,0.75,0.0022933740444643913,WITHIN-block,0.04738154613466334,0.09476309226932668,0.001842828191949551,0.0018360993694001378,1.0036647376833485,1.0
pl_pts_sd5,level_points,abstain on HIGH,0.75,0.0009643847725913091,WITHIN-block,0.5112219451371571,0.38403990024937656,0.0018194279783480276,0.002028707011211725,0.8968411743504069,1.0
pl_pts_sd5,level_points,abstain on LOW,0.75,-0.0012199681950533225,WITHIN-block,1.0,0.7506234413965087,0.0013765907262507072,0.00195201917155658,0.7052137326873616,1.0
pl_pts_sd5,level_minutes,abstain on HIGH,0.75,0.005536535902270434,WITHIN-block,0.34413965087281795,0.022443890274314215,0.002128105738634834,0.0029681844883752816,0.7169721919137554,1.0
pl_pts_sd5,level_minutes,abstain on LOW,0.75,-0.002839737398982578,WITHIN-block,1.0,0.8827930174563591,0.0025517558645697107,0.0027172847537387064,0.9390829801914412,1.0
pl_pts_mean5,rate_ppm_refA,abstain on HIGH,0.75,0.0014338546185376222,BETWEEN-block,0.11970074812967581,0.20698254364089774,0.0010878432644203261,0.001533065899686991,0.7095867598662479,1.0
pl_pts_mean5,rate_ppm_refA,abstain on LOW,0.75,-0.00030262570194317107,BETWEEN-block,0.5810473815461347,0.5910224438902744,0.0011230843509115276,0.0014856039869733514,0.7559782827451939,1.0
pl_pts_mean5,rate_ppm_refB,abstain on HIGH,0.75,0.0024974463372382516,BETWEEN-block,0.08229426433915212,0.09226932668329177,0.0017518386075867029,0.0018038949810973925,0.9711422371833303,1.0
pl_pts_mean5,rate_ppm_refB,abstain on LOW,0.75,-0.0012320146550577338,BETWEEN-block,0.7206982543640897,0.7905236907730673,0.0017004666435405198,0.0017429351691638814,0.9756339040173625,1.0
pl_pts_mean5,rate_ppf_refA,abstain on HIGH,0.75,0.0016331698674246775,BETWEEN-block,0.23690773067331672,0.22693266832917705,0.0017430000466038755,0.001888611231267892,0.9229003924930264,1.0
pl_pts_mean5,rate_ppf_refA,abstain on LOW,0.75,0.0009391036740452607,BETWEEN-block,0.256857855361596,0.30174563591022446,0.0017192918545555851,0.0018412568283082927,0.9337599340420281,1.0
pl_pts_mean5,level_points,abstain on HIGH,0.75,0.008476641235594329,BETWEEN-block,0.0024937655860349127,0.0024937655860349127,0.001999505716993797,0.002041430384659256,0.9794630921629705,1.0
pl_pts_mean5,level_points,abstain on LOW,0.75,-0.004030117603335048,BETWEEN-block,0.9800498753117207,0.9850374064837906,0.001993609405124436,0.0019836647764050618,1.005013260727146,1.0
pl_pts_mean5,level_minutes,abstain on HIGH,0.75,0.010076860188355297,BETWEEN-block,0.012468827930174564,0.0024937655860349127,0.004027961554384077,0.002893459606842391,1.3920918560116893,1.0
