subset,target,stage,denominator,exposure,n,rung,kind,mae,rmse,r2,sd_y,coverage
"DECISION (>=8 prior, >=24 trail-5 min)",y_fta_given,B,CONDITIONAL_SUBSET(fta>0),minutes,3733,O5   prior exposure x SEASON-MEAN rate,ORACLE,1.7789481526820572,2.325597297096873,0.1902219533147137,2.5846973172920724,1.0
"DECISION (>=8 prior, >=24 trail-5 min)",y_fta_given,B,CONDITIONAL_SUBSET(fta>0),minutes,3733,O3   within-player-season OLS on ACTUAL exposure,ORACLE,1.6708531235485833,2.2036927746807784,0.27289176025951734,2.5846973172920724,1.0
"DECISION (>=8 prior, >=24 trail-5 min)",y_ftm_given,C,CONDITIONAL_SUBSET(fta>0),fta,3733,REF  expanding prior mean (MATCHED),honest,1.6599173008950234,2.173517997670181,0.1194361716578286,2.3165463671579962,1.0
"DECISION (>=8 prior, >=24 trail-5 min)",y_ftm_given,C,CONDITIONAL_SUBSET(fta>0),fta,3733,H1   EWMA prior (hl=5),honest,1.67894294957037,2.19581741541562,0.10127502488015361,2.3165463671579962,1.0
"DECISION (>=8 prior, >=24 trail-5 min)",y_ftm_given,C,CONDITIONAL_SUBSET(fta>0),fta,3733,H2   trailing-5 prior mean,honest,1.7494910259844627,2.290050753865238,0.022482422631223686,2.3165463671579962,1.0
"DECISION (>=8 prior, >=24 trail-5 min)",y_ftm_given,C,CONDITIONAL_SUBSET(fta>0),fta,3733,H3   prior rate(floored) x prior exposure,honest,1.6599173008950234,2.173517997670181,0.1194361716578286,2.3165463671579962,1.0
"DECISION (>=8 prior, >=24 trail-5 min)",y_ftm_given,C,CONDITIONAL_SUBSET(fta>0),fta,2614,H4   walk-forward OLS on B_COMPLETE,honest,1.6663389881237651,2.181610542267182,0.15018196324322286,2.3669949869420956,0.7002410929547281
"DECISION (>=8 prior, >=24 trail-5 min)",y_ftm_given,C,CONDITIONAL_SUBSET(fta>0),fta,3733,O1   SEASON-MEAN target,ORACLE,1.575572332604178,2.073828968757859,0.19835842304854423,2.3165463671579962,1.0
"DECISION (>=8 prior, >=24 trail-5 min)",y_ftm_given,C,CONDITIONAL_SUBSET(fta>0),fta,3733,O2   ACTUAL exposure x SEASON-MEAN rate,ORACLE,0.6126629022773403,0.7787913958022935,0.8869484165375456,2.3165463671579962,1.0
"DECISION (>=8 prior, >=24 trail-5 min)",y_ftm_given,C,CONDITIONAL_SUBSET(fta>0),fta,3733,O4   ACTUAL exposure x prior rate(floored),ORACLE,0.6458783797710951,0.8284745111949289,0.8720640309044528,2.3165463671579962,1.0
