stratum,rowset,n,denominator_SST,target,stage,base,candidate,family,level,r2_base,dR2,beta,sd_candidate,sd_candidate_resid,sd_y,p_N_ROW,nullmean_N_ROW,nullsd_N_ROW,z_N_ROW,p_N_CYCLIC,nullmean_N_CYCLIC,nullsd_N_CYCLIC,z_N_CYCLIC,p_correct_level,correct_null_used,sd_inflation_correct_over_row,p_N_ENTITY,nullmean_N_ENTITY,nullsd_N_ENTITY,z_N_ENTITY,t_stat,p_family_wise,z_normal_orientation_only,p_normal_ORIENTATION_ONLY
POOLED,MAIN,12795,81128.83673309887,y_fta,AB,B_COMPLETE_PLUS_M02,M04_opp_allowed_ft_rate,M,opp_team_season,0.30302452777813427,0.00011321078486608657,-2.411974106454311,0.03978291910229766,0.011108507452612479,2.518166553234929,0.15307820299500832,5.666544484952301e-05,7.609490432887075e-05,0.743089705089622,,,,,0.17637271214642264,N_ENTITY,1.1676257667613839,0.17637271214642264,6.212014161234915e-05,8.885037101363185e-05,0.5750189073031429,0.5750189073031429,1.0,0.5750189073031429,0.2826392311224372
POOLED,MAIN,12795,81128.83673309887,y_fta,AB,B_SINGLE,M05_opp_allowed_hurdle_rate,M,opp_team_season,0.28298513766833455,0.0007415591977262884,1.672410914233376,0.04100296736382788,0.041002880841407546,2.518166553234929,0.0016638935108153079,5.627721853019517e-05,7.967354733825161e-05,8.601122983601439,,,,,0.028286189683860232,N_ENTITY,2.4489636272366715,0.028286189683860232,0.0001375965011665637,0.00019511761948429732,3.0953775376924915,3.0953775376924915,0.22795341098169716,3.0953775376924915,0.0009828126638267514
POOLED,MAIN,12795,81128.83673309887,y_fta,AB,B_COMPLETE,M05_opp_allowed_hurdle_rate,M,opp_team_season,0.3004128634431048,0.0005550376871656122,1.4881509957591508,0.04100296736382788,0.03986563520378882,2.518166553234929,0.0016638935108153079,5.451581685713791e-05,7.450200598164145e-05,6.718233471885458,,,,,0.03494176372712146,N_ENTITY,2.453635215142795,0.03494176372712146,0.00013270829048588875,0.00018280074547533462,2.310326446325726,2.310326446325726,0.47088186356073214,2.310326446325726,0.01043504306291956
POOLED,MAIN,12795,81128.83673309887,y_fta,AB,B_COMPLETE_PLUS_M02,M05_opp_allowed_hurdle_rate,M,opp_team_season,0.30302452777813427,9.626292486227449e-05,-0.7841994019651546,0.04100296736382788,0.03150557941496238,2.518166553234929,0.18302828618968386,5.399620502932208e-05,7.357306906200004e-05,0.5744862946703261,,,,,0.22296173044925124,N_ENTITY,1.208382828647402,0.22296173044925124,6.399198058890706e-05,8.890443330541027e-05,0.36298464624939664,0.36298464624939664,1.0,0.36298464624939664,0.3583081767071819
POOLED,MAIN,12795,81128.83673309887,y_fta,AB,B_SINGLE,M06_opp_pace,M,opp_team_season,0.28298513766833455,0.0009404571300411181,0.02059307723913143,3.750176410877367,3.750012406307653,2.518166553234929,0.0016638935108153079,5.85331773390946e-05,8.12404658333367e-05,10.855722498087026,,,,,0.024958402662229616,N_ENTITY,2.979639885099268,0.024958402662229616,0.00017391153521005055,0.00024206733228105434,3.1666627116006847,3.1666627116006847,0.20465890183028287,3.1666627116006847,0.0007709953113464517
POOLED,MAIN,12795,81128.83673309887,y_fta,AB,B_COMPLETE,M06_opp_pace,M,opp_team_season,0.3004128634431048,0.0009094749330253901,0.02034749615421071,3.750176410877367,3.7322338113022098,2.518166553234929,0.0016638935108153079,5.7479678963739225e-05,7.99032938486115e-05,10.662830191654937,,,,,0.024958402662229616,N_ENTITY,2.934803612648428,0.024958402662229616,0.00016403766895713842,0.00023450047544941395,3.178830501898305,3.178830501898305,0.20133111480865223,3.178830501898305,0.000739352705480497
POOLED,MAIN,12795,81128.83673309887,y_fta,AB,B_COMPLETE_PLUS_M02,M06_opp_pace,M,opp_team_season,0.30302452777813427,0.0003289286192519114,0.012625200005788182,3.750176410877367,3.6174040077093217,2.518166553234929,0.019966722129783693,5.6901493547366634e-05,7.996668713587096e-05,3.4017555990827146,,,,,0.019966722129783693,N_ENTITY,1.0968631045321264,0.019966722129783693,5.963995859347012e-05,8.771250871100068e-05,3.0701283615739037,3.0701283615739037,0.22961730449251247,3.0701283615739037,0.0010698339936345606
POOLED,MAIN,12795,81128.83673309887,y_fta,AB,B_COMPLETE,X01_fd_x_oppfoul,X,opp_team_season,0.3004128634431048,0.00023242146222952008,0.5673253122433219,0.06936373680533249,0.06766910071484851,2.518166553234929,0.04326123128119801,5.5020831554288086e-05,7.554026069899844e-05,2.3484249198200624,0.718801996672213,0.0004787396950529637,0.0003686574297809854,-0.6681493791398103,0.718801996672213,N_CYCLIC+N_ENTITY,4.880277435763117,0.04492512479201331,6.143153704428085e-05,8.47682254905801e-05,2.017146450756369,-0.6681493791398103,1.0,-0.6681493791398103,0.7479808963696504
POOLED,MAIN,12795,81128.83673309887,y_fta,AB,B_MATCHUP,X01_fd_x_oppfoul,X,opp_team_season,0.30403173411467366,0.00023360960101981217,0.5765799667028081,0.06936373680533249,0.0667529166787017,2.518166553234929,0.04159733777038269,5.458536147507183e-05,7.446269014041826e-05,2.404213965506011,0.5474209650582362,0.0003458247832352135,0.0003085937081672219,-0.3636340574856885,0.5474209650582362,N_CYCLIC+N_ENTITY,4.144272891367345,0.03826955074875208,5.858567884680266e-05,8.073659129120473e-05,2.1678388866050162,-0.3636340574856885,1.0,-0.3636340574856885,0.6419343547308087
POOLED,MAIN,12795,81128.83673309887,y_fta,AB,B_COMPLETE,X02_ftr_x_oppftrate,X,opp_team_season,0.3004128634431048,5.547100705818332e-07,0.1385503578491775,0.013544175220209837,0.013536607129487135,2.518166553234929,0.930116472545757,5.6446487978714634e-05,0.00010527035345012926,-0.5309355965505611,0.9068219633943427,4.4497543360748937e-05,5.6931763171254044e-05,-0.7718509113793738,0.9284525790349417,N_CYCLIC+N_ENTITY,0.6277631345857927,0.9284525790349417,4.7018378777948036e-05,6.608484706080745e-05,-0.7030911135288399,-0.7718509113793738,1.0,-0.7718509113793738,0.7798986413583117
