absence_game_id,absent_player_id,absent_player_name,top_absorber_id,top_absorber_name,delta_usage,season
1022300052,1628242,Emma Cannon,1631031,Queen Egbo,0.1366666666666666,2023
1022300053,1629477,Sabrina Ionescu,1629546,Marine Johannès,0.0814193548387096,2023
1022300057,1627674,Kahleah Copper,1629497,Marina Mabrey,0.1123513513513513,2023
1022300062,100940,Diana Taurasi,1641690,Kadi Sissoko,0.1134230769230769,2023
1022300068,1641649,Diamond Miller,1629524,Bridget Carleton,0.1194516129032258,2023
1022300072,1641649,Diamond Miller,1629524,Bridget Carleton,0.1354516129032258,2023
1022300081,204297,Cayla George,203833,Chelsea Gray,0.06121875,2023
1022300083,1627672,Aerial Powers,1631263,Nikolina Milić,0.0663684210526315,2023
1022300089,1627672,Aerial Powers,1641649,Diamond Miller,0.1268333333333333,2023
1022300093,1627672,Aerial Powers,1627671,Rachel Banham,0.077375,2023
1022300095,1628242,Emma Cannon,1628927,Victoria Vivians,0.0729285714285714,2023
1022300099,1627672,Aerial Powers,1629483,Napheesa Collier,0.1218333333333333,2023
1022300100,204297,Cayla George,1629498,Jackie Young,0.0624375,2023
1022300102,1630096,DiJonai Carrington,1631135,Olivia Nelson-Ododa,0.12671875,2023
1022300103,1628242,Emma Cannon,204320,Amanda Zahui B,0.3091052631578947,2023
1022300105,204297,Cayla George,201496,Candace Parker,0.0218181818181818,2023
1022300106,1627672,Aerial Powers,1627671,Rachel Banham,0.157375,2023
1022300108,1631022,Shakira Austin,1628899,Myisha Hines-Allen,0.1410714285714286,2023
1022300109,1628242,Emma Cannon,204320,Amanda Zahui B,0.2181052631578947,2023
1022300111,1627672,Aerial Powers,1641649,Diamond Miller,0.1148333333333333,2023
1022300115,1631019,NaLyssa Smith,1641687,Victaria Saxton,0.1774444444444444,2023
1022300117,1627672,Aerial Powers,203825,Kayla McBride,0.0907222222222222,2023
1022300125,1627671,Rachel Banham,1627676,Tiffany Mitchell,0.09332,2023
1022300126,100940,Diana Taurasi,1629484,Megan Gustafson,0.2267999999999999,2023
1022300132,1627671,Rachel Banham,1627672,Aerial Powers,0.0718125,2023
1022300137,204297,Cayla George,202252,Alysha Clark,0.0841935483870967,2023
1022300139,1631019,NaLyssa Smith,1641648,Aliyah Boston,0.0688709677419354,2023
1022300140,1627671,Rachel Banham,1631263,Nikolina Milić,0.209516129032258,2023
1022300145,1627671,Rachel Banham,1641657,Dorka Juhász,0.1144193548387096,2023
1022300147,1631019,NaLyssa Smith,204365,Erica Wheeler,0.0790645161290322,2023
1022300148,203398,Brittney Griner,1630446,Michaela Onyenwere,0.1133548387096774,2023
1022300151,1627671,Rachel Banham,1641649,Diamond Miller,0.065125,2023
1022300152,1631019,NaLyssa Smith,1641687,Victaria Saxton,0.2124444444444444,2023
1022300154,1641660,Zia Cooke,1628886,Jordin Canada,0.0916216216216216,2023
1022300156,203398,Brittney Griner,100940,Diana Taurasi,0.1247619047619048,2023
1022300157,1631019,NaLyssa Smith,1641687,Victaria Saxton,0.3444444444444444,2023
1022300160,1627672,Aerial Powers,1641649,Diamond Miller,0.0278333333333333,2023
1022300162,1631019,NaLyssa Smith,1641648,Aliyah Boston,0.1708709677419354,2023
1022300170,1628878,Ariel Atkins,1631031,Queen Egbo,0.2143749999999999,2023
1022300180,1628242,Emma Cannon,204365,Erica Wheeler,0.0505333333333333,2023
1022300186,203398,Brittney Griner,1641653,Ashley Joens,0.1216666666666667,2023
1022300187,1627672,Aerial Powers,1627676,Tiffany Mitchell,0.0323999999999999,2023
1022300191,203398,Brittney Griner,1630134,Sug Sutton,0.0826451612903226,2023
1022300196,1627672,Aerial Powers,1631263,Nikolina Milić,0.0993684210526316,2023
1022300197,203398,Brittney Griner,1630446,Michaela Onyenwere,0.1673548387096774,2023
1022300198,1630096,DiJonai Carrington,203826,Alyssa Thomas,0.0505625,2023
1022300205,1630096,DiJonai Carrington,1641665,Leigha Brown,0.2414736842105263,2023
1022300207,100940,Diana Taurasi,1627669,Moriah Jefferson,0.1713999999999999,2023
1022300213,100940,Diana Taurasi,1641690,Kadi Sissoko,0.0654230769230769,2023
1022300216,203827,Natasha Howard,1630149,Satou Sabally,0.1217027027027026,2023
1022300217,1629477,Sabrina Ionescu,204335,Betnijah Laney-Hamilton,0.1158055555555555,2023
1022300220,1629477,Sabrina Ionescu,1629566,Han Xu,0.2915,2023
1022300222,100940,Diana Taurasi,1627669,Moriah Jefferson,0.1404,2023
1022300223,1631022,Shakira Austin,201911,Kristi Toliver,0.213,2023
1022300224,203014,Nneka Ogwumike,1628922,Azurá Stevens,0.10875,2023
1022300227,100940,Diana Taurasi,203398,Brittney Griner,0.1111904761904762,2023
1022300229,203014,Nneka Ogwumike,1630996,Rae Burrell,0.0458846153846154,2023
1022300232,1627672,Aerial Powers,1627671,Rachel Banham,0.107375,2023
1022300234,100940,Diana Taurasi,1630134,Sug Sutton,0.0724615384615384,2023
