absence_game_id,n_playing,n_gainers,total_pos_delta,top1_share,top2_share,hhi,even_split_top1_baseline
1022200091,10.0,4.0,0.4441048076923076,0.6140269210533724,0.8610406846963099,0.45118672273688476,0.25
1022200093,10.0,6.0,0.41407414811170346,0.3090401026602087,0.5522332613232664,0.20791529922968296,0.16666666666666666
1022200098,8.0,3.0,0.1627314560439559,0.408209777282569,0.8057205079831347,0.3623945243095135,0.3333333333333333
1022200099,10.0,4.0,0.21274999999999977,0.3692910301605955,0.6547591069330202,0.27761886854923196,0.25
1022200101,9.0,4.0,0.21490896697388612,0.38450388784091166,0.6510619337537892,0.27991836902869377,0.25
1022200105,9.0,8.0,0.2288868138726259,0.25839346593277207,0.44997287261891805,0.16599569945724035,0.125
1022200107,9.0,3.0,0.1233303571428569,0.46774777383624133,0.8245131397958445,0.3768651443813619,0.3333333333333333
1022200108,9.0,5.0,0.2336255356771373,0.39962941590709383,0.6450984136377583,0.26205723862690705,0.2
1022200109,9.0,3.0,0.1168804347826087,0.5847856412164046,0.8277689946991537,0.43067867542954424,0.3333333333333333
1022200111,16.0,10.0,0.5761915018971466,0.12743778967028016,0.2543987842579866,0.10622638533381097,0.1
1022200120,10.0,4.0,0.12672916666666648,0.6602005589347374,0.8130856485286871,0.4771304478415199,0.25
1022200122,11.0,6.0,0.2808361904761902,0.37048449620767687,0.5793844480521684,0.231390616192346,0.16666666666666666
1022200124,9.0,5.0,0.1913134057971012,0.3164963780124046,0.5701207329198431,0.24511919654288555,0.2
1022200127,9.0,5.0,0.1881249145591248,0.3681064794755603,0.6677394184976575,0.2649166133498637,0.2
1022200130,10.0,4.0,0.1058720238095237,0.34610519214010627,0.6452084446068653,0.2842426381096286,0.25
1022200131,18.0,9.0,0.4513087697659704,0.24539740288545725,0.4237675241701462,0.16142640338512587,0.1111111111111111
1022200136,16.0,12.0,0.3782142097033395,0.20453261900926342,0.37864030272545895,0.13049860068250868,0.08333333333333333
1022200137,18.0,10.0,0.3054573941798937,0.19853131172572816,0.3618110389489199,0.13004459910034313,0.1
1022200141,9.0,4.0,0.09429202898550701,0.4398914872851071,0.7488299531981276,0.33317209023631295,0.25
1022200144,10.0,5.0,0.2622272058823526,0.31651940812440943,0.569734934623937,0.2432640479298034,0.2
1022200145,9.0,6.0,0.20304159420289827,0.6278516503008246,0.8764620942235731,0.46344338406154667,0.16666666666666666
1022200146,18.0,12.0,0.355698154724756,0.1903700787165565,0.375065026669686,0.12878967027064367,0.08333333333333333
1022200149,17.0,11.0,0.26596044764059434,0.19793490953209714,0.3584380985539688,0.12520933151472155,0.09090909090909091
1022200150,9.0,6.0,0.15431510476433302,0.3155598555843256,0.6192953052897566,0.24301376303823313,0.16666666666666666
1022200152,18.0,12.0,0.5509130723570657,0.2760508102473047,0.47114779900022197,0.16508567407210048,0.08333333333333333
1022200153,9.0,4.0,0.19083203703703666,0.4106772195444321,0.7927933523080706,0.339559733099826,0.25
1022200154,9.0,3.0,0.1315454545454544,0.6053904630269527,0.8841280810873072,0.4576185740384578,0.3333333333333333
1022200157,25.0,10.0,0.25652208333333265,0.20629802827242025,0.4077101873945234,0.15229956479727133,0.1
1022200158,9.0,2.0,0.0538115942028984,0.8079719903043362,1.0,0.6896934936240282,0.5
1022200161,8.0,5.0,0.26404237749160603,0.5373037808919351,0.8304385448464846,0.3913960737369356,0.2
1022200162,19.0,11.0,0.42384645511430324,0.2135207193737029,0.39957192236389083,0.13386937995869697,0.09090909090909091
1022200163,8.0,5.0,0.19620012987012964,0.32874595976411614,0.6298670652348751,0.2486643502862911,0.2
1022200164,9.0,5.0,0.16338661034306182,0.5129334125785175,0.8099939500595515,0.3654713109704634,0.2
1022200167,17.0,8.0,0.5222414387464381,0.2926488056945207,0.46665836000742933,0.1796157189987102,0.125
1022200168,9.0,4.0,0.2232999999999998,0.3627407075682937,0.6762203313927454,0.290797268714714,0.25
