game_id,team_id,TEAM_ABBREVIATION,TEAM_CITY,player_id,player_name,NICKNAME,start_position,COMMENT,MIN,FGM,fga,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,fta,FT_PCT,OREB,DREB,REB,AST,STL,BLK,tov,PF,PTS,PLUS_MINUS,SEASON,minutes,season,tm_min,tm_fga,tm_fta,tm_tov,usage_percentage,tm_baseline_usage,n_control_games,delta_usage,event_key
1022100064,1611661317,PHO,Phoenix,201913,Kia Vaughn,Kia,,,6.000000:34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,-9.0,2021,6.566666666666666,2021,199.99999999999997,65.0,33.0,15.0,0.06444530848895084,0.1918949287659164,12,-0.12744962027696555,100940_1611661317_2021_1022100064
1022100064,1611661317,PHO,Phoenix,203035,Shey Peddy,Shey,,,8.000000:01,0.0,3.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,1.0,2.0,-14.0,2021,8.016666666666667,2021,199.99999999999997,65.0,33.0,15.0,0.20482085653477944,0.13693777088846104,16,0.0678830856463184,100940_1611661317_2021_1022100064
1022100064,1611661317,PHO,Phoenix,1629482,Sophie Cunningham,Sophie,,,16.000000:05,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,3.0,-14.0,2021,16.083333333333332,2021,199.99999999999997,65.0,33.0,15.0,0.10524954008143683,0.14505573601409666,15,-0.03980619593265983,100940_1611661317_2021_1022100064
1022100064,1611661317,PHO,Phoenix,1629501,Alanna Smith,Alanna,,,4.000000:07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,-5.0,2021,4.116666666666666,2021,199.99999999999997,65.0,33.0,15.0,0.10279939896618072,0.15192012813867978,13,-0.04912072917249906,100940_1611661317_2021_1022100064
1022100112,1611661317,PHO,Phoenix,1628915,Kia Nurse,Kia,F,,20.000000:57,2.0,8.0,0.25,2.0,7.0,0.286,2.0,2.0,1.0,1.0,4.0,5.0,2.0,0.0,0.0,2.0,1.0,8.0,8.0,2021,20.95,2021,200.0,70.0,17.0,11.0,0.234779268645315,0.1746010590333278,16,0.06017820961198722,100940_1611661317_2021_1022100112
1022100112,1611661317,PHO,Phoenix,1629488,Brianna Turner,Brianna,F,,34.000000:25,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,8.0,1.0,0.0,1.0,2.0,3.0,2.0,9.0,2021,34.416666666666664,2021,200.0,70.0,17.0,11.0,0.06567741878987167,0.13057651914230484,16,-0.06489910035243317,100940_1611661317_2021_1022100112
1022100112,1611661317,PHO,Phoenix,203398,Brittney Griner,Brittney,C,,34.000000:05,14.0,24.0,0.583,0.0,0.0,0.0,1.0,1.0,1.0,3.0,12.0,15.0,2.0,0.0,1.0,3.0,1.0,29.0,2.0,2021,34.083333333333336,2021,200.0,70.0,17.0,11.0,0.3639627371483396,0.2543594114453889,15,0.10960332570295067,100940_1611661317_2021_1022100112
1022100112,1611661317,PHO,Phoenix,1629482,Sophie Cunningham,Sophie,G,,15.000000:34,1.0,5.0,0.2,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,1.0,2.0,3.0,2021,15.566666666666666,2021,200.0,70.0,17.0,11.0,0.14520756938017665,0.14505573601409666,15,0.00015183336607998976,100940_1611661317_2021_1022100112
1022100112,1611661317,PHO,Phoenix,203400,Skylar Diggins-Smith,Skylar,G,,35.000000:55,8.0,13.0,0.615,1.0,4.0,0.25,9.0,9.0,1.0,0.0,3.0,3.0,6.0,3.0,2.0,2.0,3.0,26.0,10.0,2021,35.916666666666664,2021,200.0,70.0,17.0,11.0,0.23864766324163078,0.25618023685678465,16,-0.017532573615153868,100940_1611661317_2021_1022100112
1022100112,1611661317,PHO,Phoenix,1630136,Megan Walker,Megan,,,21.000000:08,3.0,6.0,0.5,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,8.0,0.0,2021,21.133333333333333,2021,200.0,70.0,17.0,11.0,0.1377630475581999,0.19006444246368517,14,-0.05230139490548527,100940_1611661317_2021_1022100112
1022100112,1611661317,PHO,Phoenix,203035,Shey Peddy,Shey,,,26.000000:26,3.0,8.0,0.375,0.0,2.0,0.0,2.0,4.0,0.5,2.0,2.0,4.0,3.0,4.0,0.0,2.0,0.0,8.0,3.0,2021,26.433333333333334,2021,200.0,70.0,17.0,11.0,0.20112694941497597,0.13693777088846104,16,0.06418917852651493,100940_1611661317_2021_1022100112
1022100112,1611661317,PHO,Phoenix,201913,Kia Vaughn,Kia,,,11.000000:30,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,5.0,2021,11.5,2021,200.0,70.0,17.0,11.0,0.11793379982703042,0.1918949287659164,12,-0.07396112893888598,100940_1611661317_2021_1022100112
1022100118,1611661317,PHO,Phoenix,1628915,Kia Nurse,Kia,F,,37.000000:34,9.0,19.0,0.474,7.0,14.0,0.5,3.0,3.0,1.0,1.0,5.0,6.0,5.0,0.0,0.0,2.0,3.0,28.0,2.0,2021,37.56666666666667,2021,200.0,67.0,16.0,14.0,0.26994263718959716,0.1746010590333278,16,0.09534157815626937,100940_1611661317_2021_1022100118
1022100118,1611661317,PHO,Phoenix,1629488,Brianna Turner,Brianna,F,,31.000000:53,4.0,9.0,0.444,0.0,0.0,0.0,1.0,1.0,1.0,2.0,4.0,6.0,2.0,1.0,0.0,2.0,4.0,9.0,3.0,2021,31.883333333333333,2021,200.0,67.0,16.0,14.0,0.16302051555238042,0.13057651914230484,16,0.03244399641007559,100940_1611661317_2021_1022100118
1022100118,1611661317,PHO,Phoenix,203398,Brittney Griner,Brittney,C,,37.000000:22,8.0,18.0,0.444,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,9.0,3.0,1.0,1.0,4.0,3.0,16.0,-4.0,2021,37.36666666666667,2021,200.0,67.0,16.0,14.0,0.2674966086698893,0.2543594114453889,15,0.013137197224500352,100940_1611661317_2021_1022100118
1022100118,1611661317,PHO,Phoenix,203400,Skylar Diggins-Smith,Skylar,G,,36.000000:34,4.0,12.0,0.333,1.0,3.0,0.333,8.0,10.0,0.8,0.0,4.0,4.0,3.0,2.0,1.0,4.0,3.0,17.0,-2.0,2021,36.56666666666667,2021,200.0,67.0,16.0,14.0,0.2534689419783913,0.25618023685678465,16,-0.0027112948783933333,100940_1611661317_2021_1022100118
1022100118,1611661317,PHO,Phoenix,203035,Shey Peddy,Shey,G,,37.000000:04,1.0,6.0,0.167,1.0,5.0,0.2,0.0,0.0,0.0,3.0,3.0,6.0,7.0,1.0,0.0,1.0,4.0,3.0,-4.0,2021,37.06666666666667,2021,200.0,67.0,16.0,14.0,0.085801417929718,0.13693777088846104,16,-0.05113635295874304,100940_1611661317_2021_1022100118
1022100118,1611661317,PHO,Phoenix,1630136,Megan Walker,Megan,,,8.000000:48,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,-17.0,2021,8.8,2021,200.0,67.0,16.0,14.0,0.05162942464169179,0.19006444246368517,14,-0.13843501782199338,100940_1611661317_2021_1022100118
