scope,battery,perm_idx,n_eligible_cells_in_family,max_roi_over_eligible_cells,n_eligible_cells_perm_beats_obs
playoff,companion_playoff,21,134,0.1409090906381607,19
playoff,companion_playoff,22,134,0.16938616335391998,34
playoff,companion_playoff,23,134,0.09545454382896423,20
playoff,companion_playoff,24,134,0.12299465388059616,16
playoff,companion_playoff,25,134,0.12090447545051575,24
playoff,companion_playoff,26,134,0.08773784339427948,12
playoff,companion_playoff,27,134,0.16401124000549316,23
playoff,companion_playoff,28,134,0.026837149634957314,6
playoff,companion_playoff,29,134,0.17257022857666016,64
playoff,companion_playoff,30,134,0.10350318253040314,21
playoff,companion_playoff,31,134,0.16433566808700562,37
playoff,companion_playoff,32,134,0.18125000596046448,44
playoff,companion_playoff,33,134,0.037108566612005234,11
playoff,companion_playoff,34,134,0.106085404753685,16
playoff,companion_playoff,35,134,0.06426332145929337,16
playoff,companion_playoff,36,134,0.04972805082798004,9
playoff,companion_playoff,37,134,0.10979358851909637,36
playoff,companion_playoff,38,134,0.23038367927074432,35
playoff,companion_playoff,39,134,0.149920254945755,20
playoff,companion_playoff,40,134,0.09397344291210175,21
playoff,companion_playoff,41,134,0.07161235064268112,16
playoff,companion_playoff,42,134,0.02216564305126667,9
playoff,companion_playoff,43,134,0.04321034625172615,19
playoff,companion_playoff,44,134,0.10623084753751755,12
playoff,companion_playoff,45,134,0.08724011480808258,14
playoff,companion_playoff,46,134,0.03163463622331619,11
playoff,companion_playoff,47,134,0.12139689922332764,9
playoff,companion_playoff,48,134,0.10467784851789474,17
playoff,companion_playoff,49,134,0.12890514731407166,23
playoff,companion_playoff,50,134,0.08014354109764099,12
playoff,companion_playoff,51,134,0.048128340393304825,11
playoff,companion_playoff,52,134,0.08965034782886505,17
playoff,companion_playoff,53,134,0.08154506236314774,17
playoff,companion_playoff,54,134,0.07009569555521011,8
playoff,companion_playoff,55,134,0.06060606241226196,11
playoff,companion_playoff,56,134,0.024908332154154778,7
playoff,companion_playoff,57,134,0.1345454603433609,17
playoff,companion_playoff,58,134,0.14482030272483826,31
playoff,companion_playoff,59,134,0.08353808522224426,12
playoff,companion_playoff,60,134,0.09980237483978271,16
playoff,companion_playoff,61,134,0.15034964680671692,24
playoff,companion_playoff,62,134,0.13733075559139252,43
playoff,companion_playoff,63,134,0.06341096758842468,17
playoff,companion_playoff,64,134,0.11185454577207565,30
playoff,companion_playoff,65,134,0.04593810439109802,14
playoff,companion_playoff,66,134,0.03172146901488304,14
playoff,companion_playoff,67,134,0.07649178802967072,17
playoff,companion_playoff,68,134,0.11214952915906906,15
playoff,companion_playoff,69,134,0.0515313558280468,14
playoff,companion_playoff,70,134,0.0687645673751831,24
playoff,companion_playoff,71,134,0.1127060055732727,15
playoff,companion_playoff,72,134,0.15596330165863037,25
playoff,companion_playoff,73,134,-0.024475524201989174,8
playoff,companion_playoff,74,134,0.06326361745595932,11
playoff,companion_playoff,75,134,0.12259922921657562,24
playoff,companion_playoff,76,134,0.1551114320755005,24
playoff,companion_playoff,77,134,0.053675614297389984,15
playoff,companion_playoff,78,134,0.1605927050113678,13
playoff,companion_playoff,79,134,0.09124579280614853,17
playoff,companion_playoff,80,134,0.04202401265501976,14
playoff,companion_playoff,81,134,0.0921572670340538,39
playoff,companion_playoff,82,134,0.06974921375513077,12
playoff,companion_playoff,83,134,0.0865422785282135,14
playoff,companion_playoff,84,134,0.013397129252552986,8
playoff,companion_playoff,85,134,0.03453529626131058,8
playoff,companion_playoff,86,134,0.140114426612854,54
playoff,companion_playoff,87,134,0.11435623466968536,16
playoff,companion_playoff,88,134,0.1421198844909668,17
playoff,companion_playoff,89,134,0.06060606241226196,11
