target,stratum,arm,base,dr2_common_sst,dr2_kit,n,n_clusters,p,null_mean,null_sd,p_row_NAIVE,inflation,mae_arm,mae_base,sst_common,step,added,components_so_far,increment_dr2,increment_p,increment_null_sd
fga,POOLED_EXCL_ROUTED__POSTHOC,STEP4,CHAMPION,0.00047205444423292775,0.0004720544442328197,12818,451,0.06573356660834791,9.651094885733562e-07,0.00025655326766272973,0.02999250187453137,1.1679797298023291,2.4844413574818063,2.485669673381167,368583.7969261976,4,C6_OPP_DEFENCE_SELECTIVE,C1_FALLBACK_ROUTE+C3_PER_TARGET_HALFLIFE+C4_SHRINK_OWN_PRIOR_SEASON+C6_OPP_DEFENCE_SELECTIVE,0.00047205444423292775,0.06573356660834791,0.00025655326766272973
fga,POOLED,STEP5,CHAMPION,0.042932110546785474,0.042932110546785446,13808,472,0.00024993751562109475,-6.886059920615035e-06,0.004177944571853003,0.00024993751562109475,1.2448644918194023,2.4921826929754407,2.627646424795024,396833.66446987254,5,C5_TEAMMATE_VOLUME_PRIOR_ONLY,C1_FALLBACK_ROUTE+C3_PER_TARGET_HALFLIFE+C4_SHRINK_OWN_PRIOR_SEASON+C6_OPP_DEFENCE_SELECTIVE+C5_TEAMMATE_VOLUME_PRIOR_ONLY,-2.3092055372320175e-06,0.9942514371407148,0.0002612193845981876
fga,DECISION,STEP5,CHAMPION,0.001030317244979484,0.0010303172449794755,5107,257,0.3189202699325169,9.086236609731832e-06,0.0010234097265593752,0.2841789552611847,1.0729212764816267,2.9209927025944027,2.9219439453050056,124986.92265517917,5,C5_TEAMMATE_VOLUME_PRIOR_ONLY,C1_FALLBACK_ROUTE+C3_PER_TARGET_HALFLIFE+C4_SHRINK_OWN_PRIOR_SEASON+C6_OPP_DEFENCE_SELECTIVE+C5_TEAMMATE_VOLUME_PRIOR_ONLY,-0.00012355054465773563,0.8662834291427143,0.0006564751674335168
fga,POOLED_EXCL_ROUTED__POSTHOC,STEP5,CHAMPION,0.0004671263837250361,0.0004671263837250134,12818,451,0.23594101474631343,2.2444329155606474e-06,0.00039341311307160065,0.2086978255436141,1.0501046975304495,2.48170174200183,2.485669673381167,368583.7969261976,5,C5_TEAMMATE_VOLUME_PRIOR_ONLY,C1_FALLBACK_ROUTE+C3_PER_TARGET_HALFLIFE+C4_SHRINK_OWN_PRIOR_SEASON+C6_OPP_DEFENCE_SELECTIVE+C5_TEAMMATE_VOLUME_PRIOR_ONLY,-4.9280605078916295e-06,0.9852536865783554,0.0002823677245647254
fga,POOLED,STEP6,CHAMPION,0.04295556225914754,0.04295556225914746,13808,472,0.00024993751562109475,-7.4277922248277875e-06,0.004178408881652888,0.00024993751562109475,1.2450456858000114,2.492173718184691,2.627646424795024,396833.66446987254,6,C7_HOME_AWAY,C1_FALLBACK_ROUTE+C3_PER_TARGET_HALFLIFE+C4_SHRINK_OWN_PRIOR_SEASON+C6_OPP_DEFENCE_SELECTIVE+C5_TEAMMATE_VOLUME_PRIOR_ONLY+C7_HOME_AWAY,2.345171236206589e-05,0.4266433391652087,2.888987056054895e-05
fga,DECISION,STEP6,CHAMPION,0.001077194301463913,0.0010771943014639383,5107,257,0.30042489377655585,8.925407026530302e-06,0.0010272951657375423,0.2604348912771807,1.0782523193081954,2.9209818202361957,2.9219439453050056,124986.92265517917,6,C7_HOME_AWAY,C1_FALLBACK_ROUTE+C3_PER_TARGET_HALFLIFE+C4_SHRINK_OWN_PRIOR_SEASON+C6_OPP_DEFENCE_SELECTIVE+C5_TEAMMATE_VOLUME_PRIOR_ONLY+C7_HOME_AWAY,4.687705648442897e-05,0.459135216195951,6.268314350500276e-05
fga,POOLED_EXCL_ROUTED__POSTHOC,STEP6,CHAMPION,0.0005025071551403304,0.0005025071551403034,12818,451,0.20644838790302425,1.8467649488570397e-06,0.0003951625564933764,0.17670582354411396,1.0563390324378314,2.481660503961662,2.485669673381167,368583.7969261976,6,C7_HOME_AWAY,C1_FALLBACK_ROUTE+C3_PER_TARGET_HALFLIFE+C4_SHRINK_OWN_PRIOR_SEASON+C6_OPP_DEFENCE_SELECTIVE+C5_TEAMMATE_VOLUME_PRIOR_ONLY+C7_HOME_AWAY,3.5380771415294276e-05,0.2471882029492627,3.0522607368559496e-05
ppm,POOLED,STEP0,CHAMPION,0.0,-0.0,13808,472,1.0,0.0,0.0,1.0,inf,0.18150687130196966,0.18150687130196966,962.107250511479,0,(champion),(none),0.0,1.0,0.0
ppm,DECISION,STEP0,CHAMPION,0.0,-0.0,5107,257,1.0,0.0,0.0,1.0,inf,0.15212589651501462,0.15212589651501462,252.94414129912354,0,(champion),(none),0.0,1.0,0.0
ppm,POOLED_EXCL_ROUTED__POSTHOC,STEP0,CHAMPION,0.0,-0.0,12818,451,1.0,0.0,0.0,1.0,inf,0.17829925767900973,0.17829925767900973,884.9260528459707,0,(champion),(none),0.0,1.0,0.0
