P0_champion,P1_ref_D076,P2_position,P3_draft_bin,P3_draft_ols,P4_teamrole,P5a_draft_x_depth,P5b_pos_x_draft,P5c_additive,league,P1full_running_mean,P5d_blend_k1,P5e_careerblend_k1,P5d_blend_k2,P5e_careerblend_k2,P5d_blend_k3,P5e_careerblend_k3,P5d_blend_k5,P5e_careerblend_k5,P5d_blend_k10,P5e_careerblend_k10,P1c_career_mean
16.521303028462256,19.5,9.007260747366288,11.165650222529546,13.939038130029829,10.64613334376848,10.053308577898742,10.52047044465817,13.42393491855492,8.697554697554697,16.0,15.35598372963873,16.014131163951827,14.969573967421969,15.930576446358382,14.71196745927746,15.852243898614521,14.389959324096825,15.709402193905134,14.018411475811476,15.416393568860236,16.103448275862068
13.813756395384038,15.666666666666666,9.007260747366288,11.165650222529546,13.939038130029829,10.64613334376848,10.053308577898742,10.52047044465817,13.42393491855492,8.697554697554697,14.0,13.884786983710985,15.755610803824354,13.807978306184973,15.682745932409683,13.753114965094966,15.614297113808025,13.679963843641623,15.48913355979356,13.588524941824943,15.23098372963873,15.833333333333334
17.77234530565874,19.5,9.007260747366288,11.165650222529546,13.939038130029829,10.64613334376848,10.053308577898742,10.52047044465817,13.42393491855492,8.697554697554697,17.4,16.737322486425818,16.231997966204844,16.263981405301404,16.146905146579087,15.908975594458095,16.066817786931317,15.41196745927746,15.919990960910406,14.74928994570328,15.615593882574373,16.322580645161292
16.934860811386113,18.4,9.007260747366288,11.165650222529546,13.939038130029829,9.55315494688317,9.638022530879674,10.52047044465817,12.330956521669611,8.697554697554697,16.833333333333332,16.1901366459528,16.131241106717262,15.707739130417403,16.019468030686447,15.332541062778759,15.91408198757168,14.78679841894073,15.720399529955353,14.019347826043507,15.316894409921336,16.25
16.03853699803317,17.166666666666668,9.007260747366288,11.165650222529546,13.939038130029829,9.55315494688317,9.638022530879674,10.52047044465817,12.330956521669611,8.697554697554697,16.0,15.5413695652087,15.980322250637341,15.184657004815469,15.87605465838112,14.899286956500884,15.777579710139133,14.471231884029006,15.596178489693369,13.84173913039389,15.216501516667352,16.09090909090909
12.84836737466723,15.0,9.007260747366288,11.165650222529546,13.939038130029829,9.55315494688317,9.638022530879674,10.52047044465817,12.330956521669611,8.697554697554697,14.25,14.03677294685218,15.580884472047703,13.866191304333922,15.490608695648312,13.726624505909893,15.405212690946184,13.511906354488312,15.24755852841918,13.183864734260895,14.916126482197638,15.676470588235293
10.982240142166498,13.75,9.007260747366288,11.165650222529546,13.939038130029829,9.10810358437775,9.124140070183236,10.52047044465817,11.88590515916419,8.697554697554697,13.222222222222221,13.088590515916419,15.27460847664345,12.979255483484398,15.183021900495362,12.888142956457713,15.096255670460332,12.744966128272925,14.935738144895526,12.51889745219168,14.596867813147597,15.371428571428572
13.94999881284274,15.777777777777779,9.007260747366288,11.165650222529546,13.939038130029829,10.64613334376848,10.053308577898742,10.52047044465817,13.42393491855492,8.697554697554697,15.1,14.947630447141357,15.768214457258242,14.820655819759153,15.706522890450259,14.71321575043575,15.647994993734994,14.541311639518307,15.539504258360356,14.26196745927746,15.30955106925107,15.833333333333334
14.87137324360822,16.1,9.007260747366288,11.165650222529546,13.939038130029829,9.55315494688317,9.638022530879674,10.52047044465817,12.330956521669611,8.697554697554697,15.454545454545455,15.1942463768058,15.82449885583341,14.973993311026094,15.734920847265109,14.785204968929202,15.649821739125223,14.478423913021754,15.491780538294002,13.967122153176007,15.155522664185025,15.91891891891892
16.09104299280569,16.727272727272727,9.007260747366288,11.165650222529546,13.939038130029829,9.55315494688317,9.638022530879674,10.52047044465817,12.330956521669611,8.697554697554697,16.083333333333332,15.794688963205354,16.008486064658193,15.547279503095659,15.91654782608348,15.332857971000589,15.829094379634363,14.97969309460871,15.666390293217397,14.377707509849824,15.318949275347833,16.105263157894736
16.82813300077378,17.0,9.007260747366288,11.165650222529546,13.939038130029829,9.55315494688317,9.638022530879674,10.52047044465817,12.330956521669611,8.697554697554697,16.384615384615383,16.0950683229764,16.10827391304174,15.844127536222613,16.01614422056925,15.62455434781305,15.928401656309733,15.258599033797113,15.764881422917002,14.622155009421569,15.414480922789718,16.205128205128204
16.82813300077378,16.384615384615383,9.007260747366288,11.165650222529546,13.939038130029829,9.55315494688317,9.638022530879674,10.52047044465817,12.330956521669611,8.697554697554697,15.857142857142858,15.622063768111309,15.934901378577306,15.4163695652087,15.84909316769855,15.234874680294638,15.767276036395552,14.929199084649898,15.614550724629956,14.38789855069567,15.286191304333922,16.025
15.814987216826692,16.428571428571427,9.007260747366288,11.165650222529546,13.939038130029829,9.55315494688317,9.638022530879674,10.52047044465817,12.330956521669611,8.697554697554697,15.933333333333334,15.70818478260435,15.96026086956356,15.509524296667013,15.875858442868353,15.332937198056047,15.795292490113834,15.032739130417403,15.644669187138,14.492382608667846,15.319795396405805,16.048780487804876
14.765383444475042,15.933333333333334,9.007260747366288,11.165650222529546,13.939038130029829,9.55315494688317,9.638022530879674,10.52047044465817,12.330956521669611,8.697554697554697,15.5,15.313585677745271,15.798394337713246,15.14788405796329,15.719588932803164,14.999624713947833,15.64428599033353,14.745465838492764,15.503293246986129,14.28113712371908,15.198260869551849,15.880952380952381
14.822939542396163,15.875,9.007260747366288,11.165650222529546,13.939038130029829,9.55315494688317,9.638022530879674,10.52047044465817,12.330956521669611,8.697554697554697,15.470588235294118,15.296164251203868,15.780249011856128,15.14010068649154,15.70359806762976,14.999643478250443,15.630279773152367,14.75703557310673,15.49280797100725,14.307761674692447,15.194520098428228,15.86046511627907
15.78320304558512,16.294117647058822,9.007260747366288,11.165650222529546,13.939038130029829,10.64613334376848,10.053308577898742,10.52047044465817,13.42393491855492,8.697554697554697,15.88888888888889,15.759154469397627,15.964976331523442,15.642393491855492,15.909736300806737,15.536752607412607,15.856846909694996,15.353029330120634,15.757544379444381,15.008548185198187,15.541469429362023,16.022727272727273
