game_date,home,away,game_id,tip_utc,label,cutoff_utc,odds_first_seen_utc,id_first_seen_utc,odds_lead_min,id_lead_min,discoverable_before_cutoff
2026-08-05,ATL,PHX,,2026-08-05T23:00:00+00:00,T-24h,2026-08-04T23:00:00+00:00,2026-08-04T14:00:02+00:00,,540.0,,False
2026-08-05,ATL,PHX,,2026-08-05T23:00:00+00:00,T-8h,2026-08-05T15:00:00+00:00,2026-08-04T14:00:02+00:00,,1500.0,,False
2026-08-05,ATL,PHX,,2026-08-05T23:00:00+00:00,T-90m,2026-08-05T21:30:00+00:00,2026-08-04T14:00:02+00:00,,1890.0,,False
2026-08-05,ATL,PHX,,2026-08-05T23:00:00+00:00,T-30m,2026-08-05T22:30:00+00:00,2026-08-04T14:00:02+00:00,,1950.0,,False
2026-08-05,CHI,LAS,,2026-08-06T01:00:00+00:00,T-24h,2026-08-05T01:00:00+00:00,2026-08-04T14:00:02+00:00,,660.0,,False
2026-08-05,CHI,LAS,,2026-08-06T01:00:00+00:00,T-8h,2026-08-05T17:00:00+00:00,2026-08-04T14:00:02+00:00,,1620.0,,False
2026-08-05,CHI,LAS,,2026-08-06T01:00:00+00:00,T-90m,2026-08-05T23:30:00+00:00,2026-08-04T14:00:02+00:00,,2010.0,,False
2026-08-05,CHI,LAS,,2026-08-06T01:00:00+00:00,T-30m,2026-08-06T00:30:00+00:00,2026-08-04T14:00:02+00:00,,2070.0,,False
2026-08-05,NYL,SEA,,2026-08-05T23:00:00+00:00,T-24h,2026-08-04T23:00:00+00:00,2026-08-04T02:00:03+00:00,,1260.0,,False
2026-08-05,NYL,SEA,,2026-08-05T23:00:00+00:00,T-8h,2026-08-05T15:00:00+00:00,2026-08-04T02:00:03+00:00,,2219.9,,False
2026-08-05,NYL,SEA,,2026-08-05T23:00:00+00:00,T-90m,2026-08-05T21:30:00+00:00,2026-08-04T02:00:03+00:00,,2609.9,,False
2026-08-05,NYL,SEA,,2026-08-05T23:00:00+00:00,T-30m,2026-08-05T22:30:00+00:00,2026-08-04T02:00:03+00:00,,2669.9,,False
2026-08-05,WAS,DAL,,2026-08-05T23:30:00+00:00,T-24h,2026-08-04T23:30:00+00:00,2026-08-03T18:00:07+00:00,,1769.9,,False
2026-08-05,WAS,DAL,,2026-08-05T23:30:00+00:00,T-8h,2026-08-05T15:30:00+00:00,2026-08-03T18:00:07+00:00,,2729.9,,False
2026-08-05,WAS,DAL,,2026-08-05T23:30:00+00:00,T-90m,2026-08-05T22:00:00+00:00,2026-08-03T18:00:07+00:00,,3119.9,,False
2026-08-05,WAS,DAL,,2026-08-05T23:30:00+00:00,T-30m,2026-08-05T23:00:00+00:00,2026-08-03T18:00:07+00:00,,3179.9,,False
2026-08-06,IND,LVA,,2026-08-06T23:00:00+00:00,T-24h,2026-08-05T23:00:00+00:00,2026-08-04T14:00:02+00:00,,1980.0,,False
2026-08-06,IND,LVA,,2026-08-06T23:00:00+00:00,T-8h,2026-08-06T15:00:00+00:00,2026-08-04T14:00:02+00:00,,2940.0,,False
2026-08-06,IND,LVA,,2026-08-06T23:00:00+00:00,T-90m,2026-08-06T21:30:00+00:00,2026-08-04T14:00:02+00:00,,3330.0,,False
2026-08-06,IND,LVA,,2026-08-06T23:00:00+00:00,T-30m,2026-08-06T22:30:00+00:00,2026-08-04T14:00:02+00:00,,3390.0,,False
