candidate,dependent,sd_abs,mean_abs,sd_signed_recovered,fold_factor_sd
tm_is_home,fga_sqres,0.6263004229110617,0.8384317083586889,1.0465275673960261,1.6709673650414238
tm_game_idx,pts_absres,0.6059269804123566,0.8233332149161467,1.0222646860651083,1.6871087096491693
tm_game_idx,pts_sqres,0.5983362585115201,0.7936999935501269,0.993964766986756,1.661214330315599
tm_game_idx,minutes_absres,0.9104716303915769,1.6020588647888994,1.8427021452195125,2.0238984760315932
tm_game_idx,minutes_sqres,0.9070469493566781,1.4685338725834718,1.72607239224265,1.9029581583035637
tm_game_idx,fga_absres,0.7728860205885763,1.0586111428621463,1.310728939412396,1.6958890502563833
tm_game_idx,fga_sqres,0.7192475687931916,0.9786194065262954,1.2145011354645971,1.6885717632697455
opp_game_idx,pts_absres,0.6184933488330704,0.8393682092604823,1.0426279361631814,1.6857544840705858
opp_game_idx,pts_sqres,0.6025941988878694,0.7946223292680152,0.9972684767426668,1.654958641459206
opp_game_idx,minutes_absres,0.9231054130504495,1.716905272003348,1.9493299660744794,2.11170895383748
opp_game_idx,minutes_sqres,0.92699285773894,1.577861771565499,1.8300173574222791,1.9741439668542182
opp_game_idx,fga_absres,0.7860937122151332,1.0982731464197484,1.350609946850275,1.7181284188680146
opp_game_idx,fga_sqres,0.725301505485097,0.9999094722808346,1.23526565022099,1.7031064197155061
tm_poss_mean_prior,pts_absres,0.6684382606560779,1.180439036880291,1.3565566807545462,2.029442000257547
tm_poss_mean_prior,pts_sqres,0.48399863643411073,0.6811492777939296,0.8355950087867151,1.726440832443273
tm_poss_mean_prior,minutes_absres,0.6879866072271715,2.7967070301725863,2.8800860723840738,4.186253107443233
tm_poss_mean_prior,minutes_sqres,0.6911551825571061,2.3394206527063566,2.43938198662788,3.529427324270014
tm_poss_mean_prior,fga_absres,0.5632032849027024,0.8768551937732277,1.0421482480781126,1.850394477472111
tm_poss_mean_prior,fga_sqres,0.4865315103438909,0.7102149168016517,0.8608821862514549,1.7694274018202127
opp_poss_mean_prior,pts_absres,0.6116506570803099,0.8157494047372663,1.0195899262134651,1.666948141739007
opp_poss_mean_prior,pts_sqres,0.5976165331929787,0.7720001805657003,0.9762836675572671,1.6336289465439062
opp_poss_mean_prior,minutes_absres,0.7517457756052726,1.0194009125346346,1.2666096208448832,1.684890905871822
opp_poss_mean_prior,minutes_sqres,0.7451816305976741,0.9976545207534491,1.2452350000542076,1.6710489750739896
opp_poss_mean_prior,fga_absres,0.6276791806190641,0.8308413787626907,1.0412869683458583,1.6589477562707484
opp_poss_mean_prior,fga_sqres,0.6090571592437412,0.8199946422473439,1.0214410587696214,1.677085710703955
pts__pred_point,pts_absres,1.2382982045150694,1.6405403581459217,2.055420908235292,1.6598755459232992
pts__pred_point,pts_sqres,1.075961036733533,1.436127803786012,1.7944790947168854,1.6677918934357256
pts__pred_point,minutes_absres,1.135917481389108,1.5436567095428413,1.9165553896097047,1.687231177449579
pts__pred_point,minutes_sqres,1.0643242563647068,1.4813618437616487,1.824066620175699,1.713826034939727
pts__pred_point,fga_absres,1.12900611530931,1.521524042437867,1.8946477826029533,1.6781554651578507
pts__pred_point,fga_sqres,1.024629656868929,1.3542516745817683,1.6981941973292876,1.6573736529534409
pts__pred_sd,pts_absres,3.7884270323673445e-29,9.461678718856996e-14,9.461678718856996e-14,2497521699116507.0
pts__pred_sd,pts_sqres,1.2628090107891147e-29,6.604973045207093e-14,6.604973045207093e-14,5230381624438776.0
pts__pred_sd,minutes_absres,1.5785112634863934e-30,1.1434237782777834e-14,1.1434237782777834e-14,7243684633281298.0
pts__pred_sd,minutes_sqres,3.7884270323673445e-29,9.729022295468341e-14,9.729022295468341e-14,2568090189502419.0
pts__pred_sd,fga_absres,1.2628090107891147e-29,9.712029670824757e-14,9.712029670824757e-14,7690814357395044.0
pts__pred_sd,fga_sqres,1.2628090107891147e-29,3.8542567347070435e-14,3.8542567347070435e-14,3052129579197857.5
pts__pred_width,pts_absres,1.7638630050191604,3.6588037912937112,4.061780137287155,2.302775286816015
pts__pred_width,pts_sqres,1.54302973372594,2.984095581809442,3.3594295945200248,2.1771645232059402
