label,n_blocks,seasons,lam,w_between,rho,K,t_crit_fw,seed,n,n_blocks_actual,regime,t_crit_used,sd_signed_true,sd_signed_recovered,sd_abs,mean_abs,mean_signed,fold_factor_sd,recovery_rel_err,q_threshold,type1_at_delta0,max_power,power_monotone,E_inj,E_inj_status,null_sd_drift_top_vs_zero,A_pub_folded,A_pub_signed,A_cor,ratio_A_pub_folded,ratio_A_pub_signed,ratio_A_cor,status
C041,489,4,12,0.8,0.0,318,6.974475,20735486,6349,488,family_wise,6.974475,2.3195192871735677,2.322828865341972,1.3692572677753339,1.876344443941544,0.14051990755215257,1.693998156345117,0.0014268379602212116,7.448817142411256,0.00125,0.0025,True,,ABOVE_GRID_MAX,1.0154410673990042,0.018040334181594953,0.05176907973420785,0.01392003604984913,,,,OK
C042,489,4,30,0.8,0.0,318,6.974475,20743405,15010,488,per_cell,1.959964,3.443815206130479,3.444400929381012,2.044595737438674,2.7719173928471217,-0.11676451794442252,1.6843501837897057,0.00017007975616408925,6.612950698017457,0.0675,0.08125,True,,ABOVE_GRID_MAX,1.0721930635230963,0.002185958381895611,0.006201641621967135,0.006027019578020153,,,,OK
C042,489,4,30,0.8,0.0,318,6.974475,20743405,15010,488,family_wise,6.974475,3.443815206130479,3.444400929381012,2.044595737438674,2.7719173928471217,-0.11676451794442252,1.6843501837897057,0.00017007975616408925,13.247126940183145,0.0,0.0,True,,ABOVE_GRID_MAX,1.0721930635230963,0.01701429684568737,0.04827016486709936,0.017366932228356814,,,,OK
C043,489,4,12,0.8,0.5,318,6.974475,20751324,6362,488,per_cell,1.959964,2.4638438123444044,2.4645336169193905,1.4775753305457189,1.972485004122587,0.09087760527600709,1.667491167055708,0.00027997090218546175,4.873225264727312,0.0375,0.04875,True,,ABOVE_GRID_MAX,1.052873484838714,0.0026934770392498014,0.007489285071833324,0.007585461261561108,,,,OK
C043,489,4,12,0.8,0.5,318,6.974475,20751324,6362,488,family_wise,6.974475,2.4638438123444044,2.4645336169193905,1.4775753305457189,1.972485004122587,0.09087760527600709,1.667491167055708,0.00027997090218546175,8.17971906715949,0.00125,0.00375,True,,ABOVE_GRID_MAX,1.052873484838714,0.020964542725236426,0.05829247273392615,0.01652483952465299,,,,OK
C044,489,4,30,0.8,0.5,318,6.974475,20759243,15152,488,per_cell,1.959964,3.4969753826397603,3.496359144339944,2.1187537551191724,2.78126046809319,-0.07324676519132521,1.6504869309095656,0.00017622037114573412,6.536211800694828,0.075,0.12,True,,ABOVE_GRID_MAX,1.1066118435961556,0.0023254054621295248,0.006334653550934631,0.005930431428033966,,,,OK
C044,489,4,30,0.8,0.5,318,6.974475,20759243,15152,488,family_wise,6.974475,3.4969753826397603,3.496359144339944,2.1187537551191724,2.78126046809319,-0.07324676519132521,1.6504869309095656,0.00017622037114573412,12.467273408226658,0.00125,0.00125,True,,ABOVE_GRID_MAX,1.1066118435961556,0.018099676163525393,0.04930545650952666,0.015673211076132655,,,,OK
C045,489,4,12,1.0,0.0,318,6.974475,20767162,6315,488,per_cell,1.959964,2.663409972083903,2.662424567243635,1.5535098118544393,2.1622006939075846,-0.024542754456529176,1.7144468298559152,0.0003699786554065463,4.947839792277899,0.03875,0.06,True,,ABOVE_GRID_MAX,1.0549161441071793,0.0029995929599320025,0.008816787372967521,0.008184923398355503,,,,OK
C045,489,4,12,1.0,0.0,318,6.974475,20767162,6315,488,family_wise,6.974475,2.663409972083903,2.662424567243635,1.5535098118544393,2.1622006939075846,-0.024542754456529176,1.7144468298559152,0.0003699786554065463,8.805499581251006,0.00125,0.00375,True,,ABOVE_GRID_MAX,1.0549161441071793,0.02334718055897291,0.06862501995984532,0.01932510213712226,,,,OK
C046,489,4,30,1.0,0.0,318,6.974475,20775081,15087,488,per_cell,1.959964,3.795263234851092,3.7954786170469963,2.2503986570301437,3.0563644771031324,-0.11536711741831382,1.6864848470269307,5.6750265416718325e-05,7.2942186675636185,0.04625,0.07375,True,,ABOVE_GRID_MAX,1.1408662380696482,0.002634654728648464,0.00749356702039804,0.007291468375457377,,,,OK
