season,season_type,team_id,zone,fga,fgm,pts,games,team_abbr,attempt_share,fg_pct,pps,league_fg_pct,league_share,k_conversion,k_share,fg_pct_shrunk,share_shrunk,pts_value,pps_shrunk
2021,Regular Season,1611661317,Restricted Area,592,337,674,32,PHO,0.255945,0.569257,1.138514,0.609031,0.281587,343.740841,109.530113,0.583868,0.256743,2,1.167735
2021,Regular Season,1611661317,In The Paint (Non-RA),483,199,398,32,PHO,0.208820,0.412008,0.824017,0.401290,0.200731,1231.180672,149.517590,0.404310,0.208036,2,0.808620
2021,Regular Season,1611661317,Mid-Range,532,202,404,32,PHO,0.230004,0.379699,0.759398,0.365863,0.208306,1807.084576,122.307775,0.369010,0.228593,2,0.738019
2021,Regular Season,1611661317,Corner 3,23,5,15,32,PHO,0.009944,0.217391,0.652174,0.392297,0.026685,5000.000000,490.572701,0.391496,0.012855,3,1.174488
2021,Regular Season,1611661317,Above the Break 3,680,222,666,32,PHO,0.293990,0.326471,0.979412,0.341295,0.280521,4515.440280,333.689182,0.339354,0.291882,3,1.018063
2021,Regular Season,1611661317,Backcourt,3,0,0,32,PHO,0.001297,0.000000,0.000000,0.000000,0.002170,122.411748,5000.000000,0.000000,0.001891,3,0.000000
2021,Regular Season,1611661319,Restricted Area,505,320,640,32,LVA,0.215260,0.633663,1.267327,0.609031,0.281587,343.740841,109.530113,0.623687,0.218541,2,1.247374
2021,Regular Season,1611661319,In The Paint (Non-RA),501,201,402,32,LVA,0.213555,0.401198,0.802395,0.401290,0.200731,1231.180672,149.517590,0.401263,0.213102,2,0.802526
2021,Regular Season,1611661319,Mid-Range,581,220,440,32,LVA,0.247656,0.378657,0.757315,0.365863,0.208306,1807.084576,122.307775,0.368975,0.246069,2,0.737951
2021,Regular Season,1611661319,Corner 3,50,21,63,32,LVA,0.021313,0.420000,1.260000,0.392297,0.026685,5000.000000,490.572701,0.392571,0.022275,3,1.177713
2021,Regular Season,1611661319,Above the Break 3,703,211,633,32,LVA,0.299659,0.300142,0.900427,0.341295,0.280521,4515.440280,333.689182,0.335751,0.297716,3,1.007252
2021,Regular Season,1611661319,Backcourt,6,0,0,32,LVA,0.002558,0.000000,0.000000,0.000000,0.002170,122.411748,5000.000000,0.000000,0.002297,3,0.000000
2021,Regular Season,1611661320,Restricted Area,545,343,686,32,LAS,0.269269,0.629358,1.258716,0.609031,0.281587,343.740841,109.530113,0.621496,0.270696,2,1.242992
2021,Regular Season,1611661320,In The Paint (Non-RA),410,142,284,32,LAS,0.202569,0.346341,0.692683,0.401290,0.200731,1231.180672,149.517590,0.387562,0.203039,2,0.775125
2021,Regular Season,1611661320,Mid-Range,405,136,272,32,LAS,0.200099,0.335802,0.671605,0.365863,0.208306,1807.084576,122.307775,0.360359,0.201157,2,0.720718
2021,Regular Season,1611661320,Corner 3,74,25,75,32,LAS,0.036561,0.337838,1.013514,0.392297,0.026685,5000.000000,490.572701,0.391502,0.034737,3,1.174507
2021,Regular Season,1611661320,Above the Break 3,583,203,609,32,LAS,0.288043,0.348199,1.044597,0.341295,0.280521,4515.440280,333.689182,0.342084,0.287824,3,1.026252
2021,Regular Season,1611661320,Backcourt,7,0,0,32,LAS,0.003458,0.000000,0.000000,0.000000,0.002170,122.411748,5000.000000,0.000000,0.002549,3,0.000000
2021,Regular Season,1611661321,Restricted Area,677,423,846,32,DAL,0.314884,0.624815,1.249631,0.609031,0.281587,343.740841,109.530113,0.619500,0.313564,2,1.239000
2021,Regular Season,1611661321,In The Paint (Non-RA),415,175,350,32,DAL,0.193023,0.421687,0.843373,0.401290,0.200731,1231.180672,149.517590,0.406432,0.193706,2,0.812863
2021,Regular Season,1611661321,Mid-Range,352,129,258,32,DAL,0.163721,0.366477,0.732955,0.365863,0.208306,1807.084576,122.307775,0.365963,0.166277,2,0.731926
2021,Regular Season,1611661321,Corner 3,51,17,51,32,DAL,0.023721,0.333333,1.000000,0.392297,0.026685,5000.000000,490.572701,0.391701,0.024294,3,1.175104
2021,Regular Season,1611661321,Above the Break 3,651,222,666,32,DAL,0.302791,0.341014,1.023041,0.341295,0.280521,4515.440280,333.689182,0.341259,0.300080,3,1.023778
2021,Regular Season,1611661321,Backcourt,4,0,0,32,DAL,0.001860,0.000000,0.000000,0.000000,0.002170,122.411748,5000.000000,0.000000,0.002079,3,0.000000
2021,Regular Season,1611661322,Restricted Area,512,358,716,32,WAS,0.238583,0.699219,1.398438,0.609031,0.281587,343.740841,109.530113,0.662991,0.240816,2,1.325983
2021,Regular Season,1611661322,In The Paint (Non-RA),515,229,458,32,WAS,0.239981,0.444660,0.889320,0.401290,0.200731,1231.180672,149.517590,0.414081,0.237568,2,0.828162
2021,Regular Season,1611661322,Mid-Range,470,162,324,32,WAS,0.219012,0.344681,0.689362,0.365863,0.208306,1807.084576,122.307775,0.361491,0.218566,2,0.722981
2021,Regular Season,1611661322,Corner 3,63,31,93,32,WAS,0.029357,0.492063,1.476190,0.392297,0.026685,5000.000000,490.572701,0.393538,0.028877,3,1.180614
2021,Regular Season,1611661322,Above the Break 3,580,213,639,32,WAS,0.270270,0.367241,1.101724,0.341295,0.280521,4515.440280,333.689182,0.344248,0.271813,3,1.032744
2021,Regular Season,1611661322,Backcourt,6,0,0,32,WAS,0.002796,0.000000,0.000000,0.000000,0.002170,122.411748,5000.000000,0.000000,0.002359,3,0.000000
2021,Regular Season,1611661323,Restricted Area,561,315,630,32,CON,0.280781,0.561497,1.122995,0.609031,0.281587,343.740841,109.530113,0.579557,0.281068,2,1.159114
2021,Regular Season,1611661323,In The Paint (Non-RA),371,149,298,32,CON,0.185686,0.401617,0.803235,0.401290,0.200731,1231.180672,149.517590,0.401365,0.186896,2,0.802731
2021,Regular Season,1611661323,Mid-Range,418,152,304,32,CON,0.209209,0.363636,0.727273,0.365863,0.208306,1807.084576,122.307775,0.365444,0.209340,2,0.730889
2021,Regular Season,1611661323,Corner 3,59,17,51,32,CON,0.029530,0.288136,0.864407,0.392297,0.026685,5000.000000,490.572701,0.391082,0.028994,3,1.173246
2021,Regular Season,1611661323,Above the Break 3,586,184,552,32,CON,0.293293,0.313993,0.941980,0.341295,0.280521,4515.440280,333.689182,0.338159,0.291720,3,1.014476
2021,Regular Season,1611661323,Backcourt,3,0,0,32,CON,0.001502,0.000000,0.000000,0.000000,0.002170,122.411748,5000.000000,0.000000,0.001981,3,0.000000
2021,Regular Season,1611661324,Restricted Area,642,381,762,32,MIN,0.292217,0.593458,1.186916,0.609031,0.281587,343.740841,109.530113,0.598888,0.291670,2,1.197777
2021,Regular Season,1611661324,In The Paint (Non-RA),399,144,288,32,MIN,0.181611,0.360902,0.721805,0.401290,0.200731,1231.180672,149.517590,0.391404,0.182803,2,0.782809
2021,Regular Season,1611661324,Mid-Range,489,175,350,32,MIN,0.222576,0.357873,0.715746,0.365863,0.208306,1807.084576,122.307775,0.364161,0.221792,2,0.728322
2021,Regular Season,1611661324,Corner 3,70,33,99,32,MIN,0.031862,0.471429,1.414286,0.392297,0.026685,5000.000000,490.572701,0.393389,0.030912,3,1.180168
2021,Regular Season,1611661324,Above the Break 3,591,198,594,32,MIN,0.269003,0.335025,1.005076,0.341295,0.280521,4515.440280,333.689182,0.340569,0.270483,3,1.021707
2021,Regular Season,1611661324,Backcourt,6,0,0,32,MIN,0.002731,0.000000,0.000000,0.000000,0.002170,122.411748,5000.000000,0.000000,0.002341,3,0.000000
2021,Regular Season,1611661325,Restricted Area,651,400,800,32,IND,0.300138,0.614439,1.228879,0.609031,0.281587,343.740841,109.530113,0.612570,0.299067,2,1.225141
2021,Regular Season,1611661325,In The Paint (Non-RA),379,159,318,32,IND,0.174735,0.419525,0.839050,0.401290,0.200731,1231.180672,149.517590,0.405582,0.176305,2,0.811164
2021,Regular Season,1611661325,Mid-Range,465,186,372,32,IND,0.214385,0.400000,0.800000,0.365863,0.208306,1807.084576,122.307775,0.372849,0.213932,2,0.745698
2021,Regular Season,1611661325,Corner 3,52,23,69,32,IND,0.023974,0.442308,1.326923,0.392297,0.026685,5000.000000,490.572701,0.392811,0.024460,3,1.178434
2021,Regular Season,1611661325,Above the Break 3,618,228,684,32,IND,0.284924,0.368932,1.106796,0.341295,0.280521,4515.440280,333.689182,0.344622,0.284166,3,1.033865
2021,Regular Season,1611661325,Backcourt,4,0,0,32,IND,0.001844,0.000000,0.000000,0.000000,0.002170,122.411748,5000.000000,0.000000,0.002070,3,0.000000
2021,Regular Season,1611661328,Restricted Area,592,379,758,32,SEA,0.263345,0.640203,1.280405,0.609031,0.281587,343.740841,109.530113,0.628752,0.264018,2,1.257504
2021,Regular Season,1611661328,In The Paint (Non-RA),512,190,380,32,SEA,0.227758,0.371094,0.742188,0.401290,0.200731,1231.180672,149.517590,0.392421,0.225923,2,0.784841
2021,Regular Season,1611661328,Mid-Range,468,170,340,32,SEA,0.208185,0.363248,0.726496,0.365863,0.208306,1807.084576,122.307775,0.365325,0.208054,2,0.730649
2021,Regular Season,1611661328,Corner 3,53,22,66,32,SEA,0.023577,0.415094,1.245283,0.392297,0.026685,5000.000000,490.572701,0.392536,0.024117,3,1.177608
2021,Regular Season,1611661328,Above the Break 3,619,208,624,32,SEA,0.275356,0.336026,1.008078,0.341295,0.280521,4515.440280,333.689182,0.340659,0.275841,3,1.021978
2021,Regular Season,1611661328,Backcourt,4,0,0,32,SEA,0.001779,0.000000,0.000000,0.000000,0.002170,122.411748,5000.000000,0.000000,0.002047,3,0.000000
2021,Regular Season,1611661329,Restricted Area,771,435,870,32,CHI,0.344504,0.564202,1.128405,0.609031,0.281587,343.740841,109.530113,0.578026,0.340438,2,1.156051
2021,Regular Season,1611661329,In The Paint (Non-RA),411,172,344,32,CHI,0.183646,0.418491,0.836983,0.401290,0.200731,1231.180672,149.517590,0.405595,0.184105,2,0.811190
2021,Regular Season,1611661329,Mid-Range,459,152,304,32,CHI,0.205094,0.331155,0.662309,0.365863,0.208306,1807.084576,122.307775,0.358832,0.204581,2,0.717665
2021,Regular Season,1611661329,Corner 3,81,27,81,32,CHI,0.036193,0.333333,1.000000,0.392297,0.026685,5000.000000,490.572701,0.391357,0.034370,3,1.174070
2021,Regular Season,1611661329,Above the Break 3,511,183,549,32,CHI,0.228329,0.358121,1.074364,0.341295,0.280521,4515.440280,333.689182,0.343005,0.234323,3,1.029016
2021,Regular Season,1611661329,Backcourt,5,0,0,32,CHI,0.002234,0.000000,0.000000,0.000000,0.002170,122.411748,5000.000000,0.000000,0.002182,3,0.000000
2021,Regular Season,1611661330,Restricted Area,625,378,756,32,ATL,0.295090,0.604800,1.209600,0.609031,0.281587,343.740841,109.530113,0.606301,0.294857,2,1.212602
2021,Regular Season,1611661330,In The Paint (Non-RA),410,177,354,32,ATL,0.193579,0.431707,0.863415,0.401290,0.200731,1231.180672,149.517590,0.408889,0.194334,2,0.817777
2021,Regular Season,1611661330,Mid-Range,389,144,288,32,ATL,0.183664,0.370180,0.740360,0.365863,0.208306,1807.084576,122.307775,0.366627,0.185280,2,0.733255
2021,Regular Season,1611661330,Corner 3,79,37,111,32,ATL,0.037299,0.468354,1.405063,0.392297,0.026685,5000.000000,490.572701,0.393480,0.035355,3,1.180439
2021,Regular Season,1611661330,Above the Break 3,612,231,693,32,ATL,0.288952,0.377451,1.132353,0.341295,0.280521,4515.440280,333.689182,0.345610,0.288226,3,1.036830
2021,Regular Season,1611661330,Backcourt,3,0,0,32,ATL,0.001416,0.000000,0.000000,0.000000,0.002170,122.411748,5000.000000,0.000000,0.001949,3,0.000000
