season,player_id,player_name,team_id,team_abbr,n_teams,zone,fga,fgm,fg_pct_raw,attempt_share,fga_total,league_fg_pct,team_prior_fg_pct,k_player,fg_pct_shrunk,data_weight,prior_dominated,pts_value,pps_shrunk
2021,202633,Liz Cambage,1611661319,LVA,1,Above the Break 3,20,8,0.400000,0.066445,301,0.342263,0.350489,262.841529,0.353990,0.070711,True,3,1.061971
2021,202633,Liz Cambage,1611661319,LVA,1,Backcourt,0,0,,0.000000,301,0.000000,0.000000,30.401406,0.000000,0.000000,True,3,0.000000
2021,202638,Jessica Breland,1611661325,IND,1,Restricted Area,48,24,0.500000,0.265193,181,0.606885,0.576528,72.089964,0.545940,0.399700,True,2,1.091879
2021,202638,Jessica Breland,1611661325,IND,1,In The Paint (Non-RA),40,14,0.350000,0.220994,181,0.399965,0.371792,103.196074,0.365704,0.279337,True,2,0.731409
2021,202638,Jessica Breland,1611661325,IND,1,Mid-Range,77,24,0.311688,0.425414,181,0.367672,0.384883,126.590601,0.357200,0.378210,True,2,0.714400
2021,202638,Jessica Breland,1611661325,IND,1,Corner 3,0,0,,0.000000,181,0.391360,0.385973,260.325606,0.385973,0.000000,True,3,1.157919
2021,202638,Jessica Breland,1611661325,IND,1,Above the Break 3,16,5,0.312500,0.088398,181,0.342263,0.327926,262.841529,0.327041,0.057380,True,3,0.981123
2021,202638,Jessica Breland,1611661325,IND,1,Backcourt,0,0,,0.000000,181,0.000000,0.000000,30.401406,0.000000,0.000000,True,3,0.000000
2021,202650,Jantel Lavender,1611661325,IND,1,Restricted Area,52,26,0.500000,0.276596,188,0.606885,0.576528,72.089964,0.544459,0.419051,True,2,1.088917
2021,202650,Jantel Lavender,1611661325,IND,1,In The Paint (Non-RA),24,10,0.416667,0.127660,188,0.399965,0.371792,103.196074,0.380259,0.188685,True,2,0.760518
2021,202650,Jantel Lavender,1611661325,IND,1,Mid-Range,92,36,0.391304,0.489362,188,0.367672,0.384883,126.590601,0.387586,0.420878,True,2,0.775171
2021,202650,Jantel Lavender,1611661325,IND,1,Corner 3,2,0,0.000000,0.010638,188,0.391360,0.385973,260.325606,0.383030,0.007624,True,3,1.149091
2021,202650,Jantel Lavender,1611661325,IND,1,Above the Break 3,18,4,0.222222,0.095745,188,0.342263,0.327926,262.841529,0.321151,0.064093,True,3,0.963454
2021,202650,Jantel Lavender,1611661325,IND,1,Backcourt,0,0,,0.000000,188,0.000000,0.000000,30.401406,0.000000,0.000000,True,3,0.000000
2021,202658,Danielle Robinson,1611661325,IND,1,Restricted Area,88,48,0.545455,0.417062,211,0.606885,0.576528,72.089964,0.559447,0.549691,False,2,1.118894
2021,202658,Danielle Robinson,1611661325,IND,1,In The Paint (Non-RA),40,15,0.375000,0.189573,211,0.399965,0.371792,103.196074,0.372688,0.279337,True,2,0.745376
2021,202658,Danielle Robinson,1611661325,IND,1,Mid-Range,58,20,0.344828,0.274882,211,0.367672,0.384883,126.590601,0.372297,0.314209,True,2,0.744594
2021,202658,Danielle Robinson,1611661325,IND,1,Corner 3,1,0,0.000000,0.004739,211,0.391360,0.385973,260.325606,0.384496,0.003827,True,3,1.153488
2021,202658,Danielle Robinson,1611661325,IND,1,Above the Break 3,21,5,0.238095,0.099526,211,0.342263,0.327926,262.841529,0.321280,0.073985,True,3,0.963840
2021,202658,Danielle Robinson,1611661325,IND,1,Backcourt,3,0,0.000000,0.014218,211,0.000000,0.000000,30.401406,0.000000,0.089817,True,3,0.000000
2021,202662,Jasmine Thomas,1611661323,CON,1,Restricted Area,90,52,0.577778,0.267857,336,0.606885,0.611565,72.089964,0.592805,0.555247,False,2,1.185609
2021,202662,Jasmine Thomas,1611661323,CON,1,In The Paint (Non-RA),46,10,0.217391,0.136905,336,0.399965,0.376031,103.196074,0.327119,0.308319,True,2,0.654238
2021,202662,Jasmine Thomas,1611661323,CON,1,Mid-Range,77,16,0.207792,0.229167,336,0.367672,0.340602,126.590601,0.290372,0.378210,True,2,0.580744
2021,202662,Jasmine Thomas,1611661323,CON,1,Corner 3,13,5,0.384615,0.038690,336,0.391360,0.386393,260.325606,0.386309,0.047562,True,3,1.158926
2021,202662,Jasmine Thomas,1611661323,CON,1,Above the Break 3,110,41,0.372727,0.327381,336,0.342263,0.350221,262.841529,0.356861,0.295032,True,3,1.070584
2021,202662,Jasmine Thomas,1611661323,CON,1,Backcourt,0,0,,0.000000,336,0.000000,0.000000,30.401406,0.000000,0.000000,True,3,0.000000
2021,202664,Courtney Vandersloot,1611661329,CHI,1,Restricted Area,121,73,0.603306,0.300995,402,0.606885,0.604213,72.089964,0.603645,0.626651,False,2,1.207289
2021,202664,Courtney Vandersloot,1611661329,CHI,1,In The Paint (Non-RA),64,27,0.421875,0.159204,402,0.399965,0.419578,103.196074,0.420457,0.382784,True,2,0.840914
2021,202664,Courtney Vandersloot,1611661329,CHI,1,Mid-Range,89,38,0.426966,0.221393,402,0.367672,0.351520,126.590601,0.382666,0.412819,True,2,0.765332
2021,202664,Courtney Vandersloot,1611661329,CHI,1,Corner 3,10,5,0.500000,0.024876,402,0.391360,0.396731,260.325606,0.400552,0.036992,True,3,1.201655
2021,202664,Courtney Vandersloot,1611661329,CHI,1,Above the Break 3,116,39,0.336207,0.288557,402,0.342263,0.338713,262.841529,0.337945,0.306197,True,3,1.013836
2021,202664,Courtney Vandersloot,1611661329,CHI,1,Backcourt,2,0,0.000000,0.004975,402,0.000000,0.000000,30.401406,0.000000,0.061726,True,3,0.000000
2021,203014,Nneka Ogwumike,1611661320,LAS,1,Restricted Area,72,52,0.722222,0.351220,205,0.606885,0.604543,72.089964,0.663346,0.499688,True,2,1.326692
2021,203014,Nneka Ogwumike,1611661320,LAS,1,In The Paint (Non-RA),54,23,0.425926,0.263415,205,0.399965,0.352490,103.196074,0.377717,0.343520,True,2,0.755433
2021,203014,Nneka Ogwumike,1611661320,LAS,1,Mid-Range,49,23,0.469388,0.239024,205,0.367672,0.360667,126.590601,0.391007,0.279058,True,2,0.782013
2021,203014,Nneka Ogwumike,1611661320,LAS,1,Corner 3,1,1,1.000000,0.004878,205,0.391360,0.384878,260.325606,0.387231,0.003827,True,3,1.161694
2021,203014,Nneka Ogwumike,1611661320,LAS,1,Above the Break 3,29,10,0.344828,0.141463,205,0.342263,0.341492,262.841529,0.341823,0.099369,True,3,1.025470
2021,203014,Nneka Ogwumike,1611661320,LAS,1,Backcourt,0,0,,0.000000,205,0.000000,0.000000,30.401406,0.000000,0.000000,True,3,0.000000
2021,203015,Shekinna Stricklen,1611661330,ATL,1,Restricted Area,3,2,0.666667,0.035294,85,0.606885,0.589130,72.089964,0.592227,0.039952,True,2,1.184455
2021,203015,Shekinna Stricklen,1611661330,ATL,1,In The Paint (Non-RA),5,4,0.800000,0.058824,85,0.399965,0.386617,103.196074,0.405720,0.046212,True,2,0.811440
2021,203015,Shekinna Stricklen,1611661330,ATL,1,Mid-Range,11,2,0.181818,0.129412,85,0.367672,0.373579,126.590601,0.358248,0.079947,True,2,0.716496
2021,203015,Shekinna Stricklen,1611661330,ATL,1,Corner 3,4,1,0.250000,0.047059,85,0.391360,0.391896,260.325606,0.389749,0.015133,True,3,1.169246
2021,203015,Shekinna Stricklen,1611661330,ATL,1,Above the Break 3,62,13,0.209677,0.729412,85,0.342263,0.331468,262.841529,0.308223,0.190862,True,3,0.924668
2021,203015,Shekinna Stricklen,1611661330,ATL,1,Backcourt,0,0,,0.000000,85,0.000000,0.000000,30.401406,0.000000,0.000000,True,3,0.000000
2021,203024,Damiris Dantas,1611661324,MIN,1,Restricted Area,27,13,0.481481,0.154286,175,0.606885,0.612692,72.089964,0.576940,0.272480,True,2,1.153879
2021,203024,Damiris Dantas,1611661324,MIN,1,In The Paint (Non-RA),21,8,0.380952,0.120000,175,0.399965,0.424665,103.196074,0.417274,0.169087,True,2,0.834548
2021,203024,Damiris Dantas,1611661324,MIN,1,Mid-Range,25,11,0.440000,0.142857,175,0.367672,0.390624,126.590601,0.398767,0.164918,True,2,0.797534
