grid,response,projection,arm,candidate,stratum,window,n,n_blocks_scored,sst,r2_base,r2_aug,dR2,beta,primary_null,null_mean,null_sd,z,p,n_null_blocks,n_draws,p_floor,second_null,null_mean_2,null_sd_2,z_2,p_2,n_draws_2,p_familywise,MDE80_analytic,boot_sd,boot_t,boot_MDE80,boot_over_perm_sd,dr2_eval_2023,dr2_eval_2024,dr2_eval_2022
PRIMARY,R1_min,RAW,UNFROZEN,C7_sched_density,DECISION,CLEAN_2023_24,3167,764,132506.76970090868,0.2294384480422601,0.23029713936688334,0.0008586913246232819,0.1776583817293882,N_TGBLOCK,0.0003447168605696697,0.0006844047214596328,0.750980301476379,0.19740129935032483,335,2000,0.0004997501249375312,N_TGSWAP_VACUOUS_IDENTITY,0.0008586913246232819,0.0,,1.0,200,0.42778610694652675,0.0019163332200869717,0.0008749184418664614,0.9814529943973266,0.0024497716372260917,1.2783641234977445,-1.6387358937744843e-05,0.0017069623172170296,0.0007766390269111266
PRIMARY,R1_min,RAW,UNFROZEN,C8_opp_pace_prior,DECISION,CLEAN_2023_24,3167,764,132506.76970090868,0.2294384480422601,0.22748543746585048,-0.0019530105764096644,-0.16139608381582354,N_TGBLOCK,-0.00014562126837442562,0.0006243755744576047,-2.894714947177936,0.9870064967516242,335,2000,0.0004997501249375312,N_TGSWAP_VACUOUS_IDENTITY,-0.0019530105764096644,0.0,,1.0,200,1.0,0.001748251608481293,0.0012533525917646144,-1.5582291760852314,0.00350938725694092,2.007369671456803,-0.0011213874041618127,-0.002760851243195218,0.0024792356312477296
PRIMARY,R1_min,RAW,UNFROZEN,G01_noise,DECISION,CLEAN_2023_24,3167,764,132506.76970090868,0.2294384480422601,0.22903387317325574,-0.0004045748690043459,0.025669684878094477,N_TGSWAP,-0.0002721330975338521,0.0005100889307759755,-0.2596444727177593,0.7311344327836082,1776,2000,0.0004997501249375312,N_PSWAP,-0.00023550284596999093,0.0005572603154022841,-0.3033986421809034,0.7171381031613977,600,,0.0014282490061727313,0.0002523323526308415,-1.6033412473121629,0.0007065305873663561,0.49468305898538034,-0.00021636047562714704,-0.000587350992441259,-0.0017905983437195084
PRIMARY,R1_min,RAW,UNFROZEN,G02_tg_noise,DECISION,CLEAN_2023_24,3167,764,132506.76970090868,0.2294384480422601,0.22928355813961399,-0.00015488990264616215,-0.03963626599470376,N_TGBLOCK,-0.0004027891101670936,0.0007605170826893106,0.32596139279912034,0.43478260869565216,335,2000,0.0004997501249375312,N_TGSWAP_VACUOUS_IDENTITY,-0.00015488990264616212,2.717307212124647e-20,-0.9974968671630001,1.0,200,,0.0021294478315300697,0.0003757655457215944,-0.4121982560926979,0.0010521435280204643,0.4940921831667831,-1.5982601740449664e-07,-0.0003048844394924569,-0.00263243928930519
CONSTRAINT,R1_min,PROJ,FROZEN,C1_player_rest,DECISION,CLEAN_2023_24,3167,764,132506.76970090868,0.22487168002214952,0.22723242644424635,0.0023607464220967954,-0.04434350215065793,N_TGSWAP,1.317299661647045e-05,0.0002376567356619863,9.878000802044276,0.0004997501249375312,1776,2000,0.0004997501249375312,N_PSWAP,-2.708068310924036e-05,0.0004894302752713256,4.87878912656618,0.0016638935108153079,600,0.0004997501249375312,0.0006654388598535616,0.0006370680357612714,3.705642552409329,0.0017837905001315598,2.680622680382847,0.001638550005332204,0.0030632800395605075,0.00018983934229349622
CONSTRAINT,R1_min,PROJ,FROZEN,C2_foul_rate,DECISION,CLEAN_2023_24,3167,764,132506.76970090868,0.22487168002214952,0.227661919175291,0.002790239153141468,-0.048646932218006186,N_TGSWAP,-0.0002473945508655657,0.0004957793471780867,6.126987179471795,0.0004997501249375312,1776,2000,0.0004997501249375312,N_PSWAP,-0.00022845784752537567,0.000809855448087022,3.7274516184306434,0.004991680532445923,600,0.0009995002498750624,0.0013881821720986428,0.00035790195301147105,7.796099265912748,0.0010021254684321188,0.7218976648555524,0.0032155087562759656,0.0023827763952177774,0.011831934109971753
CONSTRAINT,R1_min,PROJ,FROZEN,C3_blowout_adj,DECISION,CLEAN_2023_24,3167,764,132506.76970090868,0.22487168002214952,0.23998695666916248,0.01511527664701301,0.2563210624286224,N_TGSWAP,-0.0001979647512609502,0.0003794368108473125,40.35781706070709,0.0004997501249375312,1776,2000,0.0004997501249375312,N_PSWAP,-0.00020416389668443156,0.0007691549826871179,19.917235002726606,0.0016638935108153079,600,0.0004997501249375312,0.0010624230703724748,0.0018287503602427548,8.26535812411627,0.005120501008679713,4.819644030211539,0.01791853879785598,0.012424509707835832,0.009672210229362955
CONSTRAINT,R1_min,PROJ,FROZEN,C4_min_volatility,DECISION,CLEAN_2023_24,3167,764,132506.76970090868,0.22487168002214952,0.22722335205622946,0.0023516720340799025,-0.0504453790932909,N_TGSWAP,-0.00028161865060808854,0.000589530972697427,4.466755449063592,0.0004997501249375312,1776,2000,0.0004997501249375312,N_PSWAP,-0.0005855799360977295,0.0008554000569510556,3.433775747744305,0.0016638935108153079,600,0.0024987506246876563,0.0016506867235527953,0.0005355474532952367,4.39115529279433,0.0014995328692266627,0.9084297146336755,0.001275482565793356,0.0033968232126058875,0.001180780977672901
CONSTRAINT,R1_min,PROJ,FROZEN,C5_starter_delta,DECISION,CLEAN_2023_24,3167,764,132506.76970090868,0.22487168002214952,0.22619763887040378,0.0013259588482542558,0.28079064606414184,N_TGSWAP,-0.0003370985391933982,0.0005696532919020438,2.9194203054541976,0.001999000499750125,1776,2000,0.0004997501249375312,N_PSWAP,-0.0005097146325374152,0.0009846297513171917,1.8643286761709088,0.019966722129783693,600,0.02148925537231384,0.0015950292173257225,0.00033042177111333753,4.012928215312545,0.0009251809591173451,0.5800401328500636,0.001898608529804152,0.0007736647984848248,0.005819080520105362
CONSTRAINT,R1_min,PROJ,FROZEN,C6_team_rest,DECISION,CLEAN_2023_24,3167,764,132506.76970090868,0.22487168002214952,0.22509131298020613,0.00021963295805658872,0.027421353037535567,N_TGBLOCK,0.00037306253019716494,0.00014341392011387464,-1.0698373771440657,0.8680659670164917,335,2000,0.0004997501249375312,N_TGSWAP_VACUOUS_IDENTITY,0.00021963295805658877,5.434614424249294e-20,-0.9974968671630001,1.0,200,0.9930034982508745,0.00040155897631884895,0.00018455819841487714,1.1900471501291172,0.000516762955561656,1.2868918042846385,0.00013215734124733723,0.0003046281338759893,0.000792522664453925
