game_id,game_date,season,team_i,player_id,player_name,label,absence_game_id,absence_date,d_ft,d_stint,d_rim,d_min,days_rest,games_last7,score_micro,score_incumbent
1022300088,2023-06-29,2023,IND,1628927,Victoria Vivians,0,,,,4.1748717948718195,0.05555555555555555,-1.2941025641025625,3.0,2.0,-0.38850194384938197,0.5969429045823171
1022300095,2023-07-02,2023,IND,1628927,Victoria Vivians,0,,,,6.6002380952380975,0.027586206896551724,-0.5221428571428568,3.0,2.0,-0.3187047714412752,0.34726246325348176
1022300099,2023-07-05,2023,IND,1628927,Victoria Vivians,0,,,,-10.777777777777771,0.07536764705882354,-2.2622222222222224,3.0,2.0,0.0477930238116453,0.9100687598817248
1022300103,2023-07-07,2023,IND,1628927,Victoria Vivians,0,,,,-12.216875000000016,0.09190887666928513,-1.256874999999999,2.0,2.0,-0.46618977240522325,1.0017964098913046
1022300109,2023-07-09,2023,IND,1628927,Victoria Vivians,0,,,,-27.83215686274511,0.13653699466056443,-1.9039215686274495,2.0,3.0,-0.4565267741854512,2.3846672155464996
1022300115,2023-07-12,2023,IND,1628927,Victoria Vivians,0,,,,-12.057592592592528,0.16666666666666669,-0.9249999999999989,3.0,3.0,-1.6028302675124393,1.6511533389401973
1022300122,2023-07-19,2023,IND,1628927,Victoria Vivians,0,,,,17.559122807017587,0.09447128287708001,2.8794736842105255,7.0,1.0,-2.6254334658914367,-3.594115710692513
1022300133,2023-07-23,2023,IND,1628927,Victoria Vivians,0,,,,50.041666666666686,-0.07350427350427349,4.520833333333336,4.0,1.0,-1.7107227557763844,-2.874309537802893
1022300139,2023-07-25,2023,IND,1628927,Victoria Vivians,0,,,-0.0461538461538461,62.031587301587365,-0.04577020202020202,7.0728571428571385,2.0,2.0,-2.7877063021620954,-1.6923483477030372
1022300141,2023-07-27,2023,IND,1628927,Victoria Vivians,0,,,0.125,101.60681818181826,-0.053658536585365874,9.122878787878786,2.0,2.0,-6.087571255676712,-2.355401489528984
1022300147,2023-07-30,2023,IND,1628927,Victoria Vivians,0,,,0.04166666666666663,119.96014492753625,-0.04274134119380987,11.349130434782609,3.0,3.0,-6.614259152913345,-2.3187563289541346
1022300157,2023-08-04,2023,IND,1628927,Victoria Vivians,0,,,0.0,101.57013888888889,0.004792879150975676,7.610138888888891,5.0,1.0,-5.157277894297282,-4.290399979583497
