response,window,base,arm,candidate,is_negative_control,n,n_folds,n_blocks,signed_dr2,beta,rmse_base,rmse_aug,sst,vs_floor_single,vs_floor_132,vs_largest_live
y_pts,CLEAN_2023_24,B2_FAMILY,FROZEN,A10_opp_defrtg,False,3167,2,24,0.0016644462527285642,0.023369556246281068,6.389443632624922,6.381635263228076,189743.2023997474,1.6318100516946707,0.7082750011610911,0.8091620091047955
y_pts,CLEAN_2023_24,B2_FAMILY,FROZEN,G01_noise,True,3167,2,24,0.00015987029220863378,-0.08031107110567562,6.389443632624922,6.388694051972833,189743.2023997474,0.1567355805966998,0.06802991157814203,0.07772012260993379
y_pts,CLEAN_2023_24,B2_FAMILY,INTERCEPT_ONLY,A10_opp_defrtg,False,3167,2,24,9.60959315039364e-14,-8.183105368308275e-12,6.389443632624922,6.389443632624471,189743.2023997474,9.421169755287882e-11,4.089188574635591e-11,4.671654424109694e-11
y_pts,DISCLOSED_2022,B0_COMPLETE,UNFROZEN,A10_opp_defrtg,False,1350,1,12,0.0019012398287275233,0.04030959440878481,6.1923970400978385,6.184513256564768,69285.73037037038,1.8639606163995326,0.8090382249904354,0.9242779916030741
y_pts,DISCLOSED_2022,B0_COMPLETE,UNFROZEN,G01_noise,True,1350,1,12,0.00019115395875293919,-0.12441756348409262,6.1923970400978385,6.191604844694591,69285.73037037038,0.18740584191464624,0.08134211010763369,0.09292851665189071
y_pts,DISCLOSED_2022,B0_COMPLETE,FROZEN,A10_opp_defrtg,False,1350,1,12,0.001866521046367045,0.04004756445593044,6.1923970400978385,6.184657313422654,69285.73037037038,1.829922594477495,0.7942642750498063,0.9073996336252043
y_pts,DISCLOSED_2022,B0_COMPLETE,FROZEN,G01_noise,True,1350,1,12,-1.4194558701758286e-05,-0.12388258837781359,6.1923970400978385,6.19245586227209,69285.73037037038,-0.013916234021331651,-0.006040237745429057,-0.006900611911404126
y_pts,DISCLOSED_2022,B0_COMPLETE,INTERCEPT_ONLY,A10_opp_defrtg,False,1350,1,12,-8.947175492192391e-14,-4.375984388382748e-12,6.1923970400978385,6.19239704009821,69285.73037037038,-8.771740678619991e-11,-3.8073087200818685e-11,-4.349623477001649e-11
y_pts,DISCLOSED_2022,B1_HONEST,UNFROZEN,A10_opp_defrtg,False,1350,1,12,0.0011338566942774744,0.02560771922016415,6.197396181008774,6.192699473227865,69285.73037037038,1.1116242100759552,0.48249221033084017,0.5512186165665894
y_pts,DISCLOSED_2022,B1_HONEST,UNFROZEN,G01_noise,True,1350,1,12,0.00019502689440153867,-0.12513261432478157,6.197396181008774,6.196588586089595,69285.73037037038,0.1912028376485673,0.08299016783044198,0.09481132445383504
y_pts,DISCLOSED_2022,B1_HONEST,FROZEN,A10_opp_defrtg,False,1350,1,12,0.0009240642155577086,0.024435530944417506,6.197396181008774,6.193568752781467,69285.73037037038,0.9059453093703025,0.3932188151309398,0.4492290790265963
y_pts,DISCLOSED_2022,B1_HONEST,FROZEN,G01_noise,True,1350,1,12,-7.532121722586575e-07,-0.1245797575747194,6.197396181008774,6.197399299812148,69285.73037037038,-0.0007384433061359387,-0.00032051581798240745,-0.000366170234447573
y_pts,DISCLOSED_2022,B1_HONEST,INTERCEPT_ONLY,A10_opp_defrtg,False,1350,1,12,-1.1677534210467064e-13,-5.695516338447686e-12,6.197396181008774,6.197396181009257,69285.73037037038,-1.1448562951438296e-10,-4.9691634938157714e-11,-5.67697336434957e-11
y_pts,DISCLOSED_2022,B2_FAMILY,UNFROZEN,A10_opp_defrtg,False,1350,1,12,0.0007193362075515039,0.03021725899974476,6.198159992714589,6.195181109008802,69285.73037037038,0.705231576030886,0.3061005138517038,0.3497016079491998
y_pts,DISCLOSED_2022,B2_FAMILY,UNFROZEN,G01_noise,True,1350,1,12,0.00018886939753093125,-0.12579597666934336,6.198159992714589,6.1973779936288755,69285.73037037038,0.1851660760107169,0.08036995639614096,0.09181788893093401
y_pts,DISCLOSED_2022,B2_FAMILY,FROZEN,A10_opp_defrtg,False,1350,1,12,0.00032104596129273487,0.007231293378218427,6.198159992714589,6.196830668126086,69285.73037037038,0.3147509424438577,0.1366153026777595,0.15607484749282202
y_pts,DISCLOSED_2022,B2_FAMILY,FROZEN,G01_noise,True,1350,1,12,-2.7860526394264506e-05,-0.1252104807112771,6.198159992714589,6.1982753387121745,69285.73037037038,-0.027314241563004417,-0.011855543146495534,-0.013544252014712935
