candidate,family,dependent,beta,t,n,var_share_between,scheme_between,p_familywise,p_between,nullmean_between,nullsd_between,p_within,nullmean_within,nullsd_within,p_row,nullmean_row,nullsd_row,within_null_degenerate,inflation_between_over_row
pl_minutes_prior,A_depth_experience,brier,-0.0001221272774958,-26.693131719289735,17809,0.4559642369573253,player_between,0.0009990009990009,0.000999000999000999,-4.098567446140782,1.9024293606232225,0.16283716283716285,-26.123604189696533,0.549589199677844,0.000999000999000999,-0.018458372675133932,0.9744927746640096,True,1.9522252089341057
pl_minutes_prior,A_depth_experience,skill_vs_R1,-9.773722668208252e-06,-2.408891479329597,17809,0.4559642369573253,player_between,1.0,0.7582417582417582,3.704487346798566,1.7783755003458752,1.0,-6.917453726119463,0.4812141850410108,0.017982017982017984,-0.026500262735861212,1.021835415757776,True,1.7403737166685123
pl_minutes_prior,A_depth_experience,skill_vs_R2,-6.307569280438418e-05,-12.741506504475938,17809,0.4559642369573253,player_between,0.0009990009990009,0.000999000999000999,0.4193193851829996,2.122874132362856,1.0,-14.187661120316825,0.44168577138831905,0.000999000999000999,-0.036569693744602734,1.0306037874920175,True,2.0598353684774313
pl_minutes_prior,A_depth_experience,skill_vs_R3,-9.895895912429858e-06,-3.652677589955666,17809,0.4559642369573253,player_between,1.0,0.04895104895104895,1.8882040097998933,1.0496317431919346,1.0,-6.030189309969043,0.43274327996259987,0.000999000999000999,0.003713365164164202,0.9662226876654405,True,1.0863248778892003
pl_minutes_prior,A_depth_experience,llskill_vs_R3,-2.6916678399309027e-05,-3.440937223737346,17809,0.4559642369573253,player_between,1.0,0.06393606393606394,1.7221497428774941,1.1228877784416567,1.0,-6.5347252951520725,0.4647296678505389,0.000999000999000999,-0.007203374237271923,0.9695297016813631,True,1.158177801561251
pl_min_per_opp_prior,A_depth_experience,signed_err,0.0005330685200632,2.464487999114155,17320,0.9152470457456862,player_between,1.0,0.0899100899100899,0.08379707805059744,1.4307011293974834,1.0,5.460500669698005,0.31177800080101653,0.01898101898101898,-0.002640352739051483,1.0206020985929896,True,1.4018206815073766
pl_min_per_opp_prior,A_depth_experience,brier,-0.0052273239830759,-37.8805717977126,17320,0.9152470457456862,player_between,0.0009990009990009,0.000999000999000999,0.09083004140147995,2.55147525709068,0.000999000999000999,-36.599946398569436,0.35909176733355924,0.000999000999000999,0.03620047632787039,1.0217091128109566,True,2.4972619164284295
pl_min_per_opp_prior,A_depth_experience,skill_vs_R1,-0.0012380611349739,-9.974863989286844,17320,0.9152470457456862,player_between,0.0049950049950049,0.000999000999000999,-0.2539765304963786,1.9379476954589776,0.000999000999000999,-8.204629537460479,0.3486173493433102,0.000999000999000999,-0.034732472850799424,0.9818466111768032,True,1.973778463355115
pl_min_per_opp_prior,A_depth_experience,skill_vs_R2,-0.0033161782159867,-21.89489664251848,17320,0.9152470457456862,player_between,0.0009990009990009,0.000999000999000999,-0.19835059515372977,2.7783823685786597,0.000999000999000999,-18.017849978499616,0.3716502858819734,0.000999000999000999,-0.005198417123539267,0.9950967409497062,True,2.7920726239410762
pl_min_per_opp_prior,A_depth_experience,skill_vs_R3,-0.0007162096248211,-9.009058275107732,17320,0.9152470457456862,player_between,0.0269730269730269,0.000999000999000999,-0.07451122157170864,1.4172058833949945,0.9330669330669331,-9.529198840875528,0.3521193055689993,0.000999000999000999,0.01147391807036012,1.0120821743147221,True,1.4002873673321838
