game_id,season,season_type,game_date,team_id,team_abbreviation,opp_team_id,opp_team_abbreviation,is_home,wl,minutes,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,points_paint,points_fast_break,points_second_chance,points_off_turnovers,fouls_drawn,opp_fgm,opp_fga,opp_fg_pct,opp_fg3m,opp_fg3a,opp_fg3_pct,opp_ftm,opp_fta,opp_ft_pct,opp_oreb,opp_dreb,opp_reb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_plus_minus,opp_points_paint,opp_points_fast_break,opp_points_second_chance,opp_points_off_turnovers,opp_fouls_drawn,box_source,opp_box_source,in_misc,era,source,observed_time
1022100016,2021,Regular Season,2021-05-21,1611661313,NYL,1611661322,WAS,0,L,200.0,28,65,0.431,11,27,0.407,5,7,0.714,3,25,28,18,6,5,16,12,72,-29,32,2,7,11,15,35,74,0.473,16,31,0.516,15,17,0.882,11,31,42,21,4,3,12,15,101,29,32,2,12,23,12,team_gamelog,team_gamelog,1,gamelog_new,gamelog_team_2021_regular_season.parquet+misc_1022100016.parquet,2026-07-31T20:42:42+00:00
1022100016,2021,Regular Season,2021-05-21,1611661322,WAS,1611661313,NYL,1,W,200.0,35,74,0.473,16,31,0.516,15,17,0.882,11,31,42,21,4,3,12,15,101,29,32,2,12,23,12,28,65,0.431,11,27,0.407,5,7,0.714,3,25,28,18,6,5,16,12,72,-29,32,2,7,11,15,team_gamelog,team_gamelog,1,gamelog_new,gamelog_team_2021_regular_season.parquet+misc_1022100016.parquet,2026-07-31T20:42:42+00:00
1022100017,2021,Regular Season,2021-05-21,1611661317,PHO,1611661323,CON,1,L,200.0,26,68,0.382,5,20,0.25,10,14,0.714,7,17,24,14,4,6,6,12,67,-17,40,7,6,13,17,34,76,0.447,10,26,0.385,6,8,0.75,17,31,48,19,6,3,13,17,84,17,42,7,22,7,12,team_gamelog,team_gamelog,1,gamelog_new,gamelog_team_2021_regular_season.parquet+misc_1022100017.parquet,2026-07-31T20:42:42+00:00
1022100017,2021,Regular Season,2021-05-21,1611661323,CON,1611661317,PHO,0,W,200.0,34,76,0.447,10,26,0.385,6,8,0.75,17,31,48,19,6,3,13,17,84,17,42,7,22,7,12,26,68,0.382,5,20,0.25,10,14,0.714,7,17,24,14,4,6,6,12,67,-17,40,7,6,13,17,team_gamelog,team_gamelog,1,gamelog_new,gamelog_team_2021_regular_season.parquet+misc_1022100017.parquet,2026-07-31T20:42:42+00:00
1022100018,2021,Regular Season,2021-05-21,1611661319,LVA,1611661320,LAS,1,W,200.0,33,62,0.532,4,14,0.286,27,32,0.844,4,40,44,18,7,12,15,15,97,28,34,8,6,9,24,27,74,0.365,5,17,0.294,10,15,0.667,5,23,28,18,8,1,13,24,69,-28,28,6,8,14,15,team_gamelog,team_gamelog,1,gamelog_new,gamelog_team_2021_regular_season.parquet+misc_1022100018.parquet,2026-07-31T20:42:42+00:00
1022100018,2021,Regular Season,2021-05-21,1611661320,LAS,1611661319,LVA,0,L,200.0,27,74,0.365,5,17,0.294,10,15,0.667,5,23,28,18,8,1,13,24,69,-28,28,6,8,14,15,33,62,0.532,4,14,0.286,27,32,0.844,4,40,44,18,7,12,15,15,97,28,34,8,6,9,24,team_gamelog,team_gamelog,1,gamelog_new,gamelog_team_2021_regular_season.parquet+misc_1022100018.parquet,2026-07-31T20:42:42+00:00
1022100019,2021,Regular Season,2021-05-22,1611661321,DAL,1611661328,SEA,1,L,225.0,37,82,0.451,10,31,0.323,13,16,0.813,13,33,46,21,5,4,17,24,97,-3,36,10,13,11,15,35,80,0.438,7,25,0.28,23,27,0.852,11,28,39,26,9,8,11,15,100,3,44,14,14,21,24,team_gamelog,team_gamelog,1,gamelog_new,gamelog_team_2021_regular_season.parquet+misc_1022100019.parquet,2026-07-31T20:42:42+00:00
1022100019,2021,Regular Season,2021-05-22,1611661328,SEA,1611661321,DAL,0,W,225.0,35,80,0.438,7,25,0.28,23,27,0.852,11,28,39,26,9,8,11,15,100,3,44,14,14,21,24,37,82,0.451,10,31,0.323,13,16,0.813,13,33,46,21,5,4,17,24,97,-3,36,10,13,11,15,team_gamelog,team_gamelog,1,gamelog_new,gamelog_team_2021_regular_season.parquet+misc_1022100019.parquet,2026-07-31T20:42:42+00:00
1022100020,2021,Regular Season,2021-05-23,1611661313,NYL,1611661329,CHI,0,W,200.0,36,73,0.493,14,28,0.5,7,10,0.7,12,28,40,25,4,10,22,17,93,8,32,8,17,17,15,33,81,0.407,6,12,0.5,13,15,0.867,10,25,35,22,8,5,12,15,85,-8,44,13,18,21,17,team_gamelog,team_gamelog,1,gamelog_new,gamelog_team_2021_regular_season.parquet+misc_1022100020.parquet,2026-07-31T20:42:42+00:00
1022100020,2021,Regular Season,2021-05-23,1611661329,CHI,1611661313,NYL,1,L,200.0,33,81,0.407,6,12,0.5,13,15,0.867,10,25,35,22,8,5,12,15,85,-8,44,13,18,21,17,36,73,0.493,14,28,0.5,7,10,0.7,12,28,40,25,4,10,22,17,93,8,32,8,17,17,15,team_gamelog,team_gamelog,1,gamelog_new,gamelog_team_2021_regular_season.parquet+misc_1022100020.parquet,2026-07-31T20:42:42+00:00
