nb,m,n,dist,icc,sigma,arm,obs_effect_u,se_true,sd_obs,sd_centred,inflation_sd_obs_over_centred,neff_blocks,q975_over_sd,A_obs,A_ctr,A_oracle,E_inj,E_inj_gridpoint,u80,u80_status,ratio_E_over_A_obs,ratio_E_over_A_ctr,ratio_E_over_A_oracle,ratio_grid_over_interp,type_I,S1_pass,S2_pass,S3_ratio,S3_pass,power_min,power_max
4,4,16,t3,0.0,1.0,FRESH,1.0,3.117788714743136e-17,0.2209762739093634,0.2209762739093634,1.0,3.090471890294935,1.8910332903892948,0.6190838143403639,0.6190838143403639,8.734750096393649e-17,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,2.978181624311254e+16,True,0.0,0.0
4,4,16,t3,0.0,1.0,FRESH,3.0,3.1476029255453087e-17,0.12531982101748698,0.12531982101748698,1.0,2.229071049970198,1.6620443270481018,0.3510941307652763,0.3510941307652763,8.818277142163855e-17,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,9985903930476152.0,True,0.0,0.0
4,4,16,t3,0.3,1.0,FRESH,0.0,3.7749074834515e-17,0.06502906394371769,0.06502906394371769,1.0,2.4057053062089415,1.8291770149543551,0.18218445010876033,0.18218445010876033,1.0575724182025471e-16,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,2.185984322252401e+16,True,0.0,0.0
4,4,16,t3,0.3,1.0,FRESH,1.0,3.798034857626166e-17,0.1860023669511702,0.1860023669511702,1.0,1.8089920750244806,1.6917467718794148,0.5211014412148942,0.5211014412148942,1.0640517486602602e-16,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,4.4981416924134196e+299,True,0.0,0.0
4,4,16,t3,0.3,1.0,FRESH,3.0,4.2649721325622716e-17,0.30952829388978403,0.30952829388978403,1.0,1.7421797851185257,1.7121277985825685,0.8671698252372106,0.8671698252372106,1.1948681952004472e-16,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,3664947672111529.5,True,0.0,0.0
4,4,16,t3,0.7,1.0,FRESH,0.0,4.441003824774425e-17,0.5553211475626454,0.5553211475626454,1.0,1.9983868773381406,1.6288118443992197,1.555779397194294,1.555779397194294,1.2441849700430659e-16,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,2.8096302774896784e+16,True,0.0,0.0
4,4,16,t3,0.7,1.0,FRESH,1.0,4.159074795629813e-17,0.19170273766887366,0.19170273766887366,1.0,3.2739260138464936,2.017266059285625,0.5370715143120515,0.5370715143120515,1.165200156131455e-16,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,7.461075651139691e+16,True,0.0,0.0
4,4,16,t3,0.7,1.0,FRESH,3.0,4.618578931353192e-17,0.1976768060074164,0.1976768060074164,1.0,2.1299360519848998,1.6402988561442926,0.5538083745582878,0.5538083745582878,1.2939341455395134e-16,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,3631533308946454.5,True,0.0,0.0
4,4,16,brier,0.0,1.0,FRESH,0.0,1.824569091983749e-17,0.17060286388870446,0.1706028638887045,0.9999999999999999,2.314648345468664,1.799544799373528,0.47795842442763614,0.4779584244276362,5.111685399565292e-17,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,3.602879701896397e+16,True,0.0,0.0
4,4,16,brier,0.0,1.0,FRESH,1.0,1.8790673224278414e-17,0.20385890743566867,0.20385890743566867,1.0,1.8038652536683049,1.7863124863680542,0.5711280571881578,0.5711280571881578,5.264366824504005e-17,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,9.999999999999999e+299,True,0.0,0.0
4,4,16,brier,0.0,1.0,FRESH,3.0,1.880303387383609e-17,0.25251876345605423,0.25251876345605423,1.0,2.0360172432143018,1.6483605738986677,0.7074527799170297,0.7074527799170297,5.267829765543109e-17,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,1.8014398509481984e+16,True,0.0,0.0
4,4,16,brier,0.3,1.0,FRESH,0.0,3.723018449213767e-17,0.42007483027667364,0.42007483027667364,1.0,2.1990213668329144,1.7024522925480214,1.176875343380675,1.176875343380675,1.0430352642040552e-16,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,3.207079665080347e+17,True,0.0,0.0
4,4,16,brier,0.3,1.0,FRESH,1.0,3.957012568442759e-17,0.336023345425099,0.336023345425099,1.0,3.9675874054093043,1.9978975100307395,0.941397964192776,0.941397964192776,1.1085907056560708e-16,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,1.500178240050122e+17,True,0.0,0.0
4,4,16,brier,0.3,1.0,FRESH,3.0,3.7884554673966677e-17,0.13443403799855755,0.13443403799855755,1.0,1.8602191228169391,1.6108262920598615,0.3766283843461889,0.3766283843461889,1.0613680010626494e-16,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,8885468314967214.0,True,0.0,0.0
