nb,m,n,dist,icc,sigma,arm,obs_effect_u,se_true,sd_obs,sd_centred,inflation_sd_obs_over_centred,neff_blocks,q975_over_sd,A_obs,A_ctr,A_oracle,E_inj,E_inj_gridpoint,u80,u80_status,ratio_E_over_A_obs,ratio_E_over_A_ctr,ratio_E_over_A_oracle,ratio_grid_over_interp,type_I,S1_pass,S2_pass,S3_ratio,S3_pass,power_min,power_max
4,16,64,gauss,0.3,1.0,FRESH,1.0,0.293656513609437,0.21254301276342902,0.20298083893923435,1.0471087511223522,3.1494287049283125,1.949173563566797,0.5954573164128313,0.568668073659575,0.8227036836804946,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,6.5158264756266435,True,0.0,0.005
4,16,64,gauss,0.3,1.0,FRESH,3.0,0.30299182366148303,0.41537529914138316,0.08867988694983012,4.683985438280702,3.365064844116206,1.9321200896391737,1.163709207445012,0.24844424108033983,0.848857348292656,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,0.918998974660581,True,0.0,0.0125
4,16,64,gauss,0.7,1.0,FRESH,0.0,0.41986410388126416,0.5060849846797678,0.48499629953120976,1.0434821568101489,2.1134811456543257,1.6972196257682595,1.4178401018040674,1.3587583578221445,1.1762849754721916,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,3.509562710669599,True,0.0,0.0125
4,16,64,gauss,0.7,1.0,FRESH,1.0,0.42527053079673804,0.6874360726324663,0.2991331300463535,2.2980940711112194,2.4906655646604503,1.8213187008383465,1.9259105895460282,0.8380468901409134,1.1914315400221795,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,0.6320234870476408,True,0.0,0.01
4,16,64,gauss,0.7,1.0,FRESH,3.0,0.4218328802378529,0.4513723583705941,0.24944824779777786,1.80948297835514,1.532721022497042,1.6528762615127144,1.264558028625681,0.6988504693065375,1.1818006697811654,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,0.9904603023251217,True,0.0,0.0075
4,16,64,t3,0.0,1.0,FRESH,0.0,0.11730111095441098,0.14836659725344278,0.14166826835848528,1.0472817870407485,2.067547990368705,1.840786803162544,0.41566163336628653,0.39689569560910704,0.3286290329332135,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,10.119360594168485,True,0.0,0.005
4,16,64,t3,0.0,1.0,FRESH,1.0,0.1369621258879363,0.17451403514352604,0.1126059511305021,1.5497763074819817,2.21689977091117,1.6655138949966304,0.48891590314757544,0.31547514359794776,0.383711037455754,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,5.147047374190289,True,0.0,0.005
4,16,64,t3,0.0,1.0,FRESH,3.0,0.12448434707306483,0.17802977684820664,0.11728928944152543,1.517869003179215,1.189780909177349,1.417927874195232,0.49876555237128306,0.32859591396003607,0.3487534794946924,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,3.9201434741977264,True,0.0,0.0025
4,16,64,t3,0.3,1.0,FRESH,0.0,0.2974568309879192,0.27649875437709037,0.2749141405249742,1.0057640318140428,1.9392916836629763,1.562948037588071,0.7746347627815408,0.7701953323826599,0.8333505958432896,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,15.272662349638084,True,0.0,0.005
4,16,64,t3,0.3,1.0,FRESH,1.0,0.29947334720460655,0.45881012258983905,0.2983758648698832,1.537691806238814,2.69454331442161,1.838514397012129,1.2853955572958544,0.8359253473814918,0.8390000374282177,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,2.5874810620281306,True,0.0,0.0075
4,16,64,t3,0.3,1.0,FRESH,3.0,0.2765047105309314,0.43663775322915266,0.15087066137191707,2.894119700004364,3.137137651907321,1.8723881072244668,1.2232777798804957,0.4226769818396423,0.7746514494527995,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,1.0302595709475435,True,0.0,0.01
4,16,64,t3,0.7,1.0,FRESH,0.0,0.4248227144523981,0.48120067452726545,0.3854125889579866,1.248533878533274,1.8711090152299603,1.7317043329741764,1.3481245917454692,1.0797661280358608,1.190176944469122,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,1.7384474963396865,True,0.0,0.0075
4,16,64,t3,0.7,1.0,FRESH,1.0,0.4281503345915352,0.4768673921880173,0.4630998195522992,1.0297291686466816,2.3315927868495634,1.8248249301669373,1.3359845329430666,1.297413507960428,1.199499555136626,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,4.445215951642512,True,0.0,0.01
4,16,64,t3,0.7,1.0,FRESH,3.0,0.41755193613372876,1.0799819333945402,0.6691405945100012,1.613983581709596,2.965530673299656,1.8091700093548422,3.025661184869143,1.8746542524703018,1.1698072409932125,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,0.9081183030154826,True,0.0,0.01
