response,window,population,row_set,candidate,arm,projection,weighting,base,n,n_folds,sst,r2_base,r2_aug,dr2,beta,sign
M_level_min,CLEAN_2023_24,ALL_APPEARED,all appeared,A2_fga_share_prior,FROZEN,RAW,none,"B_TUNED (h,k) walk-forward",9056,2,1065787.3907900227,0.6439588769893809,0.6445325985451347,0.0005737215557537438,4.09860408942855,+
M_level_min,CLEAN_2023_24,ALL_APPEARED,all appeared,A2_fga_share_prior,FROZEN,PROJ_BUDGET,none,"B_TUNED (h,k) walk-forward",9056,2,1065787.3907900227,0.6638512158653733,0.6640514267584064,0.00020021089303319157,4.09860408942855,+
M_level_min,CLEAN_2023_24,ALL_APPEARED,all appeared,A2_fga_share_prior,FROZEN,PROJ_ORACLE,none,"B_TUNED (h,k) walk-forward",9056,2,1065787.3907900227,0.6682232592551522,0.6682786252476915,5.53659925392798e-05,4.09860408942855,+
M_level_min,CLEAN_2023_24,ALL_APPEARED,all appeared,A2_fga_share_prior,UNFROZEN,RAW,none,"B_TUNED (h,k) walk-forward",9056,2,1065787.3907900227,0.6439588769893809,0.646390755432561,0.002431878443180095,15.322231000992506,+
M_level_min,CLEAN_2023_24,ALL_APPEARED,all appeared,A2_fga_share_prior,UNFROZEN,PROJ_BUDGET,none,"B_TUNED (h,k) walk-forward",9056,2,1065787.3907900227,0.6638512158653733,0.6664106052471646,0.0025593893817912605,15.322231000992506,+
M_level_min,CLEAN_2023_24,ALL_APPEARED,all appeared,A2_fga_share_prior,UNFROZEN,PROJ_ORACLE,none,"B_TUNED (h,k) walk-forward",9056,2,1065787.3907900227,0.6682232592551522,0.6707839774012954,0.002560718146142974,15.322231000992506,+
M_level_min,CLEAN_2023_24,ALL_APPEARED,all appeared,A3_starter_rate_prior,FROZEN,RAW,none,"B_TUNED (h,k) walk-forward",9056,2,1065787.3907900227,0.6439588769893809,0.6439614599426939,2.5829533129868642e-06,0.5288092920295397,+
M_level_min,CLEAN_2023_24,ALL_APPEARED,all appeared,A3_starter_rate_prior,FROZEN,PROJ_BUDGET,none,"B_TUNED (h,k) walk-forward",9056,2,1065787.3907900227,0.6638512158653733,0.6635157997667427,-0.00033541609863058975,0.5288092920295397,-
M_level_min,CLEAN_2023_24,ALL_APPEARED,all appeared,A3_starter_rate_prior,FROZEN,PROJ_ORACLE,none,"B_TUNED (h,k) walk-forward",9056,2,1065787.3907900227,0.6682232592551522,0.667760978643515,-0.00046228061163729086,0.5288092920295397,-
M_level_min,CLEAN_2023_24,ALL_APPEARED,all appeared,A3_starter_rate_prior,UNFROZEN,RAW,none,"B_TUNED (h,k) walk-forward",9056,2,1065787.3907900227,0.6439588769893809,0.6440330483785183,7.417138913736005e-05,1.6417827710208832,+
M_level_min,CLEAN_2023_24,ALL_APPEARED,all appeared,A3_starter_rate_prior,UNFROZEN,PROJ_BUDGET,none,"B_TUNED (h,k) walk-forward",9056,2,1065787.3907900227,0.6638512158653733,0.66399361160424,0.00014239573886665893,1.6417827710208832,+
M_level_min,CLEAN_2023_24,ALL_APPEARED,all appeared,A3_starter_rate_prior,UNFROZEN,PROJ_ORACLE,none,"B_TUNED (h,k) walk-forward",9056,2,1065787.3907900227,0.6682232592551522,0.6683636538261655,0.00014039457101320036,1.6417827710208832,+
M_level_min,CLEAN_2023_24,ALL_APPEARED,all appeared,A4_vac_x_own,FROZEN,RAW,none,"B_TUNED (h,k) walk-forward",9056,2,1065787.3907900227,0.6439588769893809,0.6466103732706121,0.0026514962812311796,46.84907429559044,+
M_level_min,CLEAN_2023_24,ALL_APPEARED,all appeared,A4_vac_x_own,FROZEN,PROJ_BUDGET,none,"B_TUNED (h,k) walk-forward",9056,2,1065787.3907900227,0.6638512158653733,0.6621448855545319,-0.0017063303108413679,46.84907429559044,-
M_level_min,CLEAN_2023_24,ALL_APPEARED,all appeared,A4_vac_x_own,FROZEN,PROJ_ORACLE,none,"B_TUNED (h,k) walk-forward",9056,2,1065787.3907900227,0.6682232592551522,0.6663357443956389,-0.0018875148595133846,46.84907429559044,-
M_level_min,CLEAN_2023_24,ALL_APPEARED,all appeared,A4_vac_x_own,UNFROZEN,RAW,none,"B_TUNED (h,k) walk-forward",9056,2,1065787.3907900227,0.6439588769893809,0.6469560003233608,0.0029971233339798975,54.48856504098046,+
M_level_min,CLEAN_2023_24,ALL_APPEARED,all appeared,A4_vac_x_own,UNFROZEN,PROJ_BUDGET,none,"B_TUNED (h,k) walk-forward",9056,2,1065787.3907900227,0.6638512158653733,0.6629782079625107,-0.000873007902862549,54.48856504098046,-
M_level_min,CLEAN_2023_24,ALL_APPEARED,all appeared,A4_vac_x_own,UNFROZEN,PROJ_ORACLE,none,"B_TUNED (h,k) walk-forward",9056,2,1065787.3907900227,0.6682232592551522,0.6673553663600194,-0.0008678928951329353,54.48856504098046,-
M_level_min,CLEAN_2023_24,ALL_APPEARED,all appeared,A5_opp_defrtg,FROZEN,RAW,none,"B_TUNED (h,k) walk-forward",9056,2,1065787.3907900227,0.6439588769893809,0.6439340663497497,-2.48106396311491e-05,-0.0050765734220908345,-
