outcome,candidate,component,entity_level,n,scheme,n_groups,var_share_between,dr2,dr2_sign,null_mean,null_sd,p_correct_level,p_row_level_NAIVE,null_sd_row_NAIVE,inflation_correct_over_row,corr_with_ref_residual,corr_with_abs_resid,spread_y_top_minus_bottom_decile,spread_refresidual_top_minus_bottom_decile,mae_reference,mae_with_candidate,skill_vs_reference,paired_dr2_cand_minus_ref,paired_p_cluster,paired_p_row_NAIVE,dr2_over_refA,cell_key,t_correct_level,p_familywise_maxt
ts,A11_opp_fastbreak_allowed,within,opp_team_season,14079,within,48,4.982331396712705e-31,0.0002121289961991957,-1.0,8.015210411318735e-05,0.0001100076371553465,0.10316139767054909,0.10981697171381032,0.00011264463386218636,0.9765901258104664,0.011278298140205449,0.010207581910994993,0.01911951666115974,0.018886036015010238,0.20586982115596403,0.20167216793502596,0.020389842461455254,0.0522483664369225,0.0004997501249375312,0.0004997501249375312,0.00013884439071067017,ts|A11_opp_fastbreak_allowed|within,1.1997066340006752,1.0
ts,A12_opp_2ndchance_allowed,between,opp_team_season,14079,between,48,1.0,3.302991970538361e-05,1.0,0.00011568656807161353,0.00016215882959955548,0.5840266222961731,0.47254575707154745,9.482218275992579e-05,1.7101360133220624,-0.001467403300652615,0.00825493263417858,0.00232786701413934,0.0015762649875456242,0.20586982115596403,0.20168251080293761,0.020339602616423202,0.05212479825556973,0.0004997501249375312,0.0004997501249375312,6.370302670311936e-07,ts|A12_opp_2ndchance_allowed|between,-0.5097264735466277,1.0
ts,A12_opp_2ndchance_allowed,within,opp_team_season,14079,within,48,4.185672933080848e-31,0.00012011630649097506,-1.0,6.954631110178317e-05,9.481188419670175e-05,0.20133111480865223,0.18302828618968386,9.668429814573572e-05,0.9806337328300029,-0.001467403300652615,0.00825493263417858,0.00232786701413934,0.0015762649875456242,0.20586982115596403,0.20168251080293761,0.020339602616423202,0.05212479825556973,0.0004997501249375312,0.0004997501249375312,6.370302670311936e-07,ts|A12_opp_2ndchance_allowed|within,0.5333719060395077,1.0
ts,B01_pl_ftrate,between,player_season,14073,between,596,1.0000000000000009,0.0010433619973057118,1.0,0.0001043508430164503,0.0001403000052746675,0.0016638935108153079,0.0016638935108153079,8.960522994251225e-05,1.5657568800914783,0.012597603061549448,-0.04130199371806367,0.06377153161026339,0.03152883926021978,0.20579720106275973,0.2015768860592189,0.02050715452759644,0.05217641420408308,0.0004997501249375312,0.0004997501249375312,0.000262297954138149,ts|B01_pl_ftrate|between,6.692880391921189,0.19800332778702162
ts,B01_pl_ftrate,within,player_season,14073,within,596,4.495717828365053e-32,0.0006424495755412647,-1.0,0.00010617384783306233,0.00014572164173085042,0.013311148086522463,0.0066555740432612314,0.00010650959858521016,1.3681550176369288,0.012597603061549448,-0.04130199371806367,0.06377153161026339,0.03152883926021978,0.20579720106275973,0.2015768860592189,0.02050715452759644,0.05217641420408308,0.0004997501249375312,0.0004997501249375312,0.000262297954138149,ts|B01_pl_ftrate|within,3.6801378390912585,0.908485856905158
ts,B02_pl_ftpct,between,player_season,13670,between,572,1.0000000000000002,0.0009218488587884034,1.0,8.721711500510367e-05,0.00012428309393549883,0.0016638935108153079,0.0016638935108153079,9.438555530248229e-05,1.3167596835893198,0.010425928606253704,-0.06840604828221364,-0.005701040218453413,-0.013036643017303621,0.20177616721699201,0.19803278970857366,0.0185521291243117,0.040361532026905705,0.0004997501249375312,0.0004997501249375312,0.00021066800171232186,ts|B02_pl_ftpct|between,6.71556940975787,0.194675540765391
ts,B02_pl_ftpct,within,player_season,13670,within,572,3.8480224374296456e-31,0.0009189541094958546,-1.0,9.61213990602734e-05,0.0001338789088651495,0.004991680532445923,0.0016638935108153079,0.00010771438221060928,1.242906528520786,0.010425928606253704,-0.06840604828221364,-0.005701040218453413,-0.013036643017303621,0.20177616721699201,0.19803278970857366,0.0185521291243117,0.040361532026905705,0.0004997501249375312,0.0004997501249375312,0.00021066800171232186,ts|B02_pl_ftpct|within,6.146096628740718,0.30615640599001664
ts,B03_pl_fouls_drawn_per36,between,player_season,14079,between,596,1.0000000000000002,0.0036164246468368038,1.0,9.99369324617608e-05,0.0001412088590621431,0.0016638935108153079,0.0016638935108153079,0.00010245779101862186,1.3782149474262837,0.048266810305052726,-0.22194206773106825,0.07927181771671366,0.051600362944173195,0.20586982115596403,0.20125564821426656,0.022413061398648848,0.05459377637330622,0.0004997501249375312,0.0004997501249375312,0.0025641583317081414,ts|B03_pl_fouls_drawn_per36|between,24.902741497454556,0.0016638935108153079
ts,B03_pl_fouls_drawn_per36,within,player_season,14079,within,596,2.3455628869151325e-31,0.0005439036600045258,-1.0,7.224846502436394e-05,9.981351806321188e-05,0.008319467554076539,0.008319467554076539,0.00010236978399166958,0.9750290971731881,0.048266810305052726,-0.22194206773106825,0.07927181771671366,0.051600362944173195,0.20586982115596403,0.20125564821426656,0.022413061398648848,0.05459377637330622,0.0004997501249375312,0.0004997501249375312,0.0025641583317081414,ts|B03_pl_fouls_drawn_per36|within,4.725363899922481,0.6555740432612313
ts,B04_matchup_ftrate,between,opp_team_season,14073,between,48,1.0000000000000002,0.0016201348841857468,1.0,0.00012535149248258233,0.00017204740110466528,0.0016638935108153079,0.0016638935108153079,0.00010325228096991496,1.666281843737626,0.01809771517657571,-0.03706340915609306,0.06394207138902164,0.03263075162439769,0.20579720106275973,0.20153396023343878,0.020715737664580014,0.0523507938316366,0.0004997501249375312,0.0004997501249375312,0.0004569124627345781,ts|B04_matchup_ftrate|between,8.688206750614098,0.03826955074875208
