game_id,season,season_type,game_date,team_abbreviation,opp_team_abbreviation,pts,opp_pts,margin_true,bookie_margin,n_books,era_file,bookie_margin_t65,bookie_err,bookie_err_t65,both_playoff_teams,err_str,str_margin_cal
1022200097,2022,Regular Season,2022-06-21,ATL,DAL,80,75,5.0,-3.769230769230769,13,master_odds.csv,-3.769230769230769,-8.76923076923077,-8.76923076923077,False,,
1022200098,2022,Regular Season,2022-06-21,LVA,CHI,95,104,-9.0,8.125,8,master_odds.csv,8.125,17.125,17.125,True,,
1022200099,2022,Regular Season,2022-06-21,PHO,MIN,71,84,-13.0,5.576923076923077,13,master_odds.csv,5.576923076923077,18.576923076923077,18.576923076923077,False,,
1022200100,2022,Regular Season,2022-06-21,LAS,WAS,84,82,2.0,-2.4285714285714284,7,master_odds.csv,-2.4285714285714284,-4.428571428571429,-4.428571428571429,False,,
1022200101,2022,Regular Season,2022-06-22,CON,NYL,77,81,-4.0,10.375,8,master_odds.csv,10.375,14.375,14.375,True,,
1022200102,2022,Regular Season,2022-06-23,DAL,IND,94,68,26.0,8.923076923076923,13,master_odds.csv,8.923076923076923,-17.076923076923077,-17.076923076923077,False,,
1022200103,2022,Regular Season,2022-06-23,MIN,PHO,100,88,12.0,2.4615384615384617,13,master_odds.csv,2.4615384615384617,-9.538461538461538,-9.538461538461538,False,,
1022200104,2022,Regular Season,2022-06-23,SEA,WAS,85,71,14.0,4.375,8,master_odds.csv,4.375,-9.625,-9.625,True,,
1022200105,2022,Regular Season,2022-06-23,LAS,CHI,59,82,-23.0,-4.428571428571429,7,master_odds.csv,-4.428571428571429,18.57142857142857,18.57142857142857,False,,
1022200106,2022,Regular Season,2022-06-24,ATL,NYL,77,89,-12.0,1.125,8,master_odds.csv,1.125,13.125,13.125,False,,
1022200107,2022,Regular Season,2022-06-25,DAL,PHO,72,83,-11.0,6.884615384615385,13,master_odds.csv,6.884615384615385,17.884615384615387,17.884615384615387,True,,
1022200108,2022,Regular Season,2022-06-25,SEA,LAS,77,85,-8.0,7.5,14,master_odds.csv,7.5,15.5,15.5,False,,
