game_id,team_id,season,season_type,game_date,team_abbreviation,n_played,team_total_min,ot_game,top5_share,top7_share,starter_min_avg_raw,starter_min_avg_n40,starter_share,bench_share,max_min_n40,n_35plus_n40,n_30plus_n40,dressed_n,n_dnp,n_dnp_cd
1022100040,1611661321,2021,Regular Season,2021-06-01,DAL,11,199.99999999999997,0,0.6959166666666666,0.8588333333333332,26.49333333333333,26.493333333333336,0.6623333333333333,0.33766666666666667,32.550000000000004,0,2,12,1,1
1022100041,1611661325,2021,Regular Season,2021-06-01,IND,10,200.01666666666668,0,0.6249479210065827,0.8240146654445463,25.0,24.997916840263308,0.6249479210065827,0.3750520789934173,26.731105741188234,0,0,12,2,0
1022100041,1611661328,2021,Regular Season,2021-06-01,SEA,11,199.99999999999997,0,0.6680833333333335,0.8251666666666668,26.723333333333336,26.723333333333343,0.6680833333333335,0.3319166666666665,33.800000000000004,0,1,11,0,0
1022100042,1611661313,2021,Regular Season,2021-06-03,NYL,10,200.00000000000003,0,0.77225,0.9286666666666666,24.506666666666668,24.506666666666664,0.6126666666666666,0.3873333333333334,36.46666666666666,1,3,12,2,0
1022100042,1611661319,2021,Regular Season,2021-06-03,LVA,9,200.0,0,0.7823333333333333,0.9704166666666666,31.293333333333333,31.293333333333333,0.7823333333333333,0.21766666666666667,40.0,2,3,11,2,1
1022100043,1611661317,2021,Regular Season,2021-06-03,PHO,8,225.0,1,0.8372592592592593,0.9529629629629629,37.67666666666666,33.490370370370364,0.8372592592592593,0.16274074074074074,36.281481481481485,1,4,12,4,2
1022100043,1611661329,2021,Regular Season,2021-06-03,CHI,9,225.0,1,0.7211111111111111,0.8925925925925926,28.619999999999997,25.439999999999998,0.636,0.364,35.03703703703703,1,3,10,1,0
1022100044,1611661320,2021,Regular Season,2021-06-03,LAS,8,200.0,0,0.6940833333333333,0.9141666666666666,24.780000000000005,24.780000000000005,0.6195,0.38049999999999995,30.6,0,1,8,0,0
1022100044,1611661325,2021,Regular Season,2021-06-03,IND,10,200.0,0,0.7155,0.9060833333333332,27.170000000000005,27.170000000000005,0.6792500000000001,0.32074999999999987,36.13333333333333,1,2,10,0,0
1022100045,1611661324,2021,Regular Season,2021-06-04,MIN,10,200.0,0,0.7521666666666667,0.9123333333333333,26.833333333333336,26.833333333333336,0.6708333333333334,0.3291666666666666,38.46666666666667,1,3,12,2,0
1022100045,1611661330,2021,Regular Season,2021-06-04,ATL,9,200.0,0,0.6925,0.8779166666666667,25.613333333333333,25.613333333333333,0.6403333333333333,0.3596666666666667,35.583333333333336,1,2,11,2,1
