player_id,player_name,off_poss,def_poss,total_poss,minutes_2021_24,orapm_100,drapm_100,net_100,lambda_chosen,net_100_lam500,net_100_lam1000,net_100_lam2000,net_100_lam5000
1628909,Kelsey Mitchell,9488,9496,18984,4774.0,0.568,-0.861,-0.293,11000,2.127,1.27,0.525,-0.101
1629491,Jessica Shepard,3422,3420,6842,1736.0,-0.127,-0.175,-0.302,11000,-2.634,-1.897,-1.24,-0.614
1630462,Aari McDonald,5086,5078,10164,2538.2,0.088,-0.4,-0.312,11000,1.666,0.815,0.198,-0.24
1630442,Natasha Mack,1313,1322,2635,663.3,-0.21,-0.117,-0.327,11000,-0.363,-0.721,-0.722,-0.507
203828,Stefanie Dolson,5706,5674,11380,2874.9,-0.352,0.021,-0.331,11000,-0.212,-0.263,-0.351,-0.396
1642293,Alissa Pili,267,270,537,139.7,-0.221,-0.114,-0.335,11000,-4.65,-2.935,-1.704,-0.742
1628278,Shatori Walker-Kimbrough,5934,5944,11878,2994.2,-0.271,-0.073,-0.344,11000,0.071,-0.276,-0.414,-0.424
203824,Odyssey Sims,4376,4379,8755,2192.4,0.14,-0.495,-0.355,11000,1.858,0.935,0.212,-0.286
1642324,Kate Martin,805,799,1604,394.6,-0.104,-0.26,-0.364,11000,-5.745,-3.924,-2.334,-0.95
203838,Astou Ndour-Fall,1004,1005,2009,507.0,-0.319,-0.079,-0.398,11000,-7.664,-4.26,-2.23,-0.897
1628929,Kristy Wallace,3540,3547,7087,1778.8,-0.05,-0.353,-0.403,11000,-1.274,-1.204,-0.995,-0.65
1642244,Sevgi Uzun,1638,1643,3281,820.2,0.031,-0.438,-0.407,11000,0.07,-0.313,-0.489,-0.509
1642287,Cameron Brink,653,652,1305,329.5,-0.353,-0.062,-0.415,11000,-1.198,-1.111,-0.942,-0.652
1641602,Ivana Dojkić,1473,1465,2938,726.4,-0.162,-0.271,-0.433,11000,-4.531,-3.383,-2.189,-0.998
1629574,Li Yueru,1264,1252,2516,628.6,-0.281,-0.154,-0.435,11000,-1.353,-1.045,-0.81,-0.602
1630101,Crystal Dangerfield,5683,5667,11350,2854.6,-0.489,0.051,-0.438,11000,-1.71,-1.43,-1.052,-0.663
1641652,Maddy Siegrist,1952,1965,3917,981.6,-0.044,-0.415,-0.459,11000,0.467,-0.145,-0.49,-0.575
1641650,Haley Jones,2664,2655,5319,1316.6,-0.8,0.337,-0.463,11000,-0.565,-0.869,-0.886,-0.683
1641700,Liz Dixon,462,450,912,238.0,-0.344,-0.137,-0.481,11000,-4.997,-3.375,-2.059,-0.966
1642210,Julie Vanloo,1852,1833,3685,926.5,-0.106,-0.378,-0.484,11000,0.116,-0.52,-0.741,-0.668
1627672,Aerial Powers,3595,3599,7194,1796.6,-0.312,-0.18,-0.492,11000,-2.483,-2.195,-1.636,-0.911
1627671,Rachel Banham,4093,4080,8173,2055.2,-0.225,-0.323,-0.548,11000,-1.424,-1.636,-1.488,-0.976
1641660,Zia Cooke,1603,1630,3233,806.3,-0.433,-0.117,-0.55,11000,-5.166,-3.499,-2.137,-1.037
1642289,Kamilla Cardoso,1701,1699,3400,875.8,-0.104,-0.448,-0.552,11000,-2.925,-2.143,-1.453,-0.868
1627674,Kahleah Copper,9859,9860,19719,4959.4,0.397,-0.95,-0.553,11000,-0.163,-0.609,-0.8,-0.731
1642240,Jaelyn Brown,287,281,568,141.1,-0.205,-0.352,-0.557,11000,-7.243,-4.418,-2.509,-1.127
1629571,Morgan Bertsch,1001,996,1997,502.8,-0.494,-0.063,-0.557,11000,-5.63,-3.864,-2.392,-1.13
1630459,DiDi Richards,1436,1450,2886,727.8,-0.44,-0.171,-0.611,11000,-6.286,-4.133,-2.508,-1.201
1630134,Sug Sutton,2775,2785,5560,1430.2,-0.071,-0.543,-0.614,11000,-2.54,-2.179,-1.681,-1.036
1642290,Aaliyah Edwards,1461,1477,2938,741.2,-0.468,-0.178,-0.646,11000,-3.865,-2.775,-1.905,-1.096
1629478,Katie Lou Samuelson,4441,4415,8856,2205.4,-0.212,-0.486,-0.698,11000,-5.186,-3.752,-2.438,-1.259
1629481,Arike Ogunbowale,10253,10220,20473,5129.6,0.702,-1.402,-0.7,11000,2.087,0.835,-0.085,-0.665
1628269,Nia Coffey,4728,4752,9480,2376.9,-0.851,0.108,-0.743,11000,-3.22,-2.635,-2.011,-1.244
1630114,Mikiah Herbert Harrigan,656,670,1326,340.1,-0.468,-0.275,-0.743,11000,-8.232,-5.56,-3.36,-1.538
1630471,Maya Caldwell,1848,1838,3686,941.0,-0.672,-0.075,-0.747,11000,-3.9,-3.272,-2.407,-1.355
1630115,Joyner Holmes,1697,1720,3417,850.8,-0.49,-0.267,-0.757,11000,-7.633,-5.343,-3.354,-1.577
1628922,Azura Stevens,6208,6229,12437,3161.6,-0.478,-0.288,-0.766,11000,-2.159,-1.959,-1.646,-1.16
1641661,Lou Lopez Senechal,252,244,496,125.4,-0.312,-0.463,-0.775,11000,-10.058,-6.195,-3.553,-1.596
1641649,Diamond Miller,2220,2218,4438,1119.8,-0.776,-0.017,-0.793,11000,-7.105,-5.301,-3.472,-1.67
1628881,Monique Billings,5412,5438,10850,2710.8,-0.406,-0.395,-0.801,11000,-1.444,-1.57,-1.51,-1.174
