catalog_number,name,channel,observed_improvement,null_q05,null_q50,null_q95,null_q99,null_max,null_sd
66,late_clock_share,ft,0.001041,-0.001511,-4.2e-05,0.000865,0.001615,0.003885,0.00076
66,late_clock_share,np2,-0.000803,-0.002005,-3.4e-05,0.001275,0.002145,0.005123,0.001042
67,3ppct_by_rest,fg3,0.00261,-0.002707,-3.4e-05,0.001832,0.00307,0.005732,0.001356
68,court_side_asymmetry,fg3,-0.000516,-0.003221,-4.1e-05,0.00197,0.003685,0.00808,0.001672
68,court_side_asymmetry,paint,-9.5e-05,-0.002587,-6.4e-05,0.001269,0.002343,0.004536,0.00119
68,court_side_asymmetry,ft,0.000613,-0.001658,-4.7e-05,0.000966,0.001731,0.005498,0.000834
68,court_side_asymmetry,np2,0.000975,-0.002198,-3.5e-05,0.001455,0.002737,0.004952,0.001112
69,midrange_reliance,np2,0.006915,-0.005001,6.6e-05,0.004253,0.006001,0.010661,0.002724
70,zone_conversion_vs_league,fg3,0.006423,-0.003659,-9.3e-05,0.002144,0.003958,0.007245,0.001885
70,zone_conversion_vs_league,paint,0.004838,-0.002991,-0.000105,0.00142,0.002554,0.004238,0.001392
70,zone_conversion_vs_league,np2,-0.000208,-0.002161,-5.4e-05,0.001354,0.002777,0.00558,0.00116
71,clutch_ft_split,ft,0.000253,-0.002226,-6e-05,0.001181,0.002222,0.004686,0.001068
73,ftr_x_crew_fta,ft,-0.000261,-0.000822,-1.7e-05,0.000524,0.001097,0.001903,0.000417
74,star_whistle_proxy,ft,0.001176,-0.000831,-1.9e-05,0.000572,0.001077,0.001908,0.00046
75,foulprone_x_crewpf,fg3,0.000945,-0.002443,-1.7e-05,0.00195,0.003488,0.006425,0.001355
75,foulprone_x_crewpf,paint,-0.000858,-0.00143,-2.7e-05,0.001228,0.002233,0.004171,0.000841
75,foulprone_x_crewpf,ft,-5.5e-05,-0.001139,-5e-06,0.000964,0.001596,0.002663,0.000621
75,foulprone_x_crewpf,np2,-0.000179,-0.001491,-2e-06,0.0013,0.002016,0.003025,0.00083
76,crewpace_x_transition,fg3,-0.00033,-0.00131,-2.2e-05,0.000885,0.00157,0.00377,0.000698
76,crewpace_x_transition,paint,-1.3e-05,-0.001114,-2.2e-05,0.000837,0.001612,0.003838,0.000626
76,crewpace_x_transition,ft,6.6e-05,-0.000638,-9e-06,0.000454,0.000861,0.00148,0.000357
76,crewpace_x_transition,np2,-9e-06,-0.000566,-5e-06,0.000478,0.000897,0.0018,0.000325
77,tech_x_techcrew,fg3,5e-06,-0.001856,-3.6e-05,0.001041,0.002079,0.003566,0.00092
77,tech_x_techcrew,paint,-0.000101,-0.001951,-4.8e-05,0.001013,0.00173,0.004517,0.000939
77,tech_x_techcrew,ft,-0.000918,-0.001077,-2.3e-05,0.000657,0.001153,0.002295,0.000529
77,tech_x_techcrew,np2,-0.001127,-0.000878,-9e-06,0.00072,0.001263,0.002268,0.000496
78,personal_ref_history,fg3,-0.000572,-0.002489,-6.3e-05,0.001306,0.002424,0.006572,0.001195
78,personal_ref_history,paint,-0.000466,-0.002477,-8e-05,0.001241,0.002592,0.004581,0.00123
78,personal_ref_history,ft,0.000176,-0.001314,-3.8e-05,0.000811,0.0016,0.003447,0.000661
78,personal_ref_history,np2,9e-06,-0.001108,-7e-06,0.000838,0.001476,0.003139,0.000583
79,rolling_7day_minutes,fg3,0.000648,-0.004631,6e-05,0.003874,0.006455,0.009083,0.002485
79,rolling_7day_minutes,paint,-0.000745,-0.003624,-4.1e-05,0.002068,0.00362,0.006652,0.001741
79,rolling_7day_minutes,ft,0.000285,-0.002492,-1.3e-05,0.001827,0.002902,0.00495,0.001336
79,rolling_7day_minutes,np2,0.001487,-0.003347,1.9e-05,0.003109,0.004785,0.008301,0.001981
81,3in5_x_benchdepth,fg3,-0.002394,-0.003439,-9.3e-05,0.002127,0.003964,0.009038,0.001787
81,3in5_x_benchdepth,paint,-0.000359,-0.003885,-0.000166,0.001613,0.003047,0.004616,0.001846
81,3in5_x_benchdepth,ft,0.000129,-0.002015,-6.5e-05,0.000958,0.001749,0.003487,0.000904
81,3in5_x_benchdepth,np2,-0.000996,-0.001848,-3.2e-05,0.001384,0.002619,0.004273,0.001009
82,season_phase_linear,fg3,-0.004866,-0.002733,5e-05,0.002855,0.004812,0.008069,0.001733
82,season_phase_linear,paint,0.000529,-0.003498,-0.000164,0.001447,0.002922,0.006398,0.001566
82,season_phase_linear,ft,-0.000312,-0.002059,-3.9e-05,0.001341,0.002259,0.005414,0.001072
82,season_phase_linear,np2,0.001031,-0.002063,8.7e-05,0.002294,0.003638,0.006074,0.001334
83,post_break_flag,fg3,-0.003858,-0.005714,0.000353,0.004481,0.006347,0.010357,0.003232
83,post_break_flag,paint,0.000853,-0.004941,-0.000206,0.00206,0.003931,0.00695,0.002171
83,post_break_flag,ft,0.001881,-0.003266,8.5e-05,0.002545,0.003989,0.008122,0.001811
83,post_break_flag,np2,0.003327,-0.003682,0.000306,0.004175,0.005897,0.009122,0.002346
84,rest_differential,fg3,-0.001035,-0.001998,-4.6e-05,0.001183,0.002087,0.003975,0.000956
84,rest_differential,paint,-4.6e-05,-0.002447,-8e-05,0.001158,0.00218,0.004674,0.001132
84,rest_differential,ft,-1.5e-05,-0.001199,-2.4e-05,0.000657,0.001265,0.002649,0.0006
84,rest_differential,np2,-1.8e-05,-0.000868,-1.6e-05,0.000678,0.001316,0.002663,0.000504
85,games_in_14_days,fg3,-0.004713,-0.00533,-0.000111,0.002703,0.00406,0.008934,0.002523
85,games_in_14_days,paint,-4.4e-05,-0.004768,-0.000158,0.001831,0.003296,0.009667,0.002146
85,games_in_14_days,ft,-0.001813,-0.002616,-0.000104,0.001357,0.002829,0.006509,0.0013
85,games_in_14_days,np2,0.001215,-0.003007,-7e-05,0.002098,0.003588,0.006396,0.001547
87,prev_season_anchor,fg3,6e-06,-0.003787,-9.3e-05,0.002455,0.004319,0.008081,0.00195
87,prev_season_anchor,paint,-9e-06,-0.003453,-0.000109,0.001743,0.003201,0.005888,0.001747
87,prev_season_anchor,ft,-0.000333,-0.002036,-5.1e-05,0.001293,0.002317,0.005443,0.001014
87,prev_season_anchor,np2,5e-06,-0.004854,1.6e-05,0.003908,0.005971,0.012943,0.002684
88,career_trajectory_slope,fg3,0.000426,-0.006358,-0.000126,0.003135,0.005774,0.011588,0.00287
88,career_trajectory_slope,paint,0.002152,-0.004081,-0.000142,0.001951,0.003618,0.005846,0.001999
88,career_trajectory_slope,ft,-0.000288,-0.003324,-0.000148,0.001106,0.002094,0.004619,0.001505
88,career_trajectory_slope,np2,-0.000393,-0.005138,-5.7e-05,0.003961,0.006248,0.010033,0.002731
89,team_change_reset,fg3,-4.5e-05,-0.004231,-0.000101,0.002079,0.003931,0.006756,0.00194
89,team_change_reset,paint,0.001179,-0.003418,-0.000139,0.001643,0.003193,0.006801,0.00156
89,team_change_reset,ft,0.001021,-0.001955,-4.9e-05,0.001162,0.002031,0.004044,0.000993
89,team_change_reset,np2,-0.000422,-0.002277,-1e-05,0.001597,0.002817,0.004839,0.001176
92,two_season_blend,fg3,0.016668,-0.003676,-9.2e-05,0.002264,0.004728,0.009308,0.001868
92,two_season_blend,paint,0.004158,-0.003241,-0.000102,0.001552,0.003345,0.006688,0.001589
92,two_season_blend,ft,-1e-06,-0.00199,-6.4e-05,0.001145,0.002152,0.005496,0.000983
92,two_season_blend,np2,0.000451,-0.003976,-4e-06,0.003197,0.005362,0.011824,0.00219
93,possession_denominated_rates,fg3,0.003801,-0.003224,-8.2e-05,0.002061,0.00407,0.006921,0.001698
93,possession_denominated_rates,paint,0.001256,-0.002882,-7.5e-05,0.001412,0.002886,0.005958,0.001366
93,possession_denominated_rates,ft,0.00048,-0.001848,-4.3e-05,0.00106,0.00196,0.003741,0.000956
93,possession_denominated_rates,np2,8.5e-05,-0.002536,-1.1e-05,0.002039,0.003354,0.00528,0.001396
94,blowout_x_min_elasticity,fg3,-0.000456,-0.002015,-5.6e-05,0.001203,0.002341,0.004636,0.001039
94,blowout_x_min_elasticity,paint,-0.000142,-0.002133,-6.3e-05,0.001167,0.002085,0.006442,0.001075
94,blowout_x_min_elasticity,ft,0.000621,-0.00123,-3.3e-05,0.000712,0.001224,0.002608,0.000598
94,blowout_x_min_elasticity,np2,-0.00013,-0.00106,-1.7e-05,0.000716,0.001317,0.002526,0.000567
95,team_3pvolume_spillover,fg3,0.00522,-0.003114,-6.3e-05,0.001932,0.003753,0.006397,0.001565
96,opp_def_profile_drift,fg3,-8.4e-05,-0.002636,-3.5e-05,0.001814,0.003286,0.00555,0.001352
96,opp_def_profile_drift,paint,-0.000419,-0.003201,-6.2e-05,0.001765,0.003129,0.006416,0.00157
96,opp_def_profile_drift,ft,0.000456,-0.001083,-2.3e-05,0.000743,0.001467,0.002612,0.000586
96,opp_def_profile_drift,np2,-0.001354,-0.00323,4.5e-05,0.00277,0.004259,0.006404,0.001823
97,desperation_context,fg3,-0.000838,-0.003966,-3e-05,0.002994,0.005185,0.009485,0.002179
97,desperation_context,paint,-1.8e-05,-0.003848,-0.000111,0.001883,0.00337,0.008378,0.001828
97,desperation_context,ft,-0.001454,-0.002568,-6.2e-05,0.001513,0.002846,0.007442,0.001283
97,desperation_context,np2,-0.000247,-0.002881,5.6e-05,0.002667,0.004286,0.006307,0.001661
98,season_series_meeting_no,fg3,-0.000779,-0.003431,5.6e-05,0.002792,0.004649,0.006879,0.001927
98,season_series_meeting_no,paint,0.000522,-0.003117,-0.000125,0.001472,0.002653,0.005397,0.001462
98,season_series_meeting_no,ft,-0.000542,-0.002127,-3.1e-05,0.001514,0.002356,0.004065,0.001113
98,season_series_meeting_no,np2,0.002357,-0.002307,4e-05,0.002256,0.00334,0.00521,0.001392
100,h2h_micro_update,fg3,0.000218,-0.002303,-3.9e-05,0.001318,0.002533,0.004713,0.001125
100,h2h_micro_update,paint,0.000534,-0.002506,-8.5e-05,0.001189,0.002281,0.004472,0.001203
100,h2h_micro_update,ft,-0.000788,-0.001135,-2.7e-05,0.000612,0.001168,0.002277,0.000556
100,h2h_micro_update,np2,0.000968,-0.000801,-8e-06,0.000624,0.001204,0.002365,0.000457
