OFFICIAL_ID,FIRST_NAME,LAST_NAME,JERSEY_NUM,GAME_ID,SOURCE
203440,Tiara,Cruse,5,1022100109,v2
1627545,Karleena,Tobin,12,1022100109,v2
202047,Kevin,Sparrock,50,1022100110,v2
101286,Kurt,Walker,18,1022100110,v2
1628702,Randy,Richardson,11,1022100110,v2
200667,Angelica,Suffren,86,1022100111,v2
1628167,Toni,Patillo,76,1022100111,v2
1628952,Kevin,Fahy,43,1022100111,v2
203054,Che,Flores,13,1022100112,v2
100698,Jeffrey,Smith,53,1022100112,v2
203440,Tiara,Cruse,5,1022100112,v2
100308,Michael,Price,39,1022100113,v2
1628479,Ashley,Gloss,10,1022100113,v2
203891,Fatou,Cissoko-Stephens,15,1022100113,v2
1628171,Brandon,Schwab,47,1022100114,v2
1627519,John,Conley,3,1022100114,v2
200667,Angelica,Suffren,86,1022100114,v2
202299,Billy,Smith,7,1022100115,v2
100698,Jeffrey,Smith,53,1022100115,v2
1628487,Danielle,Scott,4,1022100115,v2
1628702,Randy,Richardson,11,1022100116,v2
1628480,Robert,Hussey,85,1022100116,v2
1628167,Toni,Patillo,76,1022100116,v2
203440,Tiara,Cruse,5,1022100117,v2
101286,Kurt,Walker,18,1022100117,v2
1627545,Karleena,Tobin,12,1022100117,v2
203891,Fatou,Cissoko-Stephens,15,1022100118,v2
1628952,Kevin,Fahy,43,1022100118,v2
100308,Michael,Price,39,1022100118,v2
203054,Che,Flores,13,1022100119,v2
1628479,Ashley,Gloss,10,1022100119,v2
1628168,Jenna,Reneau,77,1022100119,v2
203891,Fatou,Cissoko-Stephens,15,1022100120,v2
1628484,Dannica,Mosher,14,1022100120,v2
203054,Che,Flores,13,1022100120,v2
1629174,Blanca,Burns,8,1022100121,v2
203440,Tiara,Cruse,5,1022100121,v2
201538,Maj,Forsberg,34,1022100121,v2
100274,Roy,Gulbeyan,42,1022100122,v2
202297,Tim,Greene,9,1022100122,v2
1628952,Kevin,Fahy,43,1022100122,v2
200667,Angelica,Suffren,86,1022100123,v2
100697,Eric,Brewton,55,1022100123,v2
202678,Janetta,Graham,44,1022100123,v2
203800,Isaac,Barnett,16,1022100124,v2
1627545,Karleena,Tobin,12,1022100124,v2
100698,Jeffrey,Smith,53,1022100124,v2
1628480,Robert,Hussey,85,1022100125,v2
100308,Michael,Price,39,1022100125,v2
1628479,Ashley,Gloss,10,1022100125,v2
1628487,Danielle,Scott,4,1022100126,v2
200667,Angelica,Suffren,86,1022100126,v2
203054,Che,Flores,13,1022100126,v2
100308,Michael,Price,39,1022100127,v2
1628171,Brandon,Schwab,47,1022100127,v2
202297,Tim,Greene,9,1022100127,v2
100698,Jeffrey,Smith,53,1022100128,v2
100697,Eric,Brewton,55,1022100128,v2
203800,Isaac,Barnett,16,1022100128,v2
201538,Maj,Forsberg,34,1022100129,v2
1627545,Karleena,Tobin,12,1022100129,v2
1628702,Randy,Richardson,11,1022100129,v2
203438,Tiffany,Bird,2,1022100130,v2
1628168,Jenna,Reneau,77,1022100130,v2
1628484,Dannica,Mosher,14,1022100130,v2
203440,Tiara,Cruse,5,1022100131,v2
1628952,Kevin,Fahy,43,1022100131,v2
203891,Fatou,Cissoko-Stephens,15,1022100131,v2
201538,Maj,Forsberg,34,1022100132,v2
203891,Fatou,Cissoko-Stephens,15,1022100132,v2
1628171,Brandon,Schwab,47,1022100132,v2
1628167,Toni,Patillo,76,1022100133,v2
100274,Roy,Gulbeyan,42,1022100133,v2
1628484,Dannica,Mosher,14,1022100133,v2
100698,Jeffrey,Smith,53,1022100134,v2
202678,Janetta,Graham,44,1022100134,v2
100697,Eric,Brewton,55,1022100134,v2
203800,Isaac,Barnett,16,1022100135,v2
1627519,John,Conley,3,1022100135,v2
203054,Che,Flores,13,1022100135,v2
1628479,Ashley,Gloss,10,1022100136,v2
1628168,Jenna,Reneau,77,1022100136,v2
100308,Michael,Price,39,1022100136,v2
100274,Roy,Gulbeyan,42,1022100137,v2
203440,Tiara,Cruse,5,1022100137,v2
200667,Angelica,Suffren,86,1022100137,v2
1627526,Matt,Kallio,17,1022100138,v2
101286,Kurt,Walker,18,1022100138,v2
203891,Fatou,Cissoko-Stephens,15,1022100138,v2
202297,Tim,Greene,9,1022100139,v2
203054,Che,Flores,13,1022100139,v2
1628171,Brandon,Schwab,47,1022100139,v2
100308,Michael,Price,39,1022100140,v2
203800,Isaac,Barnett,16,1022100140,v2
1629174,Blanca,Burns,8,1022100140,v2
100697,Eric,Brewton,55,1022100141,v2
1628167,Toni,Patillo,76,1022100141,v2
203438,Tiffany,Bird,2,1022100141,v2
100308,Michael,Price,39,1022100142,v2
1627526,Matt,Kallio,17,1022100142,v2
202297,Tim,Greene,9,1022100142,v2
202678,Janetta,Graham,44,1022100143,v2
1628484,Dannica,Mosher,14,1022100143,v2
100274,Roy,Gulbeyan,42,1022100143,v2
203891,Fatou,Cissoko-Stephens,15,1022100144,v2
200667,Angelica,Suffren,86,1022100144,v2
201538,Maj,Forsberg,34,1022100144,v2
101044,Amy,Bonner,31,1022100145,v2
100698,Jeffrey,Smith,53,1022100145,v2
1628171,Brandon,Schwab,47,1022100145,v2
101044,Amy,Bonner,31,1022100146,v2
1628480,Robert,Hussey,85,1022100146,v2
203800,Isaac,Barnett,16,1022100146,v2
200667,Angelica,Suffren,86,1022100147,v2
202299,Billy,Smith,7,1022100147,v2
1627519,John,Conley,3,1022100147,v2
203438,Tiffany,Bird,2,1022100148,v2
1628487,Danielle,Scott,4,1022100148,v2
201538,Maj,Forsberg,34,1022100148,v2
1628168,Jenna,Reneau,77,1022100149,v2
1628479,Ashley,Gloss,10,1022100149,v2
100697,Eric,Brewton,55,1022100149,v2
1628702,Randy,Richardson,11,1022100150,v2
202678,Janetta,Graham,44,1022100150,v2
203054,Che,Flores,13,1022100150,v2
1628487,Danielle,Scott,4,1022100151,v2
1627526,Matt,Kallio,17,1022100151,v2
101286,Kurt,Walker,18,1022100151,v2
203800,Isaac,Barnett,16,1022100152,v2
101044,Amy,Bonner,31,1022100152,v2
1627545,Karleena,Tobin,12,1022100152,v2
202047,Kevin,Sparrock,50,1022100153,v2
100274,Roy,Gulbeyan,42,1022100153,v2
203440,Tiara,Cruse,5,1022100153,v2
202297,Tim,Greene,9,1022100154,v2
1629174,Blanca,Burns,8,1022100154,v2
201538,Maj,Forsberg,34,1022100154,v2
1628484,Dannica,Mosher,14,1022100155,v2
203438,Tiffany,Bird,2,1022100155,v2
100697,Eric,Brewton,55,1022100155,v2
203800,Isaac,Barnett,16,1022100156,v2
1627526,Matt,Kallio,17,1022100156,v2
203054,Che,Flores,13,1022100156,v2
100274,Roy,Gulbeyan,42,1022100157,v2
202047,Kevin,Sparrock,50,1022100157,v2
203440,Tiara,Cruse,5,1022100157,v2
1628167,Toni,Patillo,76,1022100158,v2
101044,Amy,Bonner,31,1022100158,v2
100308,Michael,Price,39,1022100158,v2
