era,timing,bet_type,threshold,execution,cond_dim,cond_level,n_bets,wins,losses,pushes,hit_rate,roi,n_cons,roi_cons,n_best,roi_best,roi_ci90_low,roi_ci90_high,n_dates,mean_clv_pts,pct_clv_positive,clv_measurable,n_perm_ge,n_perm_nonempty,perm_roi_mean,perm_roi_q95,p_perm,p_perm_phipson_smyth,eligible,small_n_flag,q_bh,starred
extension,near-tip,total,0.5,consensus,line_terc,large,107,45,62,0,0.4205607476635514,-0.19711129991503826,107,-0.19711129991503826,107,-0.16106830630183935,-0.34652124408221985,-0.03728894294111686,77,,,False,122,200,-0.18043298,-0.077439204,0.61,0.6119402985074627,True,False,0.8119163763066202,False
extension,near-tip,total,0.5,consensus,total_terc,low,114,47,67,0,0.41228070175438597,-0.21291866028708134,114,-0.21291866028708134,114,-0.20547084221343867,-0.374081704216709,-0.053469306580633764,75,,,False,195,200,-0.12143676,-0.03755911,0.975,0.9751243781094527,True,False,1.0,False
extension,near-tip,total,0.5,consensus,total_terc,mid,109,58,51,0,0.5321100917431193,0.015846538782318596,109,0.015846538782318596,109,0.07665260629104707,-0.12285012285012287,0.15510132282578099,78,,,False,59,200,-0.027706826,0.1152798,0.295,0.29850746268656714,True,False,0.6004795737122558,False
extension,near-tip,total,0.5,consensus,total_terc,high,115,53,62,0,0.4608695652173913,-0.12015810276679842,115,-0.12015810276679842,115,-0.1176953742811025,-0.26704545454545453,0.03977272727272727,75,,,False,11,200,-0.19791803,-0.11684492,0.055,0.05970149253731343,True,False,0.24057251908396948,False
extension,near-tip,total,0.5,consensus,side,over,146,70,76,0,0.4794520547945205,-0.0846824408468244,146,-0.0846824408468244,146,-0.052667659840977606,-0.20813131313131314,0.0461407741801577,92,,,False,89,200,-0.089759,-0.028489413,0.445,0.44776119402985076,True,False,0.711255230125523,False
extension,near-tip,total,0.5,consensus,side,under,192,88,104,0,0.4583333333333333,-0.12499999999999999,192,-0.12499999999999999,192,-0.10892724808412464,-0.24669737919737922,-0.006794345336446545,101,,,False,56,200,-0.14435793,-0.08776715,0.28,0.2835820895522388,True,False,0.58448087431694,False
extension,near-tip,total,0.5,consensus,rest_sign,home_more,104,59,45,0,0.5673076923076923,0.083041958041958,104,0.083041958041958,104,0.09838484709291412,-0.05605755131964826,0.22862286228622866,78,,,False,5,200,-0.049087834,0.06497696,0.025,0.029850746268656716,True,False,0.1461734693877551,False
extension,near-tip,total,0.5,consensus,rest_sign,equal,150,66,84,0,0.44,-0.16000000000000003,150,-0.16000000000000003,150,-0.11986531370957307,-0.2790845518118245,-0.03912880976528249,91,,,False,176,200,-0.09559598,0.012418881,0.88,0.8805970149253731,True,False,0.9577207977207978,False
extension,near-tip,total,0.5,consensus,rest_sign,away_more,84,33,51,0,0.39285714285714285,-0.24999999999999994,84,-0.24999999999999994,84,-0.24828258345430676,-0.417960088691796,-0.07759487703307932,64,,,False,111,200,-0.24022223,-0.13213497,0.555,0.5572139303482587,True,False,0.7900993788819877,False
extension,near-tip,total,0.5,consensus,phase,early,32,17,15,0,0.53125,0.014204545454545449,32,0.014204545454545449,32,0.019463415981835534,-0.28409090909090906,0.27272727272727276,15,,,False,120,200,0.035589352,0.27272728,0.6,0.6019900497512438,False,True,,False
