arm,target,scheme,model,decile,n,mean_predicted,mean_realised,median_realised
A4_CLEAN_DEC,minutes,GKF,VSD,6,355,4.323973620355782,4.698436816111675,3.816086165119451
A4_CLEAN_DEC,minutes,GKF,VSD,7,355,4.337503345541709,4.224234937871393,3.3353628881880937
A4_CLEAN_DEC,minutes,GKF,VSD,8,355,4.3568711343059645,3.9357089254016326,3.0523992094095114
A4_CLEAN_DEC,minutes,GKF,VSD,9,355,4.45495376727687,4.120728134497665,3.30998207526984
A4_CLEAN_DEC,minutes,GKF,VSD,10,355,4.464618210552771,3.940821583072354,3.2072159777579508
A4_CLEAN_DEC,minutes,GKF,VSIG,1,354,3.2723300040358665,3.07615097368334,2.2441420439551614
A4_CLEAN_DEC,minutes,GKF,VSIG,2,355,3.5649328393248294,3.4561006261420495,2.602512676332836
A4_CLEAN_DEC,minutes,GKF,VSIG,3,355,3.7449546174660524,3.585145833091231,2.6769536976062724
A4_CLEAN_DEC,minutes,GKF,VSIG,4,355,3.9204779702314188,4.169609675436695,3.4857114012143207
A4_CLEAN_DEC,minutes,GKF,VSIG,5,355,4.088010196374135,4.282461956610854,3.4401384895310727
A4_CLEAN_DEC,minutes,GKF,VSIG,6,355,4.267693374389202,4.490595305320919,3.808445774530753
A4_CLEAN_DEC,minutes,GKF,VSIG,7,355,4.459858381524629,4.440538381361229,3.8348266177058505
A4_CLEAN_DEC,minutes,GKF,VSIG,8,355,4.730647900306995,4.564569989889622,4.121269213282922
A4_CLEAN_DEC,minutes,GKF,VSIG,9,355,5.117362126160252,5.321785249001628,4.456402338626312
A4_CLEAN_DEC,minutes,GKF,VSIG,10,355,6.098215142179294,5.867310390765243,4.961889704409071
A4_CLEAN_DEC,minutes,GKF,VALL,1,354,2.7347825936600088,2.6655781985987437,2.083104423140057
A4_CLEAN_DEC,minutes,GKF,VALL,2,355,3.37764607187145,3.378614346408536,2.6083157405346995
A4_CLEAN_DEC,minutes,GKF,VALL,3,355,3.6658849258911963,3.874884162401846,2.895506648824206
A4_CLEAN_DEC,minutes,GKF,VALL,4,355,3.8985117523963697,4.215470199323525,3.4108552070085665
A4_CLEAN_DEC,minutes,GKF,VALL,5,355,4.111991968650122,4.529345762743371,3.928574441123313
A4_CLEAN_DEC,minutes,GKF,VALL,6,355,4.341838830109291,4.3977350235593295,3.491603566421464
A4_CLEAN_DEC,minutes,GKF,VALL,7,355,4.613766991980414,4.389138303891579,3.808445774530753
A4_CLEAN_DEC,minutes,GKF,VALL,8,355,4.940478588613124,4.839192056203651,4.417755042917506
A4_CLEAN_DEC,minutes,GKF,VALL,9,355,5.341036589843878,5.113420952370442,4.144683131786355
A4_CLEAN_DEC,minutes,GKF,VALL,10,355,6.361805799161913,5.849732832773384,4.955172890144638
A4_CLEAN_DEC,minutes,GKF,VLEV,1,354,3.381376620792241,3.830004389998168,2.6155617017777892
A4_CLEAN_DEC,minutes,GKF,VLEV,2,355,3.7596046538545536,3.7359675267972254,2.674398131366594
A4_CLEAN_DEC,minutes,GKF,VLEV,3,355,3.9336946204946055,3.555321635701775,2.735259888395838
A4_CLEAN_DEC,minutes,GKF,VLEV,4,355,4.078498042596933,3.8400763060762446,3.0771719667735447
A4_CLEAN_DEC,minutes,GKF,VLEV,5,355,4.24157661083674,4.225838030162574,3.5029332021852504
A4_CLEAN_DEC,minutes,GKF,VLEV,6,355,4.399688626828602,4.23889117543868,3.5688757309041677
A4_CLEAN_DEC,minutes,GKF,VLEV,7,355,4.567695002172488,4.649664673265307,3.8789973567643408
A4_CLEAN_DEC,minutes,GKF,VLEV,8,355,4.745639765049583,4.9286337388075925,4.335471990502494
A4_CLEAN_DEC,minutes,GKF,VLEV,9,355,4.953766817751376,5.099190238038877,4.449324842338616
A4_CLEAN_DEC,minutes,GKF,VLEV,10,355,5.2365069687034955,5.15280419776655,4.480052174312181
A4_CLEAN_DEC,fga,WF,V0,1,294,2.8986495521330626,3.0889340413619464,2.7300862327994713
A4_CLEAN_DEC,fga,WF,V0,2,295,2.9127370983473204,3.0356602525683103,2.5120950533627706
A4_CLEAN_DEC,fga,WF,V0,3,294,2.916638492643216,2.9966040607856255,2.2552476287496117
A4_CLEAN_DEC,fga,WF,V0,4,295,2.920240975970954,2.8828484422716567,2.3736174759092403
A4_CLEAN_DEC,fga,WF,V0,5,294,2.922966362932747,2.963010532563862,2.545837566530463
A4_CLEAN_DEC,fga,WF,V0,6,295,2.9266403857819485,2.824232634939899,2.1632457955783178
A4_CLEAN_DEC,fga,WF,V0,7,294,2.9305437812128416,3.1624724165380713,2.8347511606505744
A4_CLEAN_DEC,fga,WF,V0,8,295,2.934095196140341,2.7242800424442053,2.347980270239697
A4_CLEAN_DEC,fga,WF,V0,9,294,2.938696673075313,2.866993456540908,2.4976651519787234
A4_CLEAN_DEC,fga,WF,V0,10,295,2.9495536194951417,2.802280873903506,2.3693676526940557
A4_CLEAN_DEC,fga,WF,VSD,1,294,2.759577321437319,2.9304748267575382,2.4918941127906153
