stratum,target,base,candidate,level,n,dr2,beta,sd_candidate,sd_candidate_resid,sd_y,r2_base,p_row_level_NAIVE,p_entity_swap,p_cyclic_shift,p_correct_level,null_sd_row,null_sd_swap,null_sd_cyclic,inflation_swap_over_row,inflation_cyclic_over_row,CEILING_dr2_D089form,CEILING_dr2_residualised,d_target_per_sd_signal,family,fw_p,fw_t
DECISION,y_dreb,B_COMPLETE_PLUS_R10,R02_opp_allowed_ra_share,opp_team_season,5111,0.000526808340227519,-1.6361618865326892,0.04063286629971969,0.03909920893785005,2.787198641156965,0.36018093735825973,0.03161397670549085,0.07653910149750416,0.8402662229617305,0.8402662229617305,0.00015878678448578924,0.0002405066121980962,0.00015921843106491803,1.5146513167134545,1.002718403679038,0.0005689467470769429,0.0005268083402275193,0.0664819471801799,R,1.0,-0.993468536381034
DECISION,y_dreb,B_COMPLETE_PLUS_R10,R03_opp_allowed_atb3_share,opp_team_season,5111,3.7609120274804905e-05,0.7200029341755232,0.024496688651666914,0.0237399742051423,2.787198641156965,0.36018093735825973,0.5723793677204659,0.6871880199667221,0.7936772046589018,0.7936772046589018,0.0001545224033028988,0.0002662837467678519,8.124465016521832e-05,1.7232695135208043,0.5257791001733286,4.00449221983113e-05,3.76091202748049e-05,0.01763768770678442,R,1.0,-0.8291859782129107
DECISION,y_dreb,B_COMPLETE_PLUS_R10,R04_opp_allowed_mid_share,opp_team_season,5111,6.321684649591571e-08,-0.03332271228827726,0.021165492307823896,0.02103022852971126,2.787198641156965,0.36018093735825973,0.978369384359401,0.9900166389351082,0.9517470881863561,0.9900166389351082,0.00018278771924477784,0.00021845594586661541,2.1242086758038353e-05,1.1951346992522671,0.11621178296771832,6.403266728452539e-08,6.321684649591573e-08,0.0007052916106133611,R,1.0,-0.7151104435107644
DECISION,y_dreb,B_COMPLETE_PLUS_R10,R05_opp_allowed_long_miss_pg,opp_team_season,5111,0.0001802031214333269,0.03140907636463861,1.1974940290698133,1.1912253060634141,2.787198641156965,0.36018093735825973,0.23128119800332778,0.3860232945091514,0.8053244592346089,0.8053244592346089,0.00019766803042296072,0.00026624806849839046,0.00015214326191666293,1.3469455223926976,0.7696907870792963,0.00018210471934974247,0.00018020312143332678,0.037612181405252534,R,1.0,-0.8994986290782792
DECISION,y_dreb,B_COMPLETE_PLUS_R10,R06_own_atb3_share,team_season,5111,2.0887159632637856e-05,-0.2760895985850895,0.04742396294596651,0.046137872997524615,2.7871986411569645,0.3601809373582596,0.7054908485856906,0.7603993344425957,0.1064891846921797,0.7603993344425957,0.00019613799309969046,0.00021581344045170752,9.57346316852472e-06,1.1003143095382681,0.04880983544916177,2.2067845396325387e-05,2.0887159632637873e-05,0.013093262893066053,R,1.0,-0.6974874347063499
DECISION,y_dreb,B_COMPLETE_PLUS_R10,R07_own_miss_pg,team_season,5111,0.00016853325210124914,-0.02048043272803056,1.8569963058276184,1.7667357360176812,2.7871986411569645,0.3601809373582596,0.27121464226289516,0.24958402662229617,0.08818635607321132,0.24958402662229617,0.00017057398100299686,0.000174784106237986,6.803111074995853e-05,1.0246821069088794,0.39883638964118023,0.00018619349045925096,0.00016853325210124917,0.0380320879177038,R,1.0,0.24212741111911415
DECISION,y_dreb,B_COMPLETE_PLUS_R10,R08_player_ra_share,player_season,5111,0.0007340198519235354,0.5572791282900863,0.1607438643675129,0.13550304250340864,2.7871986411569645,0.3601809373582596,0.014975041597337771,0.018302828618968387,0.8718801996672213,0.8718801996672213,0.00016910728920025247,0.00018691424378382136,0.00010005059193511455,1.105299745905585,0.5916397359822688,0.0010329481494702943,0.0007340198519235354,0.08957920061270745,R,1.0,-1.1323678884923176
DECISION,y_dreb,B_COMPLETE_PLUS_R10,R09_opp_allowed_paint_share,opp_team_season,5111,4.6347215085042254e-05,-0.5732560896530726,0.03404277277032171,0.03310023418010147,2.787198641156965,0.36018093735825973,0.5341098169717138,0.6405990016638935,0.9317803660565723,0.9317803660565723,0.00016770803422602393,0.00024453445478575856,6.732045216534228e-05,1.4580962439533094,0.40141459218711595,4.9024295630458634e-05,4.6347215085042227e-05,0.019515226799262722,R,1.0,-1.3010205494814857
DECISION,y_dreb,B_SINGLE,A01_c04_prevgame,team_season,5111,0.0017751696987752296,-0.012554426801403683,9.41168358822967,9.353862267316265,2.7871986411569645,0.3512357278468813,0.0016638935108153079,0.0033277870216306157,0.0016638935108153079,0.0033277870216306157,0.00016428788088477817,0.0002139598319900158,0.00029768096836942115,1.3023470193767648,1.8119472158643097,0.0017971841135676202,0.0017751696987752291,0.11815829268640175,A,0.004991680532445923,7.594565683385392
DECISION,y_dreb,B_SINGLE,G01_noise,row,5111,1.9213457784819192e-07,-0.0012212432155913949,1.0003967819812156,1.000388113284048,2.787198641156965,0.3512357278468816,0.9816971713810316,,,0.9816971713810316,0.00016800772741860522,0.00016800772741860522,0.00016800772741860522,1.0,1.0,1.9213790768321291e-07,1.9213457784819192e-07,0.0012217277828940234,G,1.0,-0.7052383448111265
