catalog_number,channel,alpha,inner_mae
57,fg3,0.1,3.2668217912947513
57,fg3,0.15,3.2664582021920925
57,fg3,0.2,3.266148713666263
57,fg3,0.25,3.2659186039163424
57,fg3,0.3,3.2657682350480193
57,fg3,0.35,3.2656760234431315
57,fg3,0.4,3.26562491867012
57,fg3,0.45,3.2656116626626344
57,fg3,0.5,3.2656133495682425
57,paint,0.05,3.5802233868337425
57,paint,0.1,3.5803076512816117
57,paint,0.15,3.5805271490673287
57,paint,0.2,3.580888235581132
57,paint,0.25,3.581363820331942
57,paint,0.3,3.5819025061937615
57,paint,0.35,3.582448961779828
57,paint,0.4,3.5829691623532196
57,paint,0.45,3.5834296220608963
57,paint,0.5,3.5838273740072784
57,ft,0.05,2.0751188987802247
57,ft,0.1,2.075849672278612
57,ft,0.15,2.0765342667264863
57,ft,0.2,2.0771567831341677
57,ft,0.25,2.077723565117099
57,ft,0.3,2.0782179752600545
57,ft,0.35,2.078646606793506
57,ft,0.4,2.0790226724773246
57,ft,0.45,2.079338977290027
57,ft,0.5,2.0796026999683015
57,np2,0.05,1.766304659228612
57,np2,0.1,1.766055098283348
57,np2,0.15,1.7657131454224337
57,np2,0.2,1.7653628394732284
57,np2,0.25,1.7650671810958922
57,np2,0.3,1.7648503216581084
57,np2,0.35,1.7647103782989688
57,np2,0.4,1.7646343746666915
57,np2,0.45,1.764605037442862
57,np2,0.5,1.7646077502487947
59,fg3,0.05,3.2664913078363558
59,fg3,0.1,3.2665951234027855
59,fg3,0.15,3.2667067008080473
59,fg3,0.2,3.266823969065019
59,fg3,0.25,3.266939489823151
59,fg3,0.3,3.267044442753175
59,fg3,0.35,3.2671309402853788
59,fg3,0.4,3.267194904039585
59,fg3,0.45,3.267234379298987
59,fg3,0.5,3.2672499163623456
61,fg3,0.05,3.2556986905816268
61,fg3,0.1,3.255940940431381
61,fg3,0.15,3.2562174048721197
61,fg3,0.2,3.2565719885810736
61,fg3,0.25,3.2570706298178007
61,fg3,0.3,3.2577198100954976
61,fg3,0.35,3.2584855674254123
61,fg3,0.4,3.259306535104106
61,fg3,0.45,3.260128356697263
61,fg3,0.5,3.2608950706506303
61,paint,0.05,3.586115521227336
61,paint,0.1,3.5853073960330537
61,paint,0.15,3.5846581029108258
61,paint,0.2,3.584184346005015
61,paint,0.25,3.58391231552257
61,paint,0.3,3.5837949058525154
61,paint,0.35,3.5838090543223586
61,paint,0.4,3.5839288422703603
61,paint,0.45,3.5840865493964085
61,paint,0.5,3.58426035284972
61,np2,0.05,1.7422166453065724
61,np2,0.1,1.7403261471303149
61,np2,0.15,1.739474275053942
61,np2,0.2,1.7392797452821476
61,np2,0.25,1.7395537976446978
61,np2,0.3,1.7401820604222265
61,np2,0.35,1.7410787391653708
61,np2,0.4,1.7421897229210777
61,np2,0.45,1.743371824106885
61,np2,0.5,1.744588096949445
64,fg3,0.05,3.2664149513323983
64,fg3,0.1,3.2665947951389467
64,fg3,0.15,3.2669192087647976
64,fg3,0.2,3.2673417427761535
64,fg3,0.25,3.2677504921768183
64,fg3,0.3,3.2681277899913943
64,fg3,0.35,3.268477772263101
64,fg3,0.4,3.2687608735255864
64,fg3,0.45,3.268979651272481
64,fg3,0.5,3.269138015232338
65,fg3,0.05,3.2493212925097565
65,fg3,0.1,3.2494199709070823
65,fg3,0.15,3.250196853941255
65,fg3,0.2,3.2513810163538523
65,fg3,0.25,3.2526834222964642
65,fg3,0.3,3.254045432712623
65,fg3,0.35,3.2553296665993368
65,fg3,0.4,3.2565273204322067
65,fg3,0.45,3.257545668690838
65,fg3,0.5,3.2583795945454117
65,paint,0.05,3.5853530973240844
65,paint,0.1,3.5851953403463384
65,paint,0.15,3.585257744904174
65,paint,0.2,3.58544523684945
65,paint,0.25,3.5856882832131327
65,paint,0.3,3.5859488784147486
65,paint,0.35,3.586234524184458
65,paint,0.4,3.5865029060312827
65,paint,0.45,3.5867424237219194
65,paint,0.5,3.5869527732892137
65,ft,0.05,2.0797098641359244
65,ft,0.1,2.079676353458794
65,ft,0.15,2.0796615674375847
65,ft,0.2,2.079681335686914
65,ft,0.25,2.079737291313918
65,ft,0.3,2.0798107167229674
65,ft,0.35,2.0798883921481495
65,ft,0.4,2.079961839588799
65,ft,0.45,2.080026277501698
65,ft,0.5,2.080079627845811
65,np2,0.05,1.7656058187526968
65,np2,0.1,1.7655621628230422
65,np2,0.15,1.7655886877218165
65,np2,0.2,1.7656486927936959
65,np2,0.25,1.765714187773872
65,np2,0.3,1.7657708964729808
65,np2,0.35,1.7658181358778757
65,np2,0.4,1.7658587453099208
65,np2,0.45,1.7658913412547959
65,np2,0.5,1.7659149655297022
66,fg3,0.05,3.267396862889387
66,fg3,0.1,3.267568366342692
66,fg3,0.15,3.2675404121621274
66,fg3,0.2,3.267475285230843
66,fg3,0.25,3.2674024956986365
66,fg3,0.3,3.2673547425070066
66,fg3,0.35,3.267272206622252
66,fg3,0.4,3.2671760777853187
66,fg3,0.45,3.2670809949737225
66,fg3,0.5,3.2669594253803034
66,paint,0.05,3.5862079687202297
