channel,alpha,w,inner_mae,fold_maes
ft,0.3,0.3,2.088344,2.085575;2.065951;2.113506
ft,0.3,0.4,2.086748,2.081649;2.062843;2.115752
ft,0.3,0.5,2.087171,2.079535;2.062756;2.119223
ft,0.3,0.6,2.089063,2.078861;2.064903;2.123425
ft,0.3,0.7,2.092017,2.079653;2.068543;2.127855
ft,0.3,0.8,2.095384,2.081290;2.072963;2.131899
ft,0.3,0.9,2.099097,2.083495;2.077891;2.135905
ft,0.3,0.92,2.099843,2.083967;2.078873;2.136690
ft,0.3,0.94,2.100591,2.084472;2.079838;2.137461
ft,0.3,0.95,2.100969,2.084734;2.080318;2.137856
ft,0.3,0.96,2.101352,2.084998;2.080811;2.138247
ft,0.3,0.98,2.10211,2.085526;2.081779;2.139024
ft,0.3,0.99,2.102489,2.085792;2.082268;2.139408
ft,0.3,1.0,2.10287,2.086064;2.082761;2.139785
ft,0.35,0.1,2.098021,2.099447;2.077956;2.116659
ft,0.35,0.2,2.093188,2.091969;2.071749;2.115845
ft,0.35,0.3,2.089765,2.086211;2.066628;2.116458
ft,0.35,0.4,2.088388,2.082545;2.063637;2.118981
ft,0.35,0.5,2.089237,2.080701;2.064005;2.123006
ft,0.35,0.6,2.091679,2.080436;2.066615;2.127987
ft,0.35,0.7,2.095325,2.081764;2.070971;2.133240
ft,0.35,0.8,2.099493,2.084092;2.076154;2.138231
ft,0.35,0.9,2.104083,2.087020;2.081996;2.143234
ft,0.35,0.92,2.105028,2.087650;2.083196;2.144238
ft,0.35,0.94,2.105983,2.088293;2.084395;2.145263
ft,0.35,0.95,2.106458,2.088617;2.084985;2.145770
ft,0.35,0.96,2.106927,2.088942;2.085571;2.146268
ft,0.35,0.98,2.107856,2.089597;2.086732;2.147239
ft,0.35,0.99,2.108317,2.089925;2.087303;2.147723
ft,0.35,1.0,2.108779,2.090258;2.087869;2.148210
ft,0.4,0.1,2.099332,2.100168;2.078652;2.119177
ft,0.4,0.2,2.09444,2.092538;2.072419;2.118364
ft,0.4,0.3,2.09101,2.086810;2.067247;2.118972
ft,0.4,0.4,2.089846,2.083360;2.064434;2.121744
ft,0.4,0.5,2.091014,2.081716;2.065069;2.126258
ft,0.4,0.6,2.093984,2.081881;2.068102;2.131969
ft,0.4,0.7,2.09827,2.083758;2.073061;2.137990
ft,0.4,0.8,2.103223,2.086681;2.079071;2.143917
ft,0.4,0.9,2.108717,2.090303;2.085791;2.150055
ft,0.4,0.92,2.109841,2.091068;2.087152;2.151304
ft,0.4,0.94,2.110964,2.091846;2.088496;2.152551
