screen,file,rows,numeric_cols,standardised_cols,RAW_RECOVERABLE,stats
E0_I0013_possession_volume,E0_I0013_possession_volume/placebo_draws_reb_ppm.csv,200,2,,True,"{""cluster_perm_dR2_M"": {""mean"": 0.00010916843037492437, ""sd"": 0.0001402511149321307, ""n"": 200}, ""naive_row_perm_dR2_M"": {""mean"": 5.110702892903564e-05, ""sd"": 7.114840734648402e-05, ""n"": 200}}"
E0_I0013_possession_volume,E0_I0013_possession_volume/placebo_draws_survivor_2021_2024.csv,200,1,,True,"{""dR2"": {""mean"": 8.576206325812389e-05, ""sd"": 0.00011424895077199795, ""n"": 200}}"
E0_I0013_possession_volume,E0_I0013_possession_volume/placebo_draws_survivor_2022_2024.csv,200,1,,True,"{""dR2"": {""mean"": 0.00011749233538743596, ""sd"": 0.00015767137906727406, ""n"": 200}}"
E0_I0013_possession_volume,E0_I0013_possession_volume/placebo_draws_survivor_2023_2024.csv,200,1,,True,"{""dR2"": {""mean"": 0.00020370636963012203, ""sd"": 0.00024253247783252794, ""n"": 200}}"
E0_I0013_possession_volume,E0_I0013_possession_volume/placebo_draws_survivor_2024.csv,200,1,,True,"{""dR2"": {""mean"": 0.0007685254344879087, ""sd"": 0.000906260209917477, ""n"": 200}}"
E0_I0015_points_skill_decomposition,E0_I0015_points_skill_decomposition/blockflip_draws.csv,2000,10,,True,"{""A__H2_model_min_x_naive_rate_vs_H1_model_min_x_model_rate"": {""mean"": 0.0003145956218461182, ""sd"": 0.010789556511120355, ""n"": 2000}, ""A__H3_naive_min_x_model_rate_vs_H1_model_min_x_model_rate"": {""mean"": -8.405559214875735e-05, ""sd"": 0.011254135281679279, ""n"": 2000}, ""A__H4_naive_min_x_naive_rate_vs_H2_model_min_x_naive_rate"": {""mean"": -0.00014396313943679682, ""sd"": 0.011453863877553863, ""n"": 2000}, ""A__H4_naive_min_x_naive_rate_vs_H3_naive_min_x_model_rate"": {""mean"": 0.00025468807455807823, ""sd"": 0.008881615257372183, ""n"": 2000}, ""A__CHAMPION_vs_REF"": {""mean"": -0.00016430417723585562, ""sd"": 0.015441008702696971, ""n"": 2000}, ""B__H2_model_min_x_naive_rate_vs_H1_model_min_x_model_rate"": {""mean"": 0.00024765343040887377, ""sd"": 0.011065237074599213, ""n"": 2000}, ""B__H3_naive_min_x_model_rate_vs_H1_model_min_x_model_rate"": {""mean"": -8.405559214875735e-05, ""sd"": 0.011254135281679279, ""n"": 2000},"
E0_I0015_points_skill_decomposition,E0_I0015_points_skill_decomposition/maxt_null_draws.csv,400,2,,True,"{""correct"": {""mean"": 0.018382915508269607, ""sd"": 0.002017477918353316, ""n"": 400}, ""row"": {""mean"": 0.006479153404883203, ""sd"": 0.0012716800946418899, ""n"": 400}}"
E0_I0015_points_skill_decomposition,E0_I0015_points_skill_decomposition/noop_placebo_draws.csv,200,3,,True,"{""identity"": {""mean"": -0.0022218316796525006, ""sd"": 4.347691539399435e-19, ""n"": 200}, ""defective_relabel"": {""mean"": -0.0022218316796525006, ""sd"": 4.347691539399435e-19, ""n"": 200}, ""genuine_shuffle"": {""mean"": -0.7902605022268357, ""sd"": 0.008889073132794337, ""n"": 200}}"
E1_I0004_efficiency_transfer,E1_I0004_efficiency_transfer/permutation_draws_paired_cluster.csv,120000,2,,True,"{""draw_index"": {""mean"": 2499.5, ""sd"": 1443.3816582093225, ""n"": 120000}, ""value"": {""mean"": 6.643077580797066e-06, ""sd"": 0.001380241235380791, ""n"": 120000}}"
E1_I0004_efficiency_transfer_v2,E1_I0004_efficiency_transfer_v2/permutation_draws_paired_cluster.csv,5000,3,,True,"{""ppm_points_per_minute|SPEC_RA|all"": {""mean"": 3.843481235562676e-06, ""sd"": 0.00039012533367023967, ""n"": 5000}, ""ppm_points_per_minute|SPEC_RA|on_stratum"": {""mean"": 4.247933929513295e-06, ""sd"": 0.0004854473571422815, ""n"": 5000}, ""ppm_points_per_minute|SPEC_RA|off_stratum"": {""mean"": 3.879713890708945e-06, ""sd"": 0.0005328521310833346, ""n"": 5000}}"
