game_id,era,season,game_date,status,n_events,n_dup_rows_dropped,n_conflicting_dup_keys,n_unattributed_pts,ot_periods,rec_home,rec_away,posted_home,posted_away,master_home,master_away,n_checkpoints,n_checkpoint_mismatch,first_mismatch_event,exact_vs_master,posted_matches_master
1022100154,v2,2021,2021-08-29,ok,330,0,0,0,0,75,107,75,107,75,107,92,0,,True,True
1022100155,v2,2021,2021-08-31,ok,348,0,0,0,0,74,72,74,72,74,72,82,0,,True,True
1022100156,v2,2021,2021-08-31,ok,347,0,0,0,0,75,85,75,85,75,85,84,0,,True,True
1022100157,v2,2021,2021-08-31,ok,410,0,0,0,0,74,66,74,66,74,66,83,0,,True,True
1022100158,v2,2021,2021-08-31,ok,363,0,0,0,0,103,83,103,83,103,83,95,0,,True,True
1022100159,v2,2021,2021-09-02,ok,365,0,0,0,0,72,68,72,68,72,68,72,0,,True,True
1022100160,v2,2021,2021-09-02,ok,358,0,0,0,0,66,57,66,57,66,57,71,0,,True,True
1022100161,v2,2021,2021-09-02,ok,380,0,0,0,0,90,83,90,83,90,83,98,0,,True,True
1022100162,v2,2021,2021-09-02,ok,353,0,0,0,0,85,75,85,75,85,75,90,0,,True,True
1022100163,v2,2021,2021-09-04,ok,391,0,0,0,0,65,87,65,87,65,87,86,0,,True,True
1022100164,v2,2021,2021-09-04,ok,364,0,0,0,0,93,75,93,75,93,75,88,0,,True,True
1022100165,v2,2021,2021-09-05,ok,379,0,0,0,0,92,84,92,84,92,84,100,0,,True,True
1022100166,v2,2021,2021-09-05,ok,373,0,0,0,0,64,69,64,69,64,69,68,0,,True,True
1022100167,v2,2021,2021-09-06,ok,346,0,0,0,0,81,86,81,86,81,86,87,0,,True,True
1022100168,v2,2021,2021-09-07,ok,365,0,0,0,0,56,83,56,83,56,83,75,0,,True,True
1022100169,v2,2021,2021-09-07,ok,351,0,0,0,0,105,71,105,71,105,71,90,0,,True,True
1022100170,v2,2021,2021-09-08,ok,344,0,0,0,0,75,76,75,76,75,76,81,0,,True,True
1022100171,v2,2021,2021-09-08,ok,356,0,0,0,0,102,81,102,81,102,81,94,0,,True,True
1022100172,v2,2021,2021-09-09,ok,355,0,0,0,0,57,75,57,75,57,75,81,0,,True,True
1022100173,v2,2021,2021-09-10,ok,370,0,0,0,0,82,74,82,74,82,74,80,0,,True,True
1022100174,v2,2021,2021-09-10,ok,362,0,0,0,0,89,72,89,72,89,72,83,0,,True,True
1022100175,v2,2021,2021-09-11,ok,360,0,0,0,0,77,76,77,76,77,76,80,0,,True,True
1022100176,v2,2021,2021-09-11,ok,335,0,0,0,0,67,76,67,76,67,76,77,0,,True,True
1022100177,v2,2021,2021-09-12,ok,363,0,0,0,0,71,79,71,79,71,79,81,0,,True,True
1022100178,v2,2021,2021-09-12,ok,327,0,0,0,0,90,80,90,80,90,80,91,0,,True,True
1022100179,v2,2021,2021-09-12,ok,335,0,0,0,0,81,53,81,53,81,53,74,0,,True,True
1022100180,v2,2021,2021-09-13,ok,348,0,0,0,0,85,75,85,75,85,75,84,0,,True,True
1022100181,v2,2021,2021-09-14,ok,366,0,0,0,0,85,78,85,78,85,78,85,0,,True,True
1022100182,v2,2021,2021-09-15,ok,379,0,0,0,0,98,69,98,69,98,69,90,48,EVENTNUM=271 posted 69-98 (a-h) recomputed 47-44,True,True
