arm,target,season,partition,cell,n_rows,n_scoreable,n_distinct_pred,sd_pred,sd_truth,sd_ratio,top1_share,top1_value,D1_flag,D2_flag,D3_flag,D4_flag,D5_flag,D6_flag,any_flag,top2_share,share_at_cell_min,share_at_cell_max,share_at_zero,share_at_one,dup_cluster_size,n_distinct_pred_vectors,dup_cluster_players,dup_cluster_games,dup_cluster_seasons,n_distinct_pred_sd,sd_null_share,sd_zero_share,corr_sd_absresid,modal_value,modal_share,modal_n_seasons,q_cross_rows,point_outside_interval_rows,cov90,cov50,quantiles_present
cbs_v15_player_oof_v5,player_scoring_distribution,ALL,P14_player_season_game_index_bin,3-4,1448,537,347,3.494848578145389,7.852075551689534,0.4450859591376959,0.30939226519337015,8.722116603,False,True,True,True,True,True,True,0.5566298342541437,0.011049723756906077,0.0006906077348066298,0.011049723756906077,0.0,448,349,232,41,1,3,0.0,0.0,0.007456254351561211,8.722116603,0.30939226519337015,1,0,0,0.7988826815642458,0.39106145251396646,True
cbs_v15_player_oof_v5,player_scoring_distribution,ALL,P14_player_season_game_index_bin,5-9,2846,1439,1218,4.723210033319338,7.3144965034480105,0.6457327624796656,0.19676739283204497,8.722116603,False,True,True,True,True,False,True,0.34855938158819394,0.015108924806746311,0.0007027406886858749,0.015108924806746311,0.0,560,1220,142,76,1,3,0.0,0.0,-0.024512397193949678,8.722116603,0.19676739283204497,1,0,0,0.8672689367616401,0.45448227936066715,True
cbs_v15_player_oof_v5,player_scoring_distribution,ALL,P15_universe_tier,A,17809,13879,12550,5.668817839155917,7.580032388669301,0.747861954736462,0.0381267898253692,8.690909091,False,False,True,True,True,False,True,0.07423212982200011,0.0074119827053736875,5.6151384131618846e-05,0.0074119827053736875,0.0,679,12552,164,180,1,3,0.0,0.0,-0.009800556011146247,8.690909091,0.0381267898253692,1,0,0,0.8809712515310901,0.47842063549247066,True
cbs_v15_player_oof_v5,player_scoring_distribution,ALL,P15_universe_tier,B,3808,383,246,1.7595018320593414,7.071407085068344,0.24881919692823568,0.4209558823529412,8.722116603,False,False,True,True,True,True,True,0.7190126050420168,0.0007878151260504202,0.0002626050420168067,0.0007878151260504202,0.0,1603,247,273,42,1,3,0.0,0.0,0.008970172742057903,8.722116603,0.4209558823529412,1,0,0,0.720626631853786,0.26631853785900783,True
cbs_v15_player_oof_v5,player_scoring_distribution,ALL,P16_evaluation_tier,A_primary,17809,13879,12550,5.668817839155917,7.580032388669301,0.747861954736462,0.0381267898253692,8.690909091,False,False,True,True,True,False,True,0.07423212982200011,0.0074119827053736875,5.6151384131618846e-05,0.0074119827053736875,0.0,679,12552,164,180,1,3,0.0,0.0,-0.009800556011146247,8.690909091,0.0381267898253692,1,0,0,0.8809712515310901,0.47842063549247066,True
cbs_v15_player_oof_v5,player_scoring_distribution,ALL,P16_evaluation_tier,B_s2_weak_fallback,2222,39,186,1.687286279596091,7.873836481961597,0.21429023620969836,0.414041404140414,8.722116603,False,False,True,True,True,True,True,0.7146714671467147,0.0009000900090009,0.00045004500450045,0.0009000900090009,0.0,920,186,174,33,1,3,0.0,0.0,-0.017825727898211206,8.722116603,0.414041404140414,1,0,0,0.6153846153846154,0.1794871794871795,True
cbs_v15_player_oof_v5,player_scoring_distribution,ALL,P16_evaluation_tier,B_transaction_sensitivity,1586,344,97,1.8555771261242933,6.8385361977017,0.2713412742843881,0.4306431273644388,8.722116603,False,False,True,True,True,True,True,0.725094577553594,0.0006305170239596469,0.0006305170239596469,0.0006305170239596469,0.0,683,97,210,37,1,3,0.0,0.0,-0.0011356484699539629,8.722116603,0.4306431273644388,1,0,0,0.7325581395348837,0.2761627906976744,True
cbs_v15_player_oof_v5,player_scoring_distribution,ALL,P17_fit_eligible,False,3808,383,246,1.7595018320593414,7.071407085068344,0.24881919692823568,0.4209558823529412,8.722116603,False,False,True,True,True,True,True,0.7190126050420168,0.0007878151260504202,0.0002626050420168067,0.0007878151260504202,0.0,1603,247,273,42,1,3,0.0,0.0,0.008970172742057903,8.722116603,0.4209558823529412,1,0,0,0.720626631853786,0.26631853785900783,True
cbs_v15_player_oof_v5,player_scoring_distribution,ALL,P17_fit_eligible,True,17809,13879,12550,5.668817839155917,7.580032388669301,0.747861954736462,0.0381267898253692,8.690909091,False,False,True,True,True,False,True,0.07423212982200011,0.0074119827053736875,5.6151384131618846e-05,0.0074119827053736875,0.0,679,12552,164,180,1,3,0.0,0.0,-0.009800556011146247,8.690909091,0.0381267898253692,1,0,0,0.8809712515310901,0.47842063549247066,True
cbs_v15_player_oof_v5,player_scoring_distribution,ALL,P18_candidate_source,S1,16850,13103,12254,5.7380718225705705,7.5612166325941494,0.7588820822611343,0.02771513353115727,8.690909091,False,False,True,True,True,False,True,0.054480712166172104,0.007477744807121662,5.934718100890208e-05,0.007477744807121662,0.0,467,12256,99,176,1,3,0.0,0.0,-0.007673190735070583,8.690909091,0.02771513353115727,1,0,0,0.8871250858582004,0.48668243913607573,True
