n_rows,n_scoreable,n_distinct_pred,sd_pred,sd_truth,sd_ratio,top1_share,top1_value,top2_share,D1_flag,share_at_cell_min,share_at_cell_max,share_at_zero,share_at_one,D2_flag,dup_cluster_size,n_distinct_pred_vectors,dup_cluster_players,dup_cluster_games,dup_cluster_seasons,D3_flag,n_distinct_pred_sd,sd_null_share,sd_zero_share,corr_sd_absresid,D4_flag,modal_value,modal_share,modal_n_seasons,D5_flag,q_cross_rows,point_outside_interval_rows,cov90,cov50,quantiles_present,D6_flag,any_flag,arm,target,partition,cell
15887,12818,12547,5.997750244300159,7.5994973410252795,0.7892298628649796,0.008308680052873418,0.0,0.011015295524642789,False,0.008308680052873418,6.294454585510165e-05,0.008308680052873418,0.0,False,68,12549,11,65,1,True,3,0.0,0.0,-0.010056904077094054,True,0.0,0.008308680052873418,3,False,0,0,0.896395693555937,0.4968793883601186,True,False,True,cbs_v15_player_oof_v5,player_scoring_distribution,P16_evaluation_tier,A_primary
239,0,183,4.912753332864217,,,0.02092050209205021,4.729253993,0.03765690376569038,False,0.008368200836820083,0.0041841004184100415,0.008368200836820083,0.0,False,5,183,1,5,1,False,3,0.0,0.0,,False,4.729253993,0.02092050209205021,1,True,0,0,,,True,False,True,cbs_v15_player_oof_v5,player_scoring_distribution,P16_evaluation_tier,B_s2_weak_fallback
113,14,94,6.844772949670793,4.6344386907177855,1.4769367784236822,0.035398230088495575,2.068086594,0.061946902654867256,False,0.008849557522123894,0.008849557522123894,0.008849557522123894,0.0,False,4,94,1,4,1,False,3,0.0,0.0,0.28105519086895575,False,2.068086594,0.035398230088495575,1,True,0,0,0.9285714285714286,0.8571428571428571,True,True,True,cbs_v15_player_oof_v5,player_scoring_distribution,P16_evaluation_tier,B_transaction_sensitivity
352,14,243,5.597016646653114,4.6344386907177855,1.20770108748299,0.019886363636363636,4.795819093,0.036931818181818184,False,0.008522727272727272,0.002840909090909091,0.008522727272727272,0.0,False,7,244,1,6,1,False,3,0.0,0.0,0.28105519086895575,False,4.795819093,0.019886363636363636,1,True,0,0,0.9285714285714286,0.8571428571428571,True,True,True,cbs_v15_player_oof_v5,player_scoring_distribution,P17_fit_eligible,False
15887,12818,12547,5.997750244300159,7.5994973410252795,0.7892298628649796,0.008308680052873418,0.0,0.011015295524642789,False,0.008308680052873418,6.294454585510165e-05,0.008308680052873418,0.0,False,68,12549,11,65,1,True,3,0.0,0.0,-0.010056904077094054,True,0.0,0.008308680052873418,3,False,0,0,0.896395693555937,0.4968793883601186,True,False,True,cbs_v15_player_oof_v5,player_scoring_distribution,P17_fit_eligible,True
15541,12497,12251,5.971340122573976,7.588757411369379,0.7868666500826329,0.008107586384402548,0.0,0.010874461102889131,False,0.008107586384402548,6.43459236857345e-05,0.008107586384402548,0.0,False,66,12253,11,63,1,True,3,0.0,0.0,-0.010990419946658166,True,0.0,0.008107586384402548,3,False,0,0,0.8970152836680804,0.4977994718732496,True,False,True,cbs_v15_player_oof_v5,player_scoring_distribution,P18_candidate_source,S1
335,313,317,6.589291953594795,7.8057460565892764,0.8441591496603195,0.01791044776119403,0.0,0.023880597014925373,False,0.01791044776119403,0.0029850746268656717,0.01791044776119403,0.0,True,3,319,2,3,1,False,3,0.0,0.0,0.016424059128564615,True,0.0,0.01791044776119403,3,True,0,0,0.8690095846645367,0.46006389776357826,True,False,True,cbs_v15_player_oof_v5,player_scoring_distribution,P18_candidate_source,S1|S2
239,0,183,4.912753332864217,,,0.02092050209205021,4.729253993,0.03765690376569038,False,0.008368200836820083,0.0041841004184100415,0.008368200836820083,0.0,False,5,183,1,5,1,False,3,0.0,0.0,,False,4.729253993,0.02092050209205021,1,True,0,0,,,True,False,True,cbs_v15_player_oof_v5,player_scoring_distribution,P18_candidate_source,S2
113,14,94,6.844772949670793,4.6344386907177855,1.4769367784236822,0.035398230088495575,2.068086594,0.061946902654867256,False,0.008849557522123894,0.008849557522123894,0.008849557522123894,0.0,False,4,94,1,4,1,False,3,0.0,0.0,0.28105519086895575,False,2.068086594,0.035398230088495575,1,True,0,0,0.9285714285714286,0.8571428571428571,True,True,True,cbs_v15_player_oof_v5,player_scoring_distribution,P19_team_assignment_confidence,probable
15887,12818,12547,5.997750244300159,7.5994973410252795,0.7892298628649796,0.008308680052873418,0.0,0.011015295524642789,False,0.008308680052873418,6.294454585510165e-05,0.008308680052873418,0.0,False,68,12549,11,65,1,True,3,0.0,0.0,-0.010056904077094054,True,0.0,0.008308680052873418,3,False,0,0,0.896395693555937,0.4968793883601186,True,False,True,cbs_v15_player_oof_v5,player_scoring_distribution,P19_team_assignment_confidence,verified
239,0,183,4.912753332864217,,,0.02092050209205021,4.729253993,0.03765690376569038,False,0.008368200836820083,0.0041841004184100415,0.008368200836820083,0.0,False,5,183,1,5,1,False,3,0.0,0.0,,False,4.729253993,0.02092050209205021,1,True,0,0,,,True,False,True,cbs_v15_player_oof_v5,player_scoring_distribution,P19_team_assignment_confidence,weak
15887,12818,12547,5.997750244300159,7.5994973410252795,0.7892298628649796,0.008308680052873418,0.0,0.011015295524642789,False,0.008308680052873418,6.294454585510165e-05,0.008308680052873418,0.0,False,68,12549,11,65,1,True,3,0.0,0.0,-0.010056904077094054,True,0.0,0.008308680052873418,3,False,0,0,0.896395693555937,0.4968793883601186,True,False,True,cbs_v15_player_oof_v5,player_scoring_distribution,P20_roster_evidence_regime,captured_asof
113,14,94,6.844772949670793,4.6344386907177855,1.4769367784236822,0.035398230088495575,2.068086594,0.061946902654867256,False,0.008849557522123894,0.008849557522123894,0.008849557522123894,0.0,False,4,94,1,4,1,False,3,0.0,0.0,0.28105519086895575,False,2.068086594,0.035398230088495575,1,True,0,0,0.9285714285714286,0.8571428571428571,True,True,True,cbs_v15_player_oof_v5,player_scoring_distribution,P20_roster_evidence_regime,retrospective_effective_date
239,0,183,4.912753332864217,,,0.02092050209205021,4.729253993,0.03765690376569038,False,0.008368200836820083,0.0041841004184100415,0.008368200836820083,0.0,False,5,183,1,5,1,False,3,0.0,0.0,,False,4.729253993,0.02092050209205021,1,True,0,0,,,True,False,True,cbs_v15_player_oof_v5,player_scoring_distribution,P20_roster_evidence_regime,weak_prior_season
16239,12832,12613,9.824956015135566,10.71341448904961,0.9170704657397364,0.002647946302112199,19.590393463,0.005049572017981402,False,6.158014656074881e-05,6.158014656074881e-05,0.0,0.0,False,43,12613,1,43,1,False,3,0.0,0.0,0.0004472137502055909,True,19.590393463,0.002647946302112199,1,False,0,0,0.9022755610972568,0.5280548628428927,True,False,True,cbs_v15_player_oof_v5,e_minutes_given_active,P01_global,ALL
16239,12832,12613,9.824956015135566,10.71341448904961,0.9170704657397364,0.002647946302112199,19.590393463,0.005049572017981402,False,6.158014656074881e-05,6.158014656074881e-05,0.0,0.0,False,43,12613,1,43,1,False,3,0.0,0.0,0.0004472137502055909,True,19.590393463,0.002647946302112199,1,False,0,0,0.9022755610972568,0.5280548628428927,True,False,True,cbs_v15_player_oof_v5,e_minutes_given_active,P02_is_fallback,False
