SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,team_min,team_fgm,team_fga,team_fg_pct,team_fg3m,team_fg3a,team_fg3_pct,team_ftm,team_fta,team_ft_pct,team_oreb,team_dreb,team_reb,team_ast,team_stl,team_blk,team_tov,team_pf,team_pts,team_plus_minus,team_video_available,year,season_type
22021,1611661319,LVA,Las Vegas Aces,1022100027,2021-05-26,LVA @ PHO,W,200,33,75,0.44,4,16,0.25,15,17,0.882,11,25,36,19,8,3,9,9,85,6,1,2021,regular
22021,1611661317,PHO,Phoenix Mercury,1022100027,2021-05-26,PHO vs. LVA,L,200,32,69,0.464,5,17,0.294,10,10,1.0,6,27,33,22,3,7,13,14,79,-6,1,2021,regular
22021,1611661330,ATL,Atlanta Dream,1022100028,2021-05-27,ATL vs. DAL,W,200,36,75,0.48,6,20,0.3,23,33,0.697,14,31,45,19,5,3,13,20,101,6,1,2021,regular
22021,1611661321,DAL,Dallas Wings,1022100028,2021-05-27,DAL @ ATL,L,200,30,66,0.455,10,25,0.4,25,30,0.833,7,25,32,17,8,3,10,26,95,-6,1,2021,regular
22021,1611661329,CHI,Chicago Sky,1022100030,2021-05-28,CHI vs. LAS,L,200,21,51,0.412,6,19,0.316,13,14,0.929,5,28,33,12,7,3,28,25,61,-15,1,2021,regular
22021,1611661323,CON,Connecticut Sun,1022100029,2021-05-28,CON vs. WAS,W,200,29,58,0.5,11,25,0.44,17,26,0.654,6,26,32,17,7,4,14,24,86,5,1,2021,regular
22021,1611661325,IND,Indiana Fever,1022100032,2021-05-28,IND @ LVA,L,200,26,66,0.394,4,16,0.25,21,24,0.875,9,25,34,15,4,3,22,28,77,-36,1,2021,regular
22021,1611661319,LVA,Las Vegas Aces,1022100032,2021-05-28,LVA vs. IND,W,200,38,69,0.551,7,15,0.467,30,39,0.769,3,29,32,23,12,4,8,16,113,36,1,2021,regular
22021,1611661320,LAS,Los Angeles Sparks,1022100030,2021-05-28,LAS @ CHI,W,200,26,66,0.394,9,19,0.474,15,18,0.833,9,21,30,17,13,3,20,18,76,15,1,2021,regular
22021,1611661324,MIN,Minnesota Lynx,1022100031,2021-05-28,MIN @ SEA,L,200,25,67,0.373,6,25,0.24,16,18,0.889,7,25,32,20,5,2,12,12,72,-10,1,2021,regular
